245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Calcium-stimulated signal transduction in long-term memory formation and neural plasticity /"		"by Jaime Ian Athos."	"Athos, Jaime Ian."	"Ph. D."	"University of Washington"	"2002"	"030418s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 103 leaves :"		"http://hdl.handle.net/1773/10641;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3072053"	"52088671"
"Cannabinoid receptor signaling /"		"Brady K. Atwood."	"Atwood, Brady K."	"Ph. D."	"University of Washington"	"2010"	"110610s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 187 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3443129"	"729880294"
"Visualization of stimulus convergence in amygdala neurons during associative learning /"		"Sabiha K. Barot."	"Barot, Sabiha K."	"Ph. D."	"University of Washington"	"2009"	"091109s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 110 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3370457"	"464251924"
"Hormonal, cardiovascular, and behavioral correlates of rank in male baboons during activities that occur in a social setting /"		"by Kathleen Louise Bentson."	"Bentson, Kathleen Louise."	"Ph. D."	"University of Washington"	"1997"	"980921s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 254 leaves :"		"http://hdl.handle.net/1773/10670"	"39903831"
"Anteroposterior patterning of the vertebrate forebrain :"	"a role for Wnt signaling /"	"Michelle M. Braun."	"Braun, Michelle M."	"Ph. D."	"University of Washington"	"2002"	"030415s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 83 leaves :"		"http://hdl.handle.net/1773/10666;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3072062"	"52061676"
"HCN channels, neuronal excitability, and epileptogenesis /"		"James B. Bullis."	"Bullis, James B."	"Ph. D."	"University of Washington"	"2008"	"081107s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 95 pages :"			"269875678"
"Cerebellar contribution to saccades /"		"Elena Buzunov."	"Buzunov, Elena."	"Ph. D."	"University of Washington"	"2011"	"110816s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 102 leaves (some folded) :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3452679"	"746920272"
"Regulation and role of neurotensin in the basal ganglia /"		"Elena H. Chartoff."	"Chartoff, Elena H.,1969-"	"Ph. D."	"University of Washington"	"2001"	"020118s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 114 leaves :"			"48814664"
"Modeling a noisy sensory decision-making task as optimal action-selection under state-uncertainty /"		"Erick Chastain."	"Chastain, Erick."	"M.S."	"University of Washington"	"2010"	"110418s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 25 pages :"			"713083996"
"DOCK2 is an EP2-dependent regulator of microglial response present in normal and Alzheimer's disease brain /"		"Patrick J. Cimino Jr."	"Cimino, Patrick J."	"Ph. D."	"University of Washington"	"2009"	"091123s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 88 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3370476"	"468834899"
"Structural rearrangements during gating in cyclic nucleotide-modulated channels /"		"Kimberley Beth Craven."	"Craven, Kimberley Beth."	"Ph. D."	"University of Washington"	"2006"	"070209s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 144 leaves :"		"http://hdl.handle.net/1773/10654;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3224207"	"82552198"
"Synaptic origins of color and luminance coding in the primate retina /"		"Joanna Crook."	"Crook, Joanna."	"Ph. D."	"University of Washington"	"2011"	"111107s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 167 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3472120"	"759871574"
"Endocrine & metabolic regulators of Galanin-like peptide gene expression /"		"Matthew John Cunningham."	"Cunningham, Matthew John."	"Ph. D."	"University of Washington"	"2003"	"031010s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 108 leaves :"		"http://hdl.handle.net/1773/10636;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3090982"	"53181001"
"The roles of SV2 and SVOP proteins in regulating neurotransmission /"		"Kenneth Leybourne Custer."	"Custer, Kenneth Leybourne,1978-"	"Ph. D."	"University of Washington"	"2006"	"070611s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 85 leaves :"		"http://hdl.handle.net/1773/10643;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3241895"	"143366998"
"Non-cell autonomous Purkinje neuron degeneration in spinal cerebella ataxia type 7 :"	"the role of neuron-glia interaction /"	"Sara K. Custer."	"Custer, Sara K."	"Ph. D."	"University of Washington"	"2006"	"070611s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 98 leaves :"			"143408109"
"Neural circuitry of retinal receptive fields in primate /"		"Christopher M. Davenport."	"Davenport, Christopher M."	"Ph. D."	"University of Washington"	"2007"	"071005s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 102 leaves :"		"http://hdl.handle.net/1773/10652;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3265324"	"173691161"
"The encoding properties of gyroscopic mechanosensory neurons in Lepidoptera /"		"Alexandre Dieudonné."	"Dieudonné, Alexandre."	"Ph. D."	"University of Washington"	"2008"	"080805s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 94 leaves :"		"http://hdl.handle.net/1773/10662;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3303281"	"238784335"
"Neurotrophins and synaptic plasticity in the central nervous system /"		"by Deborah Dlugosch."	"Dlugosch, Deborah."	"M.S."	"University of Washington"	"1998"	"981120s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 29 leaves :"			"40359002"
"Mammalian rod's single-photon responses :"	"what do they tell us about rapid and reliable GPCR inactivation /"	"Thuy Anh Doan."	"Doan, Thuy Anh."	"Ph. D."	"University of Washington"	"2007"	"080724s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 119 leaves :"		"http://hdl.handle.net/1773/10638"	"235987113"
"Gain control of rod and cone vision in the mammalian retina /"		"Felice Audris Dunn."	"Dunn, Felice Audris."	"Ph. D."	"University of Washington"	"2007"	"080626s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 143 leaves :"		"http://hdl.handle.net/1773/10642;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3275865"	"232636591"
"From actions to habits in rats :"	"striatal circuitry and serotonin 5-HT6 receptors /"	"Daniel Eskenazi."	"Eskenazi, Daniel,1981-"	"Ph. D."	"University of Washington"	"2011"	"120227s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 90 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485366"	"778378323"
"Connexins 26 and 32 in the developing neocortex /"		"James L. Eubanks."	"Eubanks, James L.(James Langdon),1967-"	"Ph. D."	"University of Washington"	"2000"	"010611s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 72 leaves :"		"http://hdl.handle.net/1773/10648;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9995365"	"47104999"
"Assessing the role of dopamine in fear conditioning using genetic mouse models /"		"Jonathan P. Fadok."	"Fadok, Jonathan P.(Jonathan Paul),1977-"	"Ph. D."	"University of Washington"	"2010"	"110419s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 97 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431557"	"713370544"
"The role of JNK signaling and Bcl-2 in neuronal function :"	"from apoptosis to neuron excitability /"	"Xavier Andres Figueroa-Masot."	"Figueroa-Masot, Xavier Andres."	"Ph. D."	"University of Washington"	"2003"	"040225s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 134 leaves :"		"http://hdl.handle.net/1773/10647;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3112237"	"54485001"
"Information processing in the halteres of dipteran insects /"		"Jessica L. Fox."	"Fox, Jessica L."	"Ph. D."	"University of Washington"	"2010"	"110419s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 163 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431555"	"713353465"
"Anatomical and physiological characterization of the dopaminergic input to a basal ganglia circuit required for vocal learning in songbirds /"		"Samuel Gale."	"Gale, Samuel,1978-"	"Ph. D."	"University of Washington"	"2009"	"100112s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"176 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3377293"	"497040463"
"The role of the NMDA receptor NR2 subunit in synaptogenesis and synaptic stabilization /"		"Abigail Gambrill."	"Gambrill, Abigail."	"Ph. D."	"University of Washington"	"2011"	"120517s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 65 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501547"	"793830441"
"Dissociable cost and benefit encoding of future rewards by mesolimbic dopamine /"		"Jerylin O. Gan."	"Gan, Jerylin O."	"Ph. D."	"University of Washington"	"2011"	"120313s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"92 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485388"	"779973408"
"Neuronal signal transduction in hippocampus-dependent memory function /"		"Michael G. Garelick."	"Garelick, Michael G."	"Ph. D."	"University of Washington"	"2009"	"100108s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 82 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3377294"	"496297470"
"Form meets function :"	"cellular and functional properties of retinal ganglion cells /"	"Andrew Gartland."	"Gartland, Andrew."	"Ph. D."	"University of Washington"	"2010"	"110614s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 146 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3443147"	"730528204"
"Dicer is required for progression of progenitor competence during mouse retinal development /"		"Sean Anton Georgi."	"Georgi, Sean Anton,1982-"	"Ph. D."	"University of Washington"	"2011"	"120223s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 158 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485391"	"777990122"
"Regulation of Drosophila visual system development by nitric oxide and cyclic GMP /"		"by Sarah Margaretha Gibbs."	"Gibbs, Sarah Margaretha."	"Ph. D."	"University of Washington"	"1999"	"991103s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 131 leaves :"		"http://hdl.handle.net/1773/10651;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9924090"	"42758994"
"The development and recovery of vestibular reflexes in the domestic chicken /"		"by Christopher T. Goode."	"Goode, Christopher T."	"Ph. D."	"University of Washington"	"1999"	"000512s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 129 leaves :"		"http://hdl.handle.net/1773/10632;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9952830"	"44043103"
"Neuroprotection and cell-based therapy in retinal degeneration /"		"Juliane Gust."	"Gust, Juliane."	"Ph. D."	"University of Washington"	"2010"	"110627s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 149 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3443150"	"733081288"
"Ataxin-7 conserved motifs determine the severity of the neurodegenerative disorder spinocerebellar ataxia type 7 in transgenic mice and influence lifespan in yeast /"		"Stephan J. Guyenet."	"Guyenet, Stephan J."	"Ph. D."	"University of Washington"	"2009"	"100114s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 76 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3377243"	"498380238"
"The molecular and genetic basis of comorbidities in Dravet syndrome /"		"Sung Han."	"Han, Sung,1974-"	"Ph. D."	"University of Washington"	"2011"	"120724s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 107 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501552"	"801549902"
"Neural computations underlying decision formation in a motion discrimination task /"		"Timothy D. Hanks."	"Hanks, Timothy D.,1980-"	"Ph. D."	"University of Washington"	"2009"	"100610s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 148 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3394254"	"639943229"
"The molecular basis of a critical period for afferent input-dependent neuron survival in mouse cochlear nucleus /"		"Julie Ann Harris."	"Harris, Julie Ann,1978-"	"Ph. D."	"University of Washington"	"2006"	"070625s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 141 leaves :"		"http://hdl.handle.net/1773/10664;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3241905"	"145504115"
"Alpha synuclein in the adult avian song system /"		"Vesta Nicole Hartman."	"Hartman, Vesta Nicole."	"M.S."	"University of Washington"	"2000"	"010803s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 28 leaves :"			"47709969"
"Dopamine-deficient mice as a model to study the behavioral responses to drugs of abuse /"		"Thomas S. Hnasko."	"Hnasko, Thomas S.(Thomas Scott),1977-"	"Ph. D."	"University of Washington"	"2006"	"061227s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 91 leaves :"			"77485930"
"Bridging cell growth and proliferation :"	"identification and characterization of binding partners for pescadillo, a novel nucleolar protein involved in tumorigenesis and DNA damage /"	"Joseph Tsung-yo Ho."	"Ho, Joseph Tsung-yo."	"Ph. D."	"University of Washington"	"2004"	"050503s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 123 leaves :"		"http://hdl.handle.net/1773/10659;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3151614"	"60642039"
"Characterization of galanin in the murine brain /"		"by John George Hohmann."	"Hohmann, John George."	"Ph. D."	"University of Washington"	"2001"	"010914s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 289 leaves :"		"http://hdl.handle.net/1773/10624;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3014081"	"47968105"
"Tracking and manipulating myelin dynamics after spinal cord injury /"		"Berit E. Jacobson."	"Jacobson, Berit E."	"Ph. D."	"University of Washington"	"2011"	"120720s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 91 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501556"	"801092702"
"Bounded accumulation of evidence in parietal cortex :"	"a flexible neural mechanism for making decisions and estimating certainty /"	"Roozbeh Kiani."	"Kiani, Roozbeh."	"Ph. D."	"University of Washington"	"2009"	"091207s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 225 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3370506"	"474990035"
"Adaptation of sound localization precision :"	"from an ion channel to perception /"	"Marina S. Kuznetsova."	"Kuznetsova, Marina S."	"Ph. D."	"University of Washington"	"2010"	"101221s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 81 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3421887"	"693934368"
"Generation and transplantation of retinal cells derived from human embryonic stem cells /"		"Deepak Ashok Lamba."	"Lamba, Deepak Ashok."	"Ph. D."	"University of Washington"	"2007"	"080805s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 127 leaves :"			"238760948"
"MicroRNA 132 in learning and memory and short-term synaptic plasticity /"		"Talley Joseph Lambert."	"Lambert, Talley Joseph."	"Ph. D."	"University of Washington"	"2010"	"110415s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 78 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431593"	"712783688"
"Stress and the dynorphin/kappa opioid receptor system :"	"identifying sites and mechanisms of action within brain reward circuitry /"	"Benjamin B. Land."	"Land, Benjamin B.(Benjamin Bruce)"	"Ph. D."	"University of Washington"	"2009"	"100114s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 134 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3377311"	"498499691"
