245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Calculation of wall-effect for collimated neutron beams directed upon proton-recoil detectors."			"Acholonu, Maximian Nnamdi."	"M.S."	"University of Washington"		"080520s1970\\\\xx\\\\\\\m\\\\000\0\eng\d"	"37 unnumbered leaves"			"228412104"
"Generalization of the finite difference approximation technique applied to a nodal model of space-dependent nuclear reactor kinetics."			"Alcouffe, Raymond E."	"Ph. D."	"University of Washington"		"080520s1968\\\\xx\\\\\\\m\\\\000\0\eng\d"	"148 leaves"			"228412086"
"Californium-252 source jerk reactivity measurements in subcritical PuO₂-UO₂-polystyrene assemblies."			"Allen, John Marion."	"M.S.E."	"University of Washington"		"080520s1970\\\\xx\\\\\\\m\\\\000\0\eng\d"	"61 leaves"			"228412122"
"Water-graphite relationships at constant moderation in a heterogenous lattice."			"Bailey, George Frederick."	"M.S. in E."	"University of Washington"		"080520s1964\\\\xx\\\\\\\m\\\\000\0\eng\d"	"79 leaves"			"228410914"
"Time-dependent neutron thermalization in heterogeneous media."			"Beekmann, Richard Walter,1938-"	"Ph. D."	"University of Washington"		"080520s1968\\\\xx\\\\\\\m\\\\000\0\eng\d"	"134 leaves"			"228412087"
"Experimental investigation of thermal neutron flux distributions and disadvantage factors in simulated reactor slab lattices."			"Bennet, D. J.(Donald John)"	"M.S.E.(Nuclear)"	"University of Washington"		"080520s1963\\\\xx\\\\\\\m\\\\000\0\eng\d"	"67 leaves"			"228410909"
"Investigation of the use of iridium foils to experimentally measure the one electron volt resonance escape probability in plutonium-240."			"Bennett, Thomas Jerman."	"M.S.E."	"University of Washington"		"080520s1967\\\\xx\\\\\\\m\\\\000\0\eng\d"	"47 [3] leaves"			"228412080"
"Concentration of liquid radioactive wastes by direct contact heat transfer."			"Bierman, Sidney R."	"M.S.E.(Nuclear)"	"University of Washington"		"080520s1963\\\\xx\\\\\\\m\\\\000\0\eng\d"	"52 leaves"			"228410907"
"Effects of moderating reflectors on undermoderated cores with negative bucklings."			"Blumeyer, Max L."	"M.S.E."	"University of Washington"		"080520s1968\\\\xx\\\\\\\m\\\\000\0\eng\d"	"32 leaves"			"228412094"
"Coherence function measurement in a small subcritical plutonium-uranium system."			"Brown, William Darrel."	"M.S.E."	"University of Washington"	"1970"	"080520s1970\\\\xx\\\\\\\m\\\\000\0\eng\d"	"52 leaves"			"228412124"
"Gun shot residue test employing netron activation analysis."			"Bush, Yeager Augustus."	"M.S.E."	"University of Washington"		"080520s1967\\\\xx\\\\\\\m\\\\000\0\eng\d"	"41 leaves"			"228411142"
"Rossi-Alpha measurements in an intermediate lifetime plutonium system."			"Carrothers, Morton Ring."	"M.S.E."	"University of Washington"		"080520s1970\\\\xx\\\\\\\m\\\\000\0\eng\d"	"55 leaves"			"228412120"
"Coupled sampling with the Monte Carlo method in neutron transport calculations."			"Carter, Leland LaVelle,1937-"	"Ph. D."	"University of Washington"		"080520s1969\\\\xx\\\\\\\m\\\\000\0\eng\d"	"171 leaves"			"228412096"
"Quantitative two group analysis of the University of Washington nuclear reactor."			"Christenson, John Martin."	"M.S.E.(Nuclear)"	"University of Washington"		"080520s1962\\\\xx\\\\\\\m\\\\000\0\eng\d"	"107 leaves"			"228410902"
"Role of the adjoint in neutron fluctuation analysis, with special emphasis on the detector efficiency."			"Congdon, Myron Edward,1941-"	"Ph. D."	"University of Washington"		"080520s1968\\\\xx\\\\\\\m\\\\000\0\eng\d"	"120 leaves"			"228412088"
"Measurement of the thermal neutron spectrum from the UWNR using a neutron diffraction spectrometer."			"Cooper, Larry Phil."	"M.S.E."	"University of Washington"		"080520s1970\\\\xx\\\\\\\m\\\\000\0\eng\d"	"65 leaves"			"228411386"
"Effect of impregnation and crystallite orientation on the radiation induced contraction of graphite."			"Cox, James Harold."	"M.S.E."	"University of Washington"		"080520s1967\\\\xx\\\\\\\m\\\\000\0\eng\d"	"51 leaves"			"228411137"
"Partial difference approximation for the geometric buckling of truncated bare spheres."			"Czerniejewski, Francis Raymond."	"M.S. in E."	"University of Washington"		"080520s1965\\\\xx\\\\\\\m\\\\000\0\eng\d"	"42 leaves"			"228410923"
"One-speed transport calculations for general anisotropic scattering."			"Eccleston, George William."	"M.S.E."	"University of Washington"		"080520s1969\\\\xx\\\\\\\m\\\\000\0\eng\d"	"72 leaves"			"228412102"
"Study of power monitoring by coolant activity for the University of Washington nuclear reactor."			"Eckhart, Thomas George."	"M.S.E."	"University of Washington"		"080520s1969\\\\xx\\\\\\\m\\\\000\0\eng\d"	"48 unnumbered leaves"			"228412090"
"Analytic multigroup theory."			"Egan, Maurice Ralph,1937-"	"Ph. D."	"University of Washington"		"080520s1969\\\\xx\\\\\\\m\\\\000\0\eng\d"	"211 leaves"			"228412109"
"Three group multidimensional analysis of the University of Washington Nuclear Reactor."			"Elliott, Richard Wayne."	"M.S.E."	"University of Washington"		"080520s1970\\\\xx\\\\\\\m\\\\000\0\eng\d"	"85 leaves"			"228412132"
"Mathematical model for a controlled-cycle pulsed solvent extraction column."			"Emerson, Frederick Arthur."	"M.S.E."	"University of Washington"		"080520s1970\\\\xx\\\\\\\m\\\\000\0\eng\d"	"49 leaves"			"228412107"
"Twin calorimeter for the measurement of absorbed dose."			"Fleming, Dale Mervin."	"M.S.E."	"University of Washington"		"080521s1967\\\\xx\\\\\\\m\\\\000\0\eng\d"	"62 leaves"			"228429442"
"Measurement of the UWNR prompt neutron lifetime using reactor noise techniques."			"Frewing, John Lewis."	"M.S.E.(Nuclear)"	"University of Washington"		"080520s1962\\\\xx\\\\\\\m\\\\000\0\eng\d"	"75 leaves"			"228410903"
"Pulsed neutron experiment using lucite containing finite voids."			"Geitner, Neil Maxwell."	"M.S.E."	"University of Washington"		"080520s1969\\\\xx\\\\\\\m\\\\000\0\eng\d"	"50 leaves"			"228412098"
"Variable phase-space neutron transport analysis."			"Harms, Archie Arkadius,1934-"	"Ph. D."	"University of Washington"		"080520s1969\\\\xx\\\\\\\m\\\\000\0\eng\d"	"143 leaves"			"228412111"
"Application of neutron activation analysis to cystic fibrosis detection."			"Heintz, Philip Howard,1943-"	"M.S.E."	"University of Washington"		"080520s1967\\\\xx\\\\\\\m\\\\000\0\eng\d"	"94 leaves"			"228411143"
"Reactor noise experiments in small plutonium systems."			"Hess, George Marion."	"M.S.E."	"University of Washington"		"080520s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"64 leaves"			"228410950"
"Application of neutron activation analysis to detection of trace elements in tissues of cystic fibrosis patients and controls."			"Hicks, Warren Dale."	"M.S.E."	"University of Washington"		"080520s1968\\\\xx\\\\\\\m\\\\000\0\eng\d"	"91 leaves"			"228412092"
