245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A study to determine the relationship of a vegetarian diet to blood pressure."			"Anholm, Anne Cherie."	"M.S. Nursing"	"University of Washington"		"890522s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"115 leaves :"			"19745293"
"Learning the characteristics of helping relationships"	"nurse-teacher genuineness and student-nurse self-disclosure."		"Parkinson, Margaret Helen."	"M. Nur."	"University of Washington"		"890617s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"91 leaves"			"19884290"
"A comparison of changes in perceived locus of control and anxiety with assertive training."			"Adaskin, Eleanor Jean."	"M.A."	"University of Washington"		"890523s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"19750935"
"Understanding and opinions held by parents concerning accident prevention education for the preschool age child."			"Douglass, Theresse."	"M. Nur."	"University of Washington"		"890516s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83 leaves"			"19713619"
"Levels of passivity in groups of nurses and professional women."			"Mickelson, Janet Lee."	"M. Nur."	"University of Washington"		"890601s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 [1] leaf"			"19792682"
"Autonomy, accountability, and growth in nursing"	"the case of the Nurse Practice Committee."		"Farrance, Curtis A."	"M. Nur."	"University of Washington"		"890518s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"127 leaves"			"19730344"
"Responses resulting from the introduction of change into a nursing unit."			"Mermet, Shirley Janet."	"M. Nur."	"University of Washington"		"890620s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"94 leaves"			"19897176"
"Cognitive functioning (WAIS) and physical rigidity pre and post levodopa therapy in Parkinsonism."			"Bartol, Mari Anne."	"M. Nur."	"University of Washington"		"890522s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"46 leaves"			"19745440"
"The puppet play as a teaching tool for skills in interpersonal relations with school-age children."			"Packard, Parker W."	"M.A."	"University of Washington"		"890517s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"75 leaves"			"19719134"
"Effect of body position upon pulmonary artery and pulmonary capillary wedge pressures in acutely ill patients."			"Hansen, Wendy June."	"M. Nur."	"University of Washington"		"890512s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"65 leaves"			"19700720"
"The socialization of interpersonal distance patterns."			"Brown, Martha Ann."	"M. Nur."	"University of Washington"		"890617s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90 [1] leaf"			"19884429"
"A study of attitudes toward the aged of nursing employees in nursing homes."			"Tuck, Barbara R."	"M. Nur."	"University of Washington"		"890808s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"61 leaves"			"20139611"
"Hemodynamic and electrocardiographic responses of ten patients with coronary artery bypass graft surgery to low-level treadmill testing."			"Miller, Deborah Ferne."	"M. Nur."	"University of Washington"		"890601s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"61 leaves"			"19792782"
"Hemodynamic and polarcardiographic responses of ten myocardial infarction patients to three selected levels of activity."			"Smith, Bernadine A."	"M. Nur."	"University of Washington"		"890523s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"57 leaves"			"19751211"
"An ethnoscientific approach to selected aspects of illness behavior among an urban American Indian population."			"McKeena, Margaret Ann."	"M. Nur."	"University of Washington"		"890519s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"147 leaves"			"19735163"
"Evaluation of the effects of a selected film and/or study guide on mastery learning of the concepts of fluid and electrolyte deficits."			"Hutton, Nancy."	"M. Nur."	"University of Washington"		"890608s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"50 leaves"			"19836000"
"Anxiety and family support during hospitalization."			"Suazo, Carmen Dolores."	"M. Nur."	"University of Washington"		"890510s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"73 leaves"			"19686925"
"Group experience and self-actualization in nursing students."			"Allen, Karen Suzanne."	"M. Nur."	"University of Washington"		"890522s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"67 leaves"			"19745394"
"A study of nurse-parent communications in a pediatric emergency room."			"Meyer, Emily Henrietta."	"M. Nur."	"University of Washington"		"890601s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"100 leaves"			"19792722"
"Quantitative measurement of alcohol withdrawal in rats."			"Odgen, Larene D."	"M. Nur."	"University of Washington"		"890808s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"78 leaves"			"20139490"
"Adjustment to the community"	"the effect of roles."		"Hallaux, Roxanna."	"M. Nur."	"University of Washington"		"890512s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"88 leaves"			"19700866"
"Selected factors influencing the incidence of phlebitis in surgical patients with indwelling infusion catheters."			"Wermuth, Olga Carol."	"M. Nur."	"University of Washington"		"890808s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"55 leaves"			"20139594"
