245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Weight patterns of very low birthweight infants /"		"by Elizabeth J. Adams."	"Adams, Elizabeth J."	"M.S."	"University of Washington"	"1987"	"870401s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 99 leaves :"			"15471955"
"A profile of nutritional support practices in traumatized patients :"	"predicting when patients resume oral diets and observtions of clinical outcome /"	"by Susan Lynn Adams."	"Adams, Susan Lynn."	"M.S."	"University of Washington"	"1988"	"881013s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 109 leaves :"			"18605172"
"Dietary factors associated with root caries /"		"by Deborah Lynn Allender."	"Allender, Deborah Lynn."	"M.S."	"University of Washington"	"1989"	"900807s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 70 leaves :"			"22193352"
"Nutritional assessment of preschool children in a rural Thai community following an integrated development project /"		"by Kerri Ashling."	"Ashling, Kerri."	"M.S."	"University of Washington"	"1988"	"890404s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 85 leaves :"			"19492806"
"The effect of fish oil supplementation on menstrual blood loss /"		"by Leslie R. Babbitt."	"Babbitt, Leslie R."	"M.S."	"University of Washington"	"1990"	"900807s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 62 leaves :"			"22192929"
"The effect of low calorie diets on body composition, serum potassium concentration and organ histopathology of rats /"		"by Lori A. Barr."	"Barr, Lori A."	"M.S."	"University of Washington"	"1987"	"880610s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 68 leaves :"			"18068633"
"Determinants of dietary compliance in adolescents with phenylketonuria before transition from family to independent living situations /"		"by Sharaine D. Brohman."	"Brohman, Sharaine D."	"M.S."	"University of Washington"	"1992"	"930201s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 83 leaves :"			"27352971"
"Primary care physicians' attitudes, practices, and self-rated education in nutrition care /"		"by Karen Bullick."	"Bullick, Karen."	"M.S."	"University of Washington"	"1993"	"940425s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 59 leaves :"			"30326912"
"Development and preliminary evaluation of a nutritional screening device for children age birth-3 with special health care needs /"		"by Linda Burton."	"Burton, Linda."	"M.S."	"University of Washington"	"1991"	"910826s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 82 leaves :"			"24294570"
"The effects of skim milk vs. whole milk in a coronary heart disease prevention diet on blood lipid profile /"		"by Kristi Ann Carmer."	"Carmer, Kristi Ann."	"M.S."	"University of Washington"	"1987"	"880113s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 225 leaves :"			"17342767"
"The development and preliminary evaluation of a computer program designed to improve the compliance and self-management skills of children with PKU /"		"by Donna Marie Chacalos."	"Chacalos, Donna Marie."	"M.S."	"University of Washington"	"1989"	"900111s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 126 leaves :"			"20875484"
"An evaluation of an adolescent health promotion newsletter in urban and suburban high schools /"		"Penny L. Chapman."	"Chapman, Penny L."	"M.S."	"University of Washington"	"1991"	"911016s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 68 leaves :"			"24569350"
