245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The East Greenland Current north of Denmark Strait."			"Aagaard, Knut,1939-"	"Ph. D."	"University of Washington"		"890819s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"				"20223132"
"Features of the physical oceanography of the Chukchi Sea in the autumn."			"Aagaard, Knut,1939-"	"M.S."	"University of Washington"		"890819s1964\\\\xx\ab\\\\bm\\\000\0\eng\d"	"41 leaves"			"20223117"
"Geology of Norwegian Sea cores."			"Adams, Charles Earl."	"M.S."	"University of Washington"		"890810s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60 leaves"			"20153442"
"Dissolved organic matter in Lake Nitinat, an anoxic fjord /"		"by Donald Dick Adams."	"Adams, Donald D."	"M.S."	"University of Washington"	"1966"	"890819s1966\\\\xx\abo\\\bm\\\000\0\eng\c"	"iii, 46 leaves :"			"20223140"
"The determination of the glass electrode activity coefficient of the hydrogen ion in sea water and its application to the determination of the alkalinity of sea water ..."			"Anderson, Donald Hervin,1916-"	"Ph. D."	"University of Washington"		"890530s1943\\\\xx\ad\\\\bm\\\000\0\eng\d"	"iv, 66, [1] leaf"			"19783765"
"Stratigraphy of late pleistocene and holocene sediments from the Strait of Juan de Fuca."			"Anderson, Franz Elmer,1938-"	"Ph. D."	"University of Washington"		"890810s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"168 leaves"			"20153394"
"Modern sediments of Willapa Bay, Washington"	"a coastal plain estuary."		"Andrews, Robert S.(Robert Sanborn)"	"M.S."	"University of Washington"		"890819s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60 leaves"			"20223123"
"Bottom sediments of Rongelap Lagoon, Marshall Islands."			"Anikouchine, William A.,1929-"	"M.S."	"University of Washington"		"890718s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"137 leaves"			"20024401"
"A model of the distribution of dissolved species in interstitial water in clayey marine sediments."			"Anikouchine, William A.,1929-"	"Ph. D."	"University of Washington"		"890718s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"52 leaves"			"20024335"
"A spectrophotometric method for the determination of fluoride in sea water ..."			"Anselm, Courtenay David."	"M.S."	"University of Washington"		"890714s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 24 leaves"			"20007611"
