245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Curing Mycoplasmas in tissue cultures with two newer quinolones :"	"sparfloxacin and OPC17116 /"	"by Mohamed A. Ahmed."	"Ahmed, Mohamed A.(Mohamed Auda)"	"M.S."	"University of Washington"	"1993"	"930914s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 16 leaves :"			"28824477"
"Immune control of SHIV in macaques upon mucosal infection of immunization /"		"Zandrea Ambrose."	"Ambrose, Zandrea."	"Ph. D."	"University of Washington"	"2001"	"011022s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 150 leaves :"		"http://hdl.handle.net/1773/9290;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3013920"	"48191034"
"T cell responses to Treponema pallidum subsp. pallidum antigens during the course of experimental syphilis infection /"		"by Thomas W. Arroll."	"Arroll, Thomas W."	"Ph. D."	"University of Washington"	"1998"	"991026s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 80 leaves :"		"http://hdl.handle.net/1773/9291;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9916618"	"42705679"
"Functional interaction of phage displayed IL-3 with an IL-3 dependent cell line /"		"by Caroline Behler."	"Behler, Caroline."	"M.S."	"University of Washington"	"1999"	"991105s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 71 leaves :"			"42775952"
"Biological characteristics and cycle of Dentostomella translucida Schulz and Krepkogorskaja, 1932 in the Mongolian gerbil, Meriones unguiculatus (Milne-Edwards) /"		"by Diana Marie Palila Berger."	"Berger, Diana Marie Palila."	"M.S."	"University of Washington"	"1991"	"910923s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 55 leaves :"			"24437586"
"Serological comparison of the AIDS-associated mycoplasmas by Western blot and double immunodiffusion /"		"by Beverly Ann Bohlman."	"Bohlman, Beverly Ann."	"M.S."	"University of Washington"	"1997"	"980227s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 27 leaves :"			"38526753"
"Detection of Chlamydia trachomatis DNA in ocular and genital tissue by in situ hybridization :"	"implications for pathogenesis /"	"by Alison Leigh Cappuccio."	"Cappuccio, Alison Leigh."	"M.S."	"University of Washington"	"1991"	"920130s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 32 leaves :"			"25192296"
"Site-directed sequence-specific monoclonal antibody to the 65kDa ""heat-shock"" protein of mycobacteria /"		"by Feng Chen."	"Chen, Feng."	"M.S."	"University of Washington"	"1989"	"900518s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 36 leaves :"			"21556405"
"Characterization of TWAR, a new group of C. psittaci /"		"by Hsin-Hsing Chen."	"Chen, Hsin-Hsing."	"M.S."	"University of Washington"	"1986"	"870209s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 23 leaves :"			"15172867"
"Macrolide resistance and its linkage to tetracycline resistance /"		"by Whasun Oh Chung."	"Chung, Whasun Oh."	"Ph. D."	"University of Washington"	"1999"	"991216s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 148 leaves :"		"http://hdl.handle.net/1773/9279;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9936380"	"43048016"
"Identification and characterization of novel antigen genes of Mycobacterium tuberculosis /"		"by Rhea Nadine Coler."	"Coler, Rhea Nadine."	"Ph. D."	"University of Washington"	"1998"	"990930s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 171 leaves :"		"http://hdl.handle.net/1773/9281;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9916637"	"42465064"
"Immunohistochemical studies of Echinococcus multilocularis /"		"by Judy Condon."	"Condon, Judy."	"M.S."	"University of Washington"	"1989"	"900518s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 36 leaves :"			"21556683"
"Identification and characterization of a surface antigen of Trichomonas vaginalis /"		"by Roberta Jeanne Connelly."	"Connelly, Roberta Jeanne."	"M.S."	"University of Washington"	"1984"	"850422s1984\\\\xx\a\\\\\bm\\\000\0\eng\d"	"25 leaves :"			"11946773"
"Regulation of cell-cell communication :"	"investigating the role of phosphorylation on gap junction protein, connexin43 /"	"Cynthia Davidson Cooper."	"Cooper, Cynthia D.,1970-"	"Ph. D."	"University of Washington"	"2002"	"030416s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 112 leaves :"			"52076468"
"Deoxyribonucleic acid relatedness of Chlamydia sp. strain TWAR to Chlamydia trachomatis and Chlamydia psittaci /"		"by Rachel Cox."	"Cox, Rachel."	"M.S."	"University of Washington"	"1988"	"890119s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 17 leaves :"			"19038377"
"Investigation of capsid assembly of diverse primate lentiviral gags /"		"Julia E. Dooher."	"Dooher, Julia E."	"M.S."	"University of Washington"	"2002"	"021108s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 107 leaves :"			"50959614"
"Protein kinases in the cell cycle and life cycle of Trypanosoma brucei /"		"by Michael J. Gale."	"Gale, Michael,Jr."	"Ph. D."	"University of Washington"	"1994"	"950512s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 136 leaves :"			"32463830"
"Chlamydia trachomatis interactions with human dendritic and CD8 T cells /"		"by Ana L. Gervassi."	"Gervassi, Ana L."	"Ph. D."	"University of Washington"	"2004"	"040709s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 148 leaves :"		"http://hdl.handle.net/1773/9274;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3131250"	"55882348"
"Distinct functions for integrins [alpha] 3 [beta] 1 and [alpha] 6 [beta] 4 in spreading and adhesion of keratinocytes to epiligrin /"		"by Susana Graciela Gil."	"Gil, Susana Graciela."	"M.S."	"University of Washington"	"1993"	"940511s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 50 leaves :"			"30420055"
"Susceptibility of human vascular wall cells to infection with Chlamydia pneumoniae in vitro /"		"by Katherine L. Godzik."	"Godzik, Katherine L."	"M.S."	"University of Washington"	"1994"	"950512s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 19 leaves "			"32464103"
"Investigation of clinical samples from syndromes associated with Chlamydia pneumoniae infection /"		"by Young Ah Goo."	"Goo, Young Ah."	"M.S."	"University of Washington"	"1994"	"950320s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 29 leaves "			"32175878"
"Proteomics and comparative genomics of halophilic archaea /"		"by Young Ah Goo."	"Goo, Young Ah."	"Ph. D."	"University of Washington"	"2002"	"030415s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 164 leaves :"			"52065244"
"Genes involved in latency and virulence of Mycobacterium tuberculosis :"	"unlocking the secrets of a deadly pathogen /"	"Kristine Marie Guinn."	"Guinn, Kristine Marie."	"M.S."	"University of Washington"	"2002"	"021011s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 57 leaves :"			"50769489"
"A 31 kDa surface polypeptide of Mycoplasma genitalium /"		"by Charles Thomas Hardy."	"Hardy, Charles Thomas."	"M.S."	"University of Washington"	"1989"	"891106s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 18 leaves :"			"20604566"
"Evaluation and calibration of enzyme immunoassays for detecting antibody to the human immunodeficiency virus and other agents /"		"by Charles Thomas Hardy."	"Hardy, Charles Thomas."	"Ph. D."	"University of Washington"	"1993"	"930913s1993\\\\xx\a\\\\\bmt\\000\0\eng\d"	"vi, 92 leaves :"		"http://hdl.handle.net/1773/9297;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9326361"	"28813769"
"Adhesion to laminin 5 suppresses p38 map kinase and activating transcription factor 3 in leading keratinocytes of epidermal wounds /"		"Erin G. Harper."	"Harper, Erin Gail,1971-"	"Ph. D."	"University of Washington"	"2004"	"050527s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 129 leaves :"		"http://hdl.handle.net/1773/9299;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3151609"	"60502273"
"Characterization of the Mycobacterium tuberculosis early response to hypoxia :"	"towards a better understanding of latent disease /"	"Maria Isabel Harrell."	"Harrell, Maria Isabel."	"M.S."	"University of Washington"	"2004"	"050503s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 83 leaves :"			"60642950"
"Effects of alterations in glutathione conjugation on the hepatobiliary disposition of aflatoxin B₁ /"		"by Carolyn Jean Holeski."	"Holeski, Carolyn Jean."	"Ph. D."	"University of Washington"	"1986"	"861017s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 139 leaves (some folded), [16] leaves of plates :"			"14408870"
"Restriction patterns of the 25.2Mda plasmid changes in different hosts /"		"by Seema Jejurikar."	"Jejurikar, Seema."	"M.S."	"University of Washington"	"1992"	"920813s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 15 leaves :"			"26388823"
"Kinetoplastid RNA editing :"	"analysis of the mechanism of guide RNA directed uridylate insertion into precursor messenger RNA /"	"by Moffett Lee Kable."	"Kable, Moffett Lee."	"Ph. D."	"University of Washington"	"1998"	"990222s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 96 leaves :"		"http://hdl.handle.net/1773/9295;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9836194"	"40837654"
"Prevalence of serum immunoglobulin-G antibodies in patients with pelvic inflammatory disease to antigens of selected organisms associated with the bacterial vaginosis syndrome /"		"by Julie L. Kiesel."	"Kiesel, Julie L."	"M.S."	"University of Washington"	"1988"	"880602s1988\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 41 leaves, 6 unnumbered leaves of plates :"			"18034131"
"Measurement of the mycoplasmacidal effects of aminoglycosides, quinolones and tetracyclines on Mycoplasma hominis by time-kill methodology /"		"Amy J. Kiffe."	"Kiffe, Amy J."	"M.S."	"University of Washington"	"1994"	"950605s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 22 leaves :"			"32599068"
"Isolation and characterization of genes encoding immunoreactive proteins of Chlamydia pneumoniae /"		"by Lynne C. Kikuta."	"Kikuta, Lynne C."	"M.S."	"University of Washington"	"1989"	"900419s1989\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 28 leaves, 4 unnumbered leaves of plates :"			"21398646"
"Humoral immune response to Kaposi's sarcoma-associated herpesvirus in persons with and without Kaposi's sarcoma /"		"Louise Elizabeth Kimball."	"Kimball, Louise Elizabeth."	"Ph. D."	"University of Washington"	"2003"	"030829s2003\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vii, 91 leaves :"		"http://hdl.handle.net/1773/9284;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3079231"	"52939462"
"In vitro HIV-1 infection of Macaca nemestrina cells /"		"by Louise Elizabeth Kimball."	"Kimball, Louise Elizabeth."	"M.S."	"University of Washington"	"1998"	"990628s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 27 leaves :"			"41618105"
"Investigation of the effect of mutations in nucleocapsid on the association of HIV-1 Gag with the host factor HP68 /"		"Patti Kristina Kiser."	"Kiser, Patti Kristina."	"M.S."	"University of Washington"	"2002"	"030515s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 79 leaves :"			"52254949"
"Developing HIV vaccine strategies through the use of macaque and murine dendritic cells /"		"by Kevin Koo."	"Koo, Kevin."	"M.S."	"University of Washington"	"2001"	"020405s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 132 leaves :"			"49529159"
"Sequence analysis of the gene encoding the Chlamydia pneumoniae dnaK protein homolog /"		"by Jodi M. Kornak."	"Kornak, Jodi M."	"M.S."	"University of Washington"	"1990"	"910605s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 33 leaves :"			"23886462"
"Studies on echinococcus vogeli :"	"electronmicroscopic characterization of the protoscolex effect of albendazole on the larval state in experimentally infected nutrias /"	"by Ilse Ursula Krott."	"Krott, Ilse Ursula."	"M.S."	"University of Washington"	"1986"	"861014s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"45 leaves, 1 unnumbered leaf of plates :"			"14392591"
"Trypanosoma cruzi-infected macrophages are defective in class II antigen presentation /"		"by Anne Camille La Flamme."	"La Flamme, Anne C."	"Ph. D."	"University of Washington"	"1997"	"980306s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 120 leaves :"		"http://hdl.handle.net/1773/9294"	"38562106"
"Interleukin-2 production by transgenic Trypanosoma cruzi :"	"molecular and biochemical characterization /"	"by Anne Camille La Flamme."	"La Flamme, Anne Camille."	"M.S."	"University of Washington"	"1994"	"950517s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 38 leaves :"			"32491657"
"Adenoviruses associated with diarrhea in young Macaques /"		"by Mary Patricia Tracy Leatham."	"Leatham, Mary Patricia Tracy."	"M.S."	"University of Washington"	"1988"	"890908s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 36 leaves :"			"20314864"
"Self-assembled lipopeptide prodrug depot for sustaned [sic] release :"	"design and synthesis of peptide glutamic acid dialkylamides, their self-assembly into tubules, and their stability to proteolytic degradation /"	"by Kyujin C. Lee."	"Lee, Kyujin C."	"Ph. D."	"University of Washington"	"1999"	"991130s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 100 leaves :"		"http://hdl.handle.net/1773/9276;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9924110"	"42904583"
"Development of a PCR test for identification of Mycoplasma pneumoniae from clinical samples /"		"by Zhongtai Leng."	"Leng, Zhongtai."	"M.S."	"University of Washington"	"1992"	"920908s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 23 leaves :"			"26561150"
"Distribution and mobility of antibiotic resistant genes in oral/urogentital [sic] bacteria /"		"by Zhongtai Leng."	"Leng, Zhongtai."	"Ph. D."	"University of Washington"	"1998"	"991014s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 84 leaves :"		"http://hdl.handle.net/1773/9273;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9916685"	"42642165"
"Identification and characterization of a Plasmodium falciparum RNA polymerase gene with homology to mitochondrial RNA polymerases /"		"Jiangning Li."	"Li, Jiangning,1968-"	"M.S."	"University of Washington"	"2000"	"010316s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 59 leaves :"			"46469040"
"Joint action of organophosphorus compounds on acetylcholinesterase in vitro /"		"by Jin Li."	"Li, Jin."	"M.S."	"University of Washington"	"1989"	"911009s1989\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 61 leaves :"			"24524143"
"Pathogenesis of ureases in mice /"		"by John V. Ligon."	"Ligon, John V."	"M.S."	"University of Washington"	"1989"	"900807s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 20 leaves "			"22190930"
"Antibody neutralization and enhancement of Chlamydia trachomatis growth in mouse peritioneal macrophages /"		"by Robin Michele Cheri Lloyd."	"Lloyd, Robin Michele Cheri."	"M.S. Pub. Health"	"University of Washington"	"1985"	"850426s1985\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 17 leaves "			"11966414"
