245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Hepatocellular alterations caused by 3'-methyl-4-dimethylaminoazobenzene and its congeneries"	"structural and functional changes in the endoplasmic reticulum."		"Arcasoy, Müfit Mazhar."	"M.S."	"University of Washington"		"890525s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"19762271"
"Fluorescence, histochemical and circular dichroism studies of congo red interacting with amyloid."			"Bajema, Larry Lyn."	"M.S."	"University of Washington"		"890525s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"57 leaves"			"19762416"
"Cytotoxicity of thioacetamide."			"Barker, Edward Allan,1938-"	"Ph. D."	"University of Washington"		"890525s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"99 leaves"			"19762375"
"Gene expression in human atherosclerotic plaques and related cells with particular attention to platelet-derived growth factors A and B /"		"by Thomas B. Barrett."	"Barrett, Thomas B."	"Ph. D."	"University of Washington"	"1987"	"880609s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 166 leaves :"			"18062303"
"Structure and function of normal and abnormal human alpha 1 (I) collagen genes /"		"by Gregory Stefan Barsh."	"Barsh, Gregory Stefan."	"Ph. D."	"University of Washington"	"1984"	"840824s1984\\\\xx\af\\\\bm\\\000\0\eng\d"	"iii, 119 leaves, 16 unnumbered leaves of plates :"			"11086251"
"Virus mediated gene therapy for human beta-thalassemia and sickle cell disease /"		"by Michael Angelo Bender."	"Bender, Michael,1960-"	"Ph. D."	"University of Washington"	"1989"	"891130s1989\\\\xx\af\\\\bm\\\000\0\eng\d"	"vii, 127 leaves, 27 unnumbered leaves of plates :"			"20714701"
"Injury induced brain reactive antibodies in young and old fischer 344 rats /"		"by Annie Kakimoto Berfield."	"Berfield, Annie Kakimoto."	"M.S."	"University of Washington"	"1986"	"870210s1986\\\\xx\a\\\\\bm\\\000\0\eng\d"	"39 leaves :"			"15176112"
"MYC functions as a nucleoprotein complex /"		"by Elizabeth M. Blackwood."	"Blackwood, Elizabeth M."	"Ph. D."	"University of Washington"	"1992"	"930210s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 85 leaves :"			"27408489"
"An analysis of the precision, variance, detection limits and recovery of methyl mercury by means of flameless atomic absorption spectrophotometry."			"Body, Ralph L."	"M.S."	"University of Washington"		"890516s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xxii, 74 leaves"			"19714094"
"Characterization of protein tyrosine phosphatases expressed by vascular cells /"		"by Luis Ghira Borges."	"Borges, Luis Ghira."	"Ph. D."	"University of Washington"	"1995"	"960418s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 108 leaves :"			"34592458"
"Growth and gene regulation in euploid somatic cell hybrids /"		"by Eileen Mary Bryant."	"Bryant, Eileen Mary."	"Ph. D."	"University of Washington"	"1981"	"811020s1981\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 85 leaves, 3 unnumbered leaves of plates :"			"7859749"
"In vitro cellular senescence :"	"an investigation of the mechanism of cell cycle arrest in human diploid cells /"	"by Glenna Christeen Burmer."	"Burmer, Glenna Christeen."	"Ph. D."	"University of Washington"	"1983"	"840307s1983\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 78 leaves, 26 unnumbered leaves of plates :"			"10494195"
"Effects of defined growth factors on cell-cycle kinetics of fibroblast-like cells and the relationship to cellular senescence /"		"by Yuhchyau Chen."	"Chen, Yuhchyau."	"Ph. D."	"University of Washington"	"1988"	"890815s1988\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 111 leaves :"			"20179473"
"Recombinational hotspot activity of Chi and Chi-like sequences :"	"molecular genetic evidence for a model of homologous recombination /"	"by Keith Chi Cheng."	"Cheng, Keith Chi."	"Ph. D."	"University of Washington"	"1986"	"870204s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"ix, 89 leaves, 3 unnumbered leaves of plates :"			"15151250"
"Folding and interaction with endoplasmic reticulum-resident proteins of mutant type I procollagen molecules /"		"by Steven David Chessler."	"Chessler, Steven David,1964-"	"Ph. D."	"University of Washington"	"1993"	"940301s1993\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 107 leaves :"			"29888420"
"Histochemical comparison of vertebrate mast cells."			"Chiu, Herbert."	"M.S."	"University of Washington"		"890516s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"41 leaves"			"19714048"
