245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A benefit-risk assessment framework for development of clinical guidelines in diagnostic radiology /"		"Maria Agapova."	"Agapova, Maria,1980-author."	"Ph. D."	"University of Washington"	"2015"	"160404t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (125 pages) :"	"Devine, Emily Elizabeth,degree supervisor."	"http://hdl.handle.net/1773/35111"	"945931156"
"Bariatric surgery for severe obesity :"	"determinants of use and economic impact /"	"Rafael Alfonso-Cristancho."	"Alfonso-Cristancho, Rafael,author."	"Ph. D."	"University of Washington"	"2013"	"140908t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (70 pages) :"	"Sullivan, Sean D.,1960-degree supervisor."	"http://hdl.handle.net/1773/25199"	"890163867"
"Comparing healthcare resource use and costs for patients with normal tension glaucoma across levels of severity :"	"a nationally representative sample of commercially insured US adults age 40 and older /"	"Brennan T. Beal."	"Beal, Brennan T.,author."	"M.S."	"University of Washington"	"2020."	"200904t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (32 pages) :"	"Devine, Emily Elizabeth,degree supervisor."	"http://hdl.handle.net/1773/45756"	"1193026435"
"Prioritizing research :"	"the use of risk prediction, value of information analyses, and portfolio evaluation to improve public investments in cancer clinical trials /"	"Caroline Savage Bennette."	"Bennette, Caroline Savage,author."	"Ph. D."	"University of Washington"	"2015"	"150518t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (104 unnumbered pages) :"	"Veenstra, David L.,1967-degree supervisor."	"http://hdl.handle.net/1773/33083"	"909301431"
"Program evaluation of academic detailing on naloxone prescriptions prescribed in the U.S. Department of Veterans Affairs /"		"Mark Bounthavong."	"Bounthavong, Mark,author."	"Ph. D."	"University of Washington"	"2018."	"190125t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 98 pages)  :"	"Devine, Emily Elizabeth,degree supervisor."	"http://hdl.handle.net/1773/42906"	"1083350995"
"Exploring the uptake of value-based formulary strategies and their application to specialty drugs /"		"Elizabeth D. Brouwer."	"Brouwer, Elizabeth D,author."	"Ph. D."	"University of Washington"	"2020."	"200908t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 79 pages) :"	"Hansen, Ryan N.,degree supervisor."	"http://hdl.handle.net/1773/45759"	"1193567916"
"Evaluating recent policies to accelerate generic drug entry /"		"Shuxian Chen."	"Chen, Shuxian,author."	"Ph. D."	"University of Washington"	"2020."	"210608t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (2 unnumbered pages, vii, 128 pages) :"	"Basu, Anirban(Professor of health economics),degree supervisor."	"http://hdl.handle.net/1773/46713"	"1255528665"
"Direct health care costs of metastatic ovarian cancer in a commercially-insured population :"	"a retrospective database analysis /"	"Lauren Mika Chin."	"Chin, Lauren Mika,author."	"M.S."	"University of Washington"	"2018."	"190424t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (27 pages) :"	"Carlson, Josh,degree supervisor."	"http://hdl.handle.net/1773/43274"	"1098242463"
"Innovation, value, and uncertainty in oncology precision medicine /"		"Devender Singh Dhanda."	"Dhanda, Devender Singh,author."	"Ph. D."	"University of Washington"	"2018."	"190401t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (83 pages) :"	"Veenstra, David L.,1967-degree supervisor."	"http://hdl.handle.net/1773/43437"	"1091058478"
"Cost-effectiveness analysis of pre-ART HIV drug resistance testing in Kenya /"		"Horacio A. Duarte."	"Duarte, Horacio A.,author."	"M.S."	"University of Washington"	"2018."	"190508t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (31 unnumbered pages) :"	"Babigumira, Joseph B.,degree supervisor."	"http://hdl.handle.net/1773/42930"	"1100482598"
"Estimating the inpatient and outpatient costs of atrial fibrillation and associated adverse events /"		"Sara H. Forrester."	"Forrester, Sara H.,author."	"M.S."	"University of Washington"	"2013."	"140509t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (30 pages) :"	"Devine, Emily Elizabeth,degree supervisor."	"http://hdl.handle.net/1773/23545"	"879507002"
