245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Central nervous system transport of valproic acid /"		"by Kimberly Kalp Adkison."	"Adkison, Kimberly Kalp,1965-"	"Ph. D."	"University of Washington"	"1994"	"940628s1994\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 237 leaves :"			"30682728"
"Mechanism of carbamazepine teratogenicity /"		"by Benny Michael Amore."	"Amore, Benny Michael,1961-"	"Ph. D."	"University of Washington"	"1996"	"980317s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 176 leaves :"		"http://hdl.handle.net/1773/7939"	"38737062"
"The interaction of phenobarbital and valproic acid in the rat /"		"by Gail Denise Anderson."	"Anderson, Gail Denise."	"Ph. D."	"University of Washington"	"1987"	"870604s1987\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 177 leaves :"			"15810209"
"Pharmacokinetics and pharmacodynamics of opioid analgesics /"		"by Rosalinda Helena Gerardus Petronella Arends."	"Arends, Rosalinda Helena Gerardus Petronella,1968-"	"Ph. D."	"University of Washington"	"1998"	"990428s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 146 leaves :"		"http://hdl.handle.net/1773/7955;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9907874"	"41268845"
"Metabolic isozymes of phenytoin and their roles in its drug interactions /"		"by Manoj Bajpai."	"Bajpai, Manoj,1961-"	"Ph. D."	"University of Washington"	"1996"	"970213s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 202 leaves :"		"http://hdl.handle.net/1773/7961"	"36385930"
"Preference values for health states associated with colon cancer and its treatment /"		"Jennie H. Best."	"Best, Jennie H.,1954-"	"Ph. D."	"University of Washington"	"2007"	"071204s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 112 leaves :"		"http://hdl.handle.net/1773/7932;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3275846"	"182758854"
"The role of drug-lipid interactions in biodistribution and therapeutic effects for drugs incorporated into liposomes /"		"by Claudette R. Bethune."	"Bethune, Claudette R.,1967-"	"Ph. D."	"University of Washington"	"1999"	"000419s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 167 leaves :"		"http://hdl.handle.net/1773/7954;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9954813"	"43891059"
"The association between HMG-CoA inhibitor use and breast cancer risk & a validation study of patient interview data and pharmacy records for antihypertensive, statin, and antidepressant medication use /"		"Denise M. Boudreau."	"Boudreau, Denise M.(Denise Marie)"	"Ph. D."	"University of Washington"	"2002"	"030407s2002\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 67 leaves "		"http://hdl.handle.net/1773/7934"	"51990404"
"The economics of smoking cessation :"	"an economic simulation model comparing the costs and benefits associated with standard cessation models /"	"Ronald Caldwell, Jr."	"Caldwell, Ronald."	"M.S."	"University of Washington"	"2007"	"071220s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 61 leaves :"			"184962138"
"Health economics research in asthma :"	"the assessment of asthma control and the development of a contemporary asthma policy model /"	"Jonathan D. Campbell."	"Campbell, Jonathan D."	"Ph. D."	"University of Washington"	"2007"	"080522s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 82 leaves :"			"228504610"
