245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Response of the gallbladder and the sphincter of Oddi to intravenously injected cholecystokinin before and after the administration of atropine and pentolinum."			"Adamovics, Andris."	"M.S."	"University of Washington"		"890602s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"46 leaves"			"19803973"
"Chronotropic response following direct electrical stimulation of the isolated sinoatrail node:"	"a pharmacologic evaluation."		"Amory, David William,1928-"	"Ph. D."	"University of Washington"		"890610s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"54 leaves"			"19844692"
"The effects of hemicholinium and bretylium on the release of autonomic transmitters in the isolated sino-atrial node."			"Appel, Warren Curtis,1944-"	"M.S."	"University of Washington"		"890525s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"48 leaves"			"19763618"
"Positive inotropic effect of cardiotonic steroids"	"differential antagonism by aldosterone."		"Appel, Warren Curtis,1944-"	"Ph. D."	"University of Washington"		"890525s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84 leaves"			"19763659"
"A toxicological investigation into methoxyflurane-induced nephropathy."			"Arthaud, Larry Elbert."	"Ph. D."	"University of Washington"		"890525s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"88 leaves"			"19763752"
"A pharmacologic evaluation of the catecholamine hypothesis of intracranial self-stimulation behavior using intraventricularly administered amphetamine and apomorphine in the rhesus monkey."			"Blake, Peter Hughes."	"Ph. D."	"University of Washington"		"890512s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"125 leaves"			"19696602"
"The uptake and metabolism of carbaryl by mammalian lung."			"Blase, Barrie Wayne."	"Ph. D."	"University of Washington"		"890512s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"71 leaves"			"19696618"
"A possible role of aortic monooxygenases in the etiology of atherosclerosis :"	"studies on the metabolism of 7, 12-dimethylbenz[a]anthracene and benzo[a]pyrene in the artery wall /"	"by James Anthony Bond."	"Bond, James Anthony."		"University of Washington"		"800326s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"ix, 121 leaves, 21 unnumbered leaves of plates "			"6131408"
"Factors affecting the clearance of the anti-convulsants, phenytoin and valproic acid /"		"by Thomas Andrew Bowdle."	"Bowdle, Thomas Andrew."	"Ph. D."	"University of Washington"	"1983"	"830608s1983\\\\xx\af\\\\bm\\\000\0\eng\d"	"iv, 136 leaves, 16 unnumbered leaves of plates :"			"9587060"
"A study of the gastrointestinal monoamine oxidase of the hamster."			"Carino, Monserrat A."	"M.S."	"University of Washington"		"890513s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"48 leaves"			"19703375"
"Biotransformation of estrogenic compounds in human placental and fetal tissues /"		"by Stella Tzu Yun Chao."	"Chao, S. T."		"University of Washington"		"800825s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 83 leaves, 7 unnumbered leaves of plates :"			"6652758"
"The effect of dietary protein on the fecal excretion of end products of C¹⁴ cholesterol metabolism."			"Chinn, Chung,1938-"	"M.S."	"University of Washington"		"890621s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"25 leaves"			"19905914"
"A pharmacological study of the anti-muscarinic actions of several antidepressants."			"Chinn, Chung,1938-"	"Ph. D."	"University of Washington"		"890513s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"100 leaves"			"19703390"
"Investigation of the biotransformation of phenelzine-1-C14 with emphasis upon demonstrating a dehydrazination mechanism for monoamine oxidase."			"Clineschmidt, Bradley Van,1941-"	"Ph. D."	"University of Washington"		"890525s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"79 leaves"			"19763490"
"A study of EA 4159 and its effect on the action of physostigmine at the neuromuscular junction."			"Collins, Jane Ann."	"M.S."	"University of Washington"		"890525s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"38 leaves"			"19763432"
"A study of carbamate antidotal action against organophosphate induced toxicity."			"Colson, James Douglas."	"M.S."	"University of Washington"		"890525s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"38 leaves"			"19763693"
"Purification and reconstitution of the calcium antagonist receptor of the voltage-sensitive calcium channel /"		"by Benson Miller Curtis."	"Curtis, Benson Miller."	"Ph. D."	"University of Washington"	"1986"	"860708s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"xv, 168 leaves, 26 unnumbered leaves of plates :"			"13832029"
"Studies on the mechanism of 7,12-dimenthylbenz(A)anthracene tumor-initiation in mouse skin :"	"the role of biotransformation /"	"by John DiGiovanni."	"DiGiovanni, John."		"University of Washington"		"890508s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 92 leaves :"			"19675686"
"A pharmacological analysis of d-amphetamine-induced inhibition of food-reinforced operant behavior in Macaca fascicularis /"		"by David James Dooley."	"Dooley, David James."		"University of Washington"		"800327s1979\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 118 leaves, 1 unnumbered leaf of plates :"			"6133550"
"The characterization of human platelet prostaglandin receptors :"	"evidence for separate receptors for prostacyclin and prostaglandin E₂ /"	"by Thomas Lyle Eggerman."	"Eggerman, Thomas Lyle."	"Ph. D."	"University of Washington"	"1983"	"840307s1983\\\\xx\af\\\\bm\\\000\0\eng\d"	"viii, 121 leaves, 34 unnumbered leaves of plates :"			"10494397"
"An experimental study of the participation of the sympathetic nervous system in the lysergic acid diethylamide (LSD) reaction in cats,"		"by John Thompson Elder, Jr."	"Elder, John Thompson,1927-"	"Ph. D."	"University of Washington"		"890727s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"57, [1] leaf"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:5905459"	"20076840"
"Pharmacological mechanisms of reserpine reversal and DCI antiadrenolysis."			"Eltherington, L. G.(Lorne George)"	"Ph. D."	"University of Washington"		"890727s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"52 leaves"			"20076848"
"Some pharmacological actions of beta-phenylisopropylhydrazine (PIH)."			"Eltherington, L. G.(Lorne George)"	"M.S."	"University of Washington"		"890727s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"37 leaves"			"20076859"
"Regulation of the ovalbumin gene :"	"effects of insulin, cAMP and estrogen /"	"by Marilyn Evans."	"Evans, Marilyn."	"Ph. D."	"University of Washington"	"1983"	"831104s1983\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 104 leaves :"			"10095916"
"Mechanism of enhancement of (Ca-Mg)ATPase activity of membranes from human erythrocytes hemolyzed in isosmotic imidazole buffer."			"Farrance, Martha Louise."	"Ph. D."	"University of Washington"		"900821s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"127 leaves"			"22251517"
"Biochemical and immunological studies of the muscarinic acetylcholine receptor /"		"by Marjorie Ward Gainer."	"Gainer, Marjorie Ward."	"Ph. D."	"University of Washington"	"1985"	"860207s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"ix, 116 leaves, 7 unnumbered leaves of plates :"			"13119815"
"The kinetics of alcohol tolerance in the rat"	"the effects of practice."		"Gallaher, Edward Joseph."	"Ph. D."	"University of Washington"		"890601s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19792691"
"Pharmacological studies on isolated human umbilical vein."			"Gant, Douglas William."	"M.S."	"University of Washington"		"890601s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"49 leaves"			"19792639"
"A pharmacological study of gamma-thujaplicin."			"Halliday, John Edward,1911-"	"Ph. D."	"University of Washington"		"890630s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"97, [1] leaf"			"19950806"
"Regulation and development of the muscarinic acetylcholine receptor in chick embryonic heart /"		"by Stanley Warren Halvorsen."	"Halvorsen, Stanley Warren,1953-"	"Ph. D."	"University of Washington"	"1984"	"840905s1984\\\\xx\af\\\\bm\\\000\0\eng\d"	"ix, 120 leaves, 7 unnumbered leaves of plates :"			"11120465"
"The use of conformation-specific monoclonal antibodies for the purification and analysis of calmodulin-dependent cyclic nucleotide phosphodiesterase isozymes /"		"by Ralph Scott Hansen."	"Hansen, Ralph Scott."	"Ph. D."	"University of Washington"	"1986"	"860709s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"x, 81, [14] leaves of plates :"			"13845144"
"Isolation and characterization of bovine cardiac muscle cyclic GMP-inhibited phosphodiesterase :"	"a receptor for a new class of cardiotonic drugs /"	"by Scott Andrew Harrison."	"Harrison, Scott Andrew."	"Ph. D."	"University of Washington"	"1986"	"860710s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"ix, 89 leaves, 25 unnumbered leaves of plates :"			"13848489"
"The saxitoxin receptor of the sodium channel :"	"purification from brain and characterization /"	"by Robert Paul Hartshorne."	"Hartshorne, Robert Paul."	"Ph. D."	"University of Washington"	"1983"	"830527s1983\\\\xx\af\\\\bm\\\000\0\eng\d"	"120 leaves, 30 unnumbered leaves of plates :"			"9552568"
"General anesthetic effects on spinal cord neurons."			"Heavner, James Edward,1944-"	"Ph. D."	"University of Washington"		"890511s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"105 [1] leaf"			"19691415"
"Purification and characterization of calmodulin sensitive adenylate cyclase /"		"by Warren Heideman."	"Heideman, Warren."	"Ph. D."	"University of Washington"	"1983"	"831104s1983\\\\xx\af\\\\bm\\\000\0\eng\d"	"x, 122 leaves, 30 unnumbered leaves of plates :"			"10095855"
"The production of hyperthermia in the rabbit by an action of d-amphetamine on central dopaminergic neurons."			"Hill, Harlan Ford,1940-"	"Ph. D."	"University of Washington"		"890523s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"182 leaves"			"19749915"
"Studies on uptake and release of catecholamines by rat brain slices."			"Howd, Robert A."	"Ph. D."	"University of Washington"		"890523s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"130 leaves"			"19749946"
"Physiological and biochemical studies of newly synthesized muscarinic acetylcholine receptors in embryonic chicken heart /"		"by Dale Donald Hunter."	"Hunter, Dale Donald."	"Ph. D."	"University of Washington"	"1986"	"860708s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"xi, 124 leaves, 35 unnumbered leaves of plates :"			"13832090"
"Tissue-specific regulation of transferrin gene expression /"		"by Rejean L. Idzerda."	"Idzerda, Rejean L."	"Ph. D."	"University of Washington"	"1986"	"861017s1986\\\\xx\af\\\\bm\\\000\0\eng\d"	"iii, 88 leaves, 21 unnumbered leaves of plates :"			"14408878"
"The effects of alterations in the intercontraction interval on the electrical and mechanical actions of ouabain in isloated rabbit atria."			"Jensen, Richard Arthur,1936-"	"Ph. D."	"University of Washington"		"890614s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60 [1] leaf"			"19868881"
"The effects of epinephrine, acetylcholine, and ouabain on the interval-strength relationship in rabbit left atrium."			"Jensen, Richard Arthur,1936-"	"M.S."	"University of Washington"		"890613s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"50, [3] leaves"			"19860611"
"Mechanisms of post-tetanic potentiation and organophosphorous induced post-tetanic inhibition of muscle contraction."			"Johnson, Dennis Duane,1938-"	"Ph. D."	"University of Washington"		"890613s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19861302"
"Structural properties of thyrotropin-releasing hormone receptors from rat brain and pituitary /"		"by Wayne Arlon Johnson."	"Johnson, Wayne Arlon."	"Ph. D."	"University of Washington"	"1985"	"851220s1985\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 106 leaves, 17 unnumbered leaves of plates :"			"12939593"
"The effects of diphenylhydantoin on post tetanic hyperpolarization in isolated rabbit vagus."			"Julien, Robert Michael,1942-"	"M.S."	"University of Washington"		"890609s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60 leaves"			"19839540"
"Pharmacologic studies in experimental epilepsy"	"cerebro-cerebellar interactions and antiepileptic drugs."		"Julien, Robert Michael,1942-"	"Ph. D."	"University of Washington"		"890614s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"124 leaves"			"19868848"
"Purification and characterization of the cytoplasmic (Ca²+ +Mg²+)-ATPase activator protein of human red blood cells /"		"Norman Shang Gee Toy Jung."	"Jung, Norman Shang Gee Toy."	"M.S."	"University of Washington"		"890609s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"47 leaves :"			"19839670"
"Studies of bilirubin-albumin binding and displacement using Sephadex."			"Kalisker, Albert,1933-"	"M.S."	"University of Washington"		"890609s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"22 leaves"			"19839629"
"Studies on the interaction of vasopressin and prostaglandin in the rabbit renal medulla."			"Kalisker, Albert,1933-"	"Ph. D."	"University of Washington"		"890614s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19868590"
"The neuroanatomical substrates mediating thyrotropin-releasing hormone antagonism of pentobarbital in the rat /"		"by Peter William Kalivas."	"Kalivas, Peter William."		"University of Washington"		"801023s1980\\\\xx\af\\\\bm\\\000\0\eng\d"	"vi, 113 leaves, 20 unnumbered leaves of plates :"			"6854206"
