245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Kant's analytic/synthetic distinction."			"Allen, Roy Phillips."	"M.A."	"University of Washington"		"890620s1963\\\\xx\\\\\\\bm\\\000\0\eng\d"	"50 leaves"			"19898032"
"The effect of prefixing versus suffixing a microlanguage on the tachistoscopic identification accuracy of the semantic stimulus referents."			"Aller, Wayne Kendall,1933-"	"Ph. D."	"University of Washington"		"890620s1964\\\\xx\a\\\\\bm\\\000\0\eng\d"	"108 leaves"			"19898108"
"Aristotle's theory of moral development."			"Alper, Frederic Mark."	"M.A."	"University of Washington"		"890524s1963\\\\xx\\\\\\\bm\\\000\0\eng\d"	"101 leaves"			"19755728"
"Richard Price and the epistemology of morals ..."			"Anderson, Paul B. L."	"M.A."	"University of Washington"		"890524s1955\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 93 leaves"			"19755644"
"The natural law tradition and its influence on Hobbes's concept of obligation."			"Arbini, Ronald."	"Ph. D."	"University of Washington"		"890620s1961\\\\xx\\\\\\\bm\\\000\0\eng\d"	"234 leaves"			"19897897"
"Practical reasoning,"		"by Edward T. Bartlett, III."	"Bartlett, Edward Totterson,1938-"	"M.A."	"University of Washington"		"890620s1962\\\\xx\\\\\\\bm\\\000\0\eng\d"	"95 leaves"			"19897963"
"A critical examination of a contemporary view of positivism ..."			"Baylis, Charles Augustus,1902-"	"M.A."	"University of Washington"		"890731s1924\\\\xx\\\\\\\bm\\\000\0\eng\d"	"56 leaves"	"Savery, William,1875-1945."		"20100749"
"The quest for the historical Socrates."			"Beamer, Elbert Monroe."	"M.A."	"University of Washington"		"890524s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"56 leaves"			"19755753"
"Pragmatism and common sense in the philosophy of C.S. Peirce,"		"by James C. Bohan, Jr."	"Bohan, James Charles,1935-"	"M.A."	"University of Washington"		"890620s1962\\\\xx\\\\\\\bm\\\000\0\eng\d"	"96 leaves"			"19899872"
"The common ground of mechanism and vitalism."			"Brakel, Anna Elnora."				"960909s1918\\\\xx\\\\\\\bm\\\000\0\eng\d"	"45 leaves"			"35447734"
"Metaphysical ideas involved in Whitehead's educational theory."			"Branch, William."	"M.A."	"University of Washington"		"890620s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"62 leaves"			"19899910"
"An examination of some definitions of reality ..."			"Brown, Sarah."				"961025s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"148 leaves"			"35794757"
"The role of common sense in the empiricism of Charles Sanders Peirce."			"Broyles, James Earl."	"Ph. D."	"University of Washington"		"890620s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"121 leaves"			"19899633"
"Ryle's concept of imagery."			"Broyles, James Earl."	"M.A."	"University of Washington"		"890620s1959\\\\xx\\\\\\\bm\\\000\0\eng\d"	"84, [1] leaf"			"19899215"
"The analytic-synthetic distinction."			"Bush, John McKnight Brayston,1938-"	"M.A."	"University of Washington"		"890731s1963\\\\xx\\\\\\\bm\\\000\0\eng\d"	"82 leaves"			"20100691"
"Is existence a predicate?"		"By Joseph Gerard Bussy, S.J."	"Bussy, Joseph Gerard,1907-"	"Ph. D."	"University of Washington"		"890731s1957\\\\xx\\\\\\\bm\\\000\0\eng\d"	"196, [1] leaf"			"20100634"
"Poetry and intention."			"Butterfield, Philip."	"M.A."	"University of Washington"		"890620s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"76 leaves"			"19898144"
"Reid and Hamilton on sense perception."			"Caldwell, Robert Lee,1923-"	"Ph. D."	"University of Washington"		"890620s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"247, [2] leaves"			"19898237"
"Social thought and scientific method: a study of Karl Popper."			"Chaddock, David Bradbury."	"M.A."	"University of Washington"		"890731s1962\\\\xx\\\\\\\bm\\\000\0\eng\d"	"155 leaves"			"20100682"
"Sense-data and matter"	"a study of Moore's problem of sense-perception in his early writings."		"Cheng, Zhongying,1935-"	"M.A."	"University of Washington"		"890731s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"113 leaves"			"20100662"
"On mathematical discovery."			"Chihara, Charles S.,1932-"		"University of Washington"		"180611s1960\\\\xx\\\\\\\bm\\\000\0\eng\d"	"xviii, 331 leaves"			"1039724324"
"On critical opinion."			"Clegg, Jerry Stephen,1933-"	"Ph. D."	"University of Washington"		"890620s1962\\\\xx\\\\\\\bm\\\000\0\eng\d"	"156 leaves"			"19897927"
"The historical and logical relations between Hegel and Marx ..."			"Cooper, Rebecca."				"960627s1924\\\\xx\\\\\\\bm\\\000\0\eng\d"	"196 leaves"			"34999607"
"The concept of sense data in some contemporary theories of knowledge."			"Craig, Carolyn R."	"M.A."	"University of Washington"		"890620s1955\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 120 leaves"			"19898504"
"Santayana's definition of beauty ..."			"Crisler, Lois."				"961101s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"68 leaves"			"35834717"
"Hume's theory of the passions."			"Crowell, Edward Floyd,1940-"	"M.A."	"University of Washington"		"890711s1964\\\\xx\\\\\\\bm\\\000\0\eng\d"	"47 leaves"			"19989402"
"A critique of Langer's aesthetics."			"Davis, Ronald La Vell."	"M.A."	"University of Washington"		"890711s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"115 leaves"			"19989392"
"An examination of the principle of simplicity ..."			"Demoss, Esther."	"M.A."	"University of Washington"		"890531s1933\\\\xx\\\\\\\bm\\\000\0\eng\d"	"40 leaves"			"19787959"
"On Pepper's theory of the aesthetic object."			"Dennis, Lockwood."	"M.A."	"University of Washington"		"890531s1962\\\\xx\\\\\\\bm\\\000\0\eng\d"	"49 leaves"			"19787664"
"A study of Collingwood's philosophy of history."			"Drengson, Alan Rodney."	"M.A."	"University of Washington"		"890531s1960\\\\xx\\\\\\\bm\\\000\0\eng\d"	"95 leaves"			"19787486"
"Substance and events ..."			"Duell, Gwendolyn Ethel."	"M.A."	"University of Washington"		"890531s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"99 leaves"			"19787424"
"Russell and Strawson on descriptions."			"Duerlinger, James Peter."	"M.A."	"University of Washington"		"890531s1963\\\\xx\\\\\\\bm\\\000\0\eng\d"	"91 leaves"			"19787533"
"Erewhon and free-will revisited."			"Foxx, Robert Gray,1935-"	"Ph. D."	"University of Washington"		"890620s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"74 leaves"			"19898376"
"Is pleasure a feeling?"			"Foxx, Robert Gray,1935-"	"M.A."	"University of Washington"		"890620s1963\\\\xx\\\\\\\bm\\\000\0\eng\d"	"45, [1] leaf"			"19898444"
"The problem of truth in the light of modern logic."			"Freyd, Bernard."				"960909s1918\\\\xx\\\\\\\bm\\\000\0\eng\d"	"19 leaves"			"35447816"
"Human knowledge of God's simplicity in Spinoza."			"Garrett, Richard George."	"M.A."	"University of Washington"		"890731s1963\\\\xx\\\\\\\bm\\\000\0\eng\d"	"52 leaves"			"20100639"
"The function of reason and faith in Reinhold Niebuhr's interpretation of Christianity."			"Gill, Gerald Henry."	"M.A."	"University of Washington"		"890731s1957\\\\xx\\\\\\\bm\\\000\0\eng\d"	"60 leaves"			"20100649"
"Criteria, analyticity, and philosophy."			"Grant, Brian Eric James."	"M.A."	"University of Washington"		"890731s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"104 leaves"			"20100697"
"The problem of universals in aesthetics."			"Gundlach, Alice Lathrop."				"960717s1926\\\\xx\\\\\\\bm\\\000\0\eng\d"	"64 [1] leaf"			"35097315"
"A critical examination of some recent conceptions of the nature of metaphysics."			"Hagen, Fred William,1930-"	"Ph. D."	"University of Washington"		"890620s1959\\\\xx\\\\\\\bm\\\000\0\eng\d"	"348, [1] leaf"			"19898341"
"Distributive justice and social utility."			"Haines, Byron Linwood,1936-"	"M.A."	"University of Washington"		"890620s1963\\\\xx\\\\\\\bm\\\000\0\eng\d"	"91 leaves"			"19898181"
