245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Quantum electrodynamics with no photon self-energy insertions."			"Abdellatif, Refat Ahmed,1940-"	"Ph. D."	"University of Washington"		"890614s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"95 leaves"			"19866910"
"Measurement of the differential cross section near 180° in elastic K proton scattering between 1.0 and 1.5 GeV/c."			"Adams, Ulrich."	"Ph. D."	"University of Washington"		"890613s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"132 leaves"			"19860284"
"K-nucleus optical potential for kaonic atoms."			"Alberg, Mary Ann."	"Ph. D."	"University of Washington"		"890517s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"134 leaves"			"19720641"
"The magnetic moment of the [lambda] hyperon."			"Alley, Paul W.,1942-"	"Ph. D."	"University of Washington"		"890629s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"177 leaves"			"19947834"
"Ion transport through nerve membranes."			"Baker, Marcia Bourgin,1938-"	"Ph. D."	"University of Washington"		"890526s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"119 leaves"			"19767248"
"Depolarization in the elastic scattering of 17 MeV polarized protons from ⁹Be."			"Baker, Michael Paul."	"Ph. D."	"University of Washington"		"890526s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"121 leaves"			"19767259"
"Optical properties of some rare earth metals."			"Blake, Graeme Arden."	"Ph. D."	"University of Washington"		"890511s1975\\\\xx\a\\\\\bm\\\000\0\eng\d"	"312 leaves"			"19691464"
"Recoil corrections made easy."			"Bodine, Norman Ralph,1942-"	"Ph. D."	"University of Washington"		"890511s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"122 leaves"			"19691431"
"Light-nucleus reactions with definite isospin leading to correlated proton-neutron final states."			"Braithwaite, Wilfred John,1940-"	"Ph. D."	"University of Washington"		"890615s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"92 leaves"			"19872633"
"Sixth order charge renormalization constant."			"Brandt, Howard Edward,1939-"	"Ph. D."	"University of Washington"		"890511s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"128 leaves"		"http://hdl.handle.net/1773/9744;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7100948"	"19691428"
"Sub-monolayer helium films on graphite -"	"a heat capacity study."		"Bretz, Michael,1938-"	"Ph. D."	"University of Washington"		"890615s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"82 leaves"			"19872480"
