245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The hypothalamic control of body temperature."			"Adams, Thomas,1930-"	"Ph. D."	"University of Washington"		"890531s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"132 leaves"			"19787877"
"Conductance and relaxation kinetics of acetylcholine sensitive ionic channels."			"Anderson, Charles Richard."	"Ph. D."	"University of Washington"		"890519s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"45 leaves"			"19735403"
"An electrophysiological study of efferent cell groups in the red nucleus of the cat."			"Anderson, Marjorie Elizabeth,1941-"	"Ph. D."	"University of Washington"		"890519s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"124 leaves"			"19735344"
"Effect of lesions in the cerebellar fastigial nucleus on the baroreflex and cardiovascular responses to body tilting."			"Astley, Clifford Andrew."	"M.S."	"University of Washington"		"890525s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"46 leaves"			"19764330"
"Middle ear studies in the rhesus monkey."			"Barga, Jack Lee."	"M.S."	"University of Washington"		"890525s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"110 leaves"			"19764195"
"Time course and transmitter release at the frog neuromuscular junction."			"Barrett, Ellen Faye,1944-"	"Ph. D."	"University of Washington"		"890525s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"64 leaves"			"19764098"
"The passive properties of cat motoneurons and their influence on the effectiveness of dendritic synapses."			"Barrett, John Neil,1943-"	"Ph. D."	"University of Washington"		"890525s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"59 leaves"			"19764142"
"A quantitative description of pharmacologically modified endplate currents,"		"by Kurt George Beam, Jr."	"Beam, Kurt George."	"Ph. D."	"University of Washington"		"890519s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"19735430"
"Cardiac muscle contracitility"	"effects of MgATP²⁻."		"Best, Philip Moorhouse."	"Ph. D."	"University of Washington"		"890516s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"80 leaves"			"19713701"
"Human temperature regulation"	"dynamic characteristics of metabolic response."		"Brengelmann, George Leslie,1935-"	"Ph. D."	"University of Washington"		"890619s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"173 leaves"			"19888819"
"In vivo Na²⁴ uptake in brain,"		"by George Frank Brooks, Jr."	"Brooks, George Frank."	"M.S."	"University of Washington"		"890610s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"59 leaves"			"19844785"
"Modifications of sodium channel gating by neurotoxins."			"Cahalan, Michael Daniel."	"Ph. D."	"University of Washington"		"890525s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"95 leaves"			"19764231"
"Motoneuron input-output mechanisms"	"analysis by intracellular recording."		"Calvin, William H.,1939-"	"Ph. D."	"University of Washington"		"890525s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"146 leaves"			"19763351"
"Ionic selectivity of the sodium channel of frog muscle."			"Campbell, Donald T."	"Ph. D."	"University of Washington"		"890525s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"56 leaves"			"19764295"
"Inactivation of sodium channels"	"second order kinetics in myelinated nerve."		"Chiu, Shing-yan."	"Ph. D."	"University of Washington"		"890516s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"85 leaves"			"19713845"
"Recruitment order, contractile characteristics and firing patterns of motor units in the temporalis muscle of monkeys."			"Clark, Robert William."	"Ph. D."	"University of Washington"		"890513s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"114 leaves"			"19703305"
"Topographical representation of vascular smooth muscle of limbs in primate motor cortex."			"Clarke, Neville Pressley,1930-"	"Ph. D."	"University of Washington"		"890525s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"210 leaves"		"http://hdl.handle.net/1773/10546;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:6714161"	"19764030"
"Frequency-dependent inhibition of sodium currents in frog myelinated nerve by GEA 968, a new lidocaine derivative."			"Courtney, Kenneth Randall."	"Ph. D."	"University of Washington"		"890525s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"79 leaves"			"19764271"
"On the nature of peripheral temperature information within the central nervous system."			"Courtney, Kenneth Randall."	"M.S."	"University of Washington"		"890525s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"58 leaves"			"19764059"
"Heart rate response to sympathetic stimulation before and after sodium pentobarbital."			"Cowan, Marie Jeanette."	"M.S."	"University of Washington"		"890525s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"35 leaves"			"19764173"
"Functional characteristics of neurons in the lateral reticular nucleus with reference to somatotopic localization in the cerebellum."			"Crichlow, Eugene Chinloy,1932-"	"Ph. D."	"University of Washington"		"890726s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"141 leaves"			"20071886"
"Carotid sinus reflex influence on plasma renin activity."			"Cunningham, Susanna Lee."	"Ph. D."	"University of Washington"		"890619s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"85 leaves"			"19888794"
"Characterization of the effects of Mg² on Ca² and Sr² -activated tension generation of skeletal muscle."			"Donaldson, Sue Karen."	"Ph. D."	"University of Washington"		"890515s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"82 leaves"			"19704469"
"Physiological and histochemical characteristics of motor units in tibialis anterior and extensor digitorum longus of the cat."			"Dum, Richard Paul."	"Ph. D."	"University of Washington"		"890515s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"264 leaves"			"19704672"
"Studies of the patterns of activity in the terminal ileum of the rhesus monkey."			"Ehle, Albert Lawrence."	"M.S."	"University of Washington"		"890615s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"38 leaves"			"19873078"
"Renal vascular response to hyperthermia in the baboon - role of renin angiotensin."			"Eisman, Martin Michael."	"Ph. D."	"University of Washington"		"900810s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"107 leaves"			"22205367"
"Saccadic eye movements of the cat :"	"behavioral and neurophysiological investigation /"	"by Leslie Craig Evinger."	"Evinger, Leslie Craig."		"University of Washington"		"890601s1979\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 153 leaves :"			"19792794"
"Microvascular blood pressures and dimensions in the wing of the intact, unanesthetized bat."			"Fox, James Richard,1943-"	"Ph. D."	"University of Washington"		"890601s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"75 leaves"			"19792751"
"Experimental and theoretical studies of the properties of baroreceptors."			"Franz, Günter Norbert,1935-"	"Ph. D."	"University of Washington"		"890601s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"113 leaves"			"19792715"
"Ca-activated tension of skinned muscle fibers"	"dependence on MgATP concentration."		"Godt, Robert Eugene,1942-"	"Ph. D."	"University of Washington"		"890615s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"128 leaves"			"19876101"
"Morphological and electrotonic properties of identified neurons of the mollusc, Aplysia californica."			"Graubard, Katherine."	"Ph. D."	"University of Washington"		"890513s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"198 leaves"			"19703290"
"The mesotubarium superius of the rabbit"	"a model for physiological investigations of reproductive smooth muscle."		"Halbert, Sheridan Allen,1943-"	"Ph. D."	"University of Washington"		"890510s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"198 leaves"			"19688613"
"Propagation speed in myelinated nerve"	"dependence on external sodium."		"Hardy, William Lyle,1936-"	"Ph. D."	"University of Washington"		"890510s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"210 leaves"			"19688554"
"The uptake of adenosine triphosphate and related compounds by in vitro rabbit ileum."			"Harms, Verna K."	"Ph. D."	"University of Washington"		"890510s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"58 leaves"			"19688674"
"Neuronal population analysis of evoked single unit activity in nucleus ventralis posterior of the cat thalamus."			"Harris, Fredric Alan,1938-"	"Ph. D."	"University of Washington"		"890510s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"303 leaves"			"19688474"
"Electrical properties of frog atrial trabeculae following injury."			"Heath, Milan John."	"Ph. D."	"University of Washington"		"890510s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"158 leaves"			"19688733"
"Interactions among anions in frog sartorius muscle membrane."			"Hestenes, John Didrik."	"Ph. D."	"University of Washington"		"890522s1973\\\\xx\a\\\\\bm\\\000\0\eng\d"	"293 leaves"			"19746770"
"Mechanical properties of mammalian lung."			"Hildebrandt, Jacob,1930-"	"Ph. D."	"University of Washington"		"890530s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"118 leaves"			"19781739"
"An analysis of intracellular potentials from respiratory neurons."			"Hildebrandt, Judith Rose,1936-"	"Ph. D."	"University of Washington"		"890530s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"1 volume (various pagings)"			"19781785"
"Decreased renal blood flow in the baboon during mild, dynamic leg exercise."			"Hohimer, Alan Roger."	"Ph. D."	"University of Washington"		"890523s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"79 leaves"			"19749539"
"Regions of the medulla oblongata mediating carotid sinus baroceptor reflexes"	"an electrophysiological study."		"Humphrey, Donald Ray,1935-"	"Ph. D."	"University of Washington"		"890530s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"189 leaves"			"19781829"
"Carotid sinus reflex control of peripheral vascular resistance."			"Ito, Cyril Shigemi,1932-"	"Ph. D."	"University of Washington"		"890615s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"229 leaves"			"19871986"
"Intracellular pH of frog skeletal muscle using the DMO method."			"Izutsu, Kenneth Takeshi,1942-"	"Ph. D."	"University of Washington"		"890614s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19869290"
"Ventilatory responses to inhaled CO₂ during sleep in the infant primate."			"Jacky, Jonathan Paul."	"Ph. D."	"University of Washington"		"890615s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"111 leaves"			"19873422"
"Mechanism of insulin-induced paralysis in muscles from potassium-depleted rats,"	"an animal model for hypokalemic periodic paralysis."		"Kao, Luke Ing."	"Ph. D."	"University of Washington"		"890515s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"55 leaves"			"19704581"
"Effect of hypothalamic thermal pattern on systemic cardiovascular response."			"Kastella, Kenneth George,1933-"	"Ph. D."	"University of Washington"		"890515s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19704398"
"The segmental coronary vascular resistance response to sympathetic stimulation and catecholamines in dogs."			"Kelley, Katharine Olivia."	"M.S."	"University of Washington"		"890515s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"32 leaves"			"19704787"
"The pressure response to volume forcing in the turtle ventricle."			"Kerrick, Wallace Glenn Lee,1933-"	"Ph. D."	"University of Washington"		"890515s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"92 leaves"			"19704431"
"Quantitative analysis of the activity of neurons in the accessory oculomotor nuclei and the mesencephalic reticular formation of alert monkeys in relation to vertical eye movements induced by visual and vestibular stimulation."			"King, William Michael."	"Ph. D."	"University of Washington"		"890515s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"113 leaves"			"19704626"
"Isometric tension response of ""skinned"" rabbit soleus muscle fibers to nucleoside triphosphates in the absence of calcium,"	"effects of [Mg²], pH, and [K]."		"Krasner, Brian Harry."	"Ph. D."	"University of Washington"		"890515s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"150 leaves"			"19704721"
"Cellular patterns in the superior colliculus of the rat"	"a Golgi study."		"Langer, Thomas Paul."	"M.S."	"University of Washington"		"890601s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"114 leaves"			"19792816"
"Inhibition of skeletal muscle protein degradation by chloroquine and leupeptin :"	"in incubated intact extensor digitorum longus and soleus muscles from fed, fasted, and diabetic rates. Interactions with insulin in Vitro /"	"by John William Leidy, Jr."	"Leidy, John William."		"University of Washington"		"791030s1979\\\\xx\f\\\\\bm\\\000\0\eng\d"	"vii, 95 leaves, 7 unnumbered leaves of plates "			"5625062"
"Ion permeation through acetylcholine-activated channels at the frog neuromuscular junction."			"Lewis, Carol Ann."	"Ph. D."	"University of Washington"		"890518s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"76 leaves"			"19726278"
"A comparison of the awake baboon's ventilatory response to systematically administered and inhaled CO₂."			"Lewis, Steven Mark."	"Ph. D."	"University of Washington"		"890518s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"125 leaves"			"19726220"
"Responses of flocculus purkinje cells and mossy fibers during smooth eye movements evoked by visual and vestibular stimuli in behaving monkey."			"Lisberger, Stephen Gates."	"Ph. D."	"University of Washington"		"890518s1976\\\\xx\a\\\\\bm\\\000\0\eng\d"	"164 leaves"			"19726236"
"The relationship of MgATP to force generation in striated muscle."			"Magid, Alan David."	"Ph. D."	"University of Washington"		"890522s1974\\\\xx\a\\\\\bm\\\000\0\eng\d"	"77 leaves"			"19746805"
"An analysis of facilitation of end-plate potentials at the frog neuromuscular junction."			"Magleby, Karl Le Grande,1943-"	"Ph. D."	"University of Washington"		"890522s1970\\\\xx\a\\\\\bm\\\000\0\eng\d"	"81 leaves"			"19746573"
"The effects of an experimental acoustic tumor on stapedius reflex activity in the monkey,"		"by Charles Adley Mangham, Jr."	"Mangham, Charles Adley."	"M.S."	"University of Washington"		"890518s1977\\\\xx\a\\\\\bm\\\000\0\eng\d"	"104 leaves"			"19726260"
"Effect of isolation rearing on the heart rate response to sound in monkeys."			"Martin, Robert Eugene,1944-"	"M.S."	"University of Washington"		"890522s1972\\\\xx\a\\\\\bm\\\000\0\eng\d"	"35 leaves"			"19746714"
