245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The organization of municipal government in Seattle ..."			"Bachman, Paul Stanton,1901-"	"M.A."	"University of Washington"		"890731s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"[4] 75 leaves"			"20100834"
"The political theory of Benjamin Franklin ..."			"Bain, Florence Davis."	"M.A."	"University of Washington"		"890728s1927\\\\xx\\\\\\\bm\\\000\0\eng\d"	"122 leaves"			"20082637"
"Measuring city government - the Munro criteria applied to Seattle ..."			"Barbour, Dana Mills."	"M.A."	"University of Washington"		"890622s1930\\\\xx\a\\\\\bm\\\000\0\eng\d"	"123 leaves"			"19909620"
"Annexation and consolidation of local governments in the state of Washington ..."			"Barthell, Russell William."	"M.A."	"University of Washington"		"890622s1931\\\\xx\abd\\\bm\\\000\0\eng\d"	"iv, 187 leaves"			"19909709"
"The development of a federal budgetary practice ..."			"Beardsley, Arthur S.(Arthur Sydney),1889-1950."	"M.A."	"University of Washington"		"890731s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"93 leaves"			"20100820"
"Some factors affecting candidacy for public office ..."			"Becher, Edmund Theodore."	"M.A."	"University of Washington"		"890605s1934\\\\xx\a\\\\\bm\\\000\0\eng\d"	"137 leaves"			"19816503"
"The land problems of Mexico ..."			"Beynon, Abi Elizabeth."	"Ph. D."	"University of Washington"		"890621s1930\\\\xx\b\\\\\bm\\\000\0\eng\d"	"2 volumes"			"19905768"
"Treaties, agreements, and proposals of the Roosevelt administration with Latin America ..."			"Boettcher, Anton Robert."	"M.A."	"University of Washington"		"890606s1937\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 125 leaves"			"19823251"
"The securities and exchange commission"	"a study in public administration ..."		"Botsford, Walter Sewell."				"930630s1937\\\\xx\\\\\\\bm\\\000\0\eng\d"	"151 leaves"			"28362248"
"The administration of Leonard Wood in the Philippine Islands ..."			"Brown, Mary Catherine."	"M.A."	"University of Washington"		"890609s1929\\\\xx\\\\\\\bm\\\000\0\eng\d"	"88, [3] leaves"			"19839429"
"The arguments used in opposing the ratification of the United States constitution ..."			"Burkman, Joel Andrew."				"961028s1925\\\\xx\\\\\\\bm\\\000\0\eng\d"	"114 leaves"			"35801074"
"The International Labor Office"	"a study in international administration ..."		"Burns, Kirk Lycurgus."	"M.A."	"University of Washington"		"890803s1948\\\\xx\ao\\\\bm\\\000\0\eng\d"	"287 leaves"			"20121083"
"The cancellation of the air mail contracts and the air mail litigation ..."			"Campbell, Ernest Howard."	"M.A."	"University of Washington"		"890712s1936\\\\xx\abh\\\bm\\\000\0\eng\d"	"ii, 221 leaves"			"19997366"
"The theory of the nonpartisan nomination and election of state judges ..."			"Cave, Floyd Augustine."				"960627s1924\\\\xx\\\\\\\bm\\\000\0\eng\d"	"85 leaves"			"34999604"
