245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The conditioning of young steelhead trout to colored lights."			"Adkins, Ronald James,1932-"	"M.S."	"University of Washington"		"890524s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"35 leaves"			"19756003"
"The effect of an irrelevant drive on learning a black-white discrimination by the rat."			"Aller, Wayne Kendall,1933-"	"M.S."	"University of Washington"		"890621s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"66, [9] leaves"			"19904209"
"A study of the relationship between social desirability as a psychological variable and learning performance in a complex verbal task."			"Brown, Philip Kier,1917-"	"Ph. D."	"University of Washington"		"890616s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"75, [1] leaf"			"19881640"
"The effect of a training school experience on delinquent boys as measured by objective personality tests /"		"by Sylvan Bernard Caditz."	"Caditz, Sylvan Bernard,1925-"	"Ph. D."	"University of Washington"		"890621s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"58 leave "			"19902787"
"The primary dimensions of item ratings on scales designed to measure 24 of Murray's manifest needs."			"Cambell, Mary Marjorie,1910-"	"Ph. D."	"University of Washington"		"890614s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"180, 11, [1] leaf"			"19868647"
"""Ego-integration"" in the Bender-Gestalt reproductions of persons classified on the basis of certain MMPI configurations."			"Campbell, James McKinley,1927-"	"M.S."	"University of Washington"		"890621s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"25 leaves"			"19903995"
"Verbal conditioning as a function of the personality characteristics of experimenters and subjects."			"Campbell, James McKinley,1927-"	"Ph. D."	"University of Washington"		"890621s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"83, [1] leaf"			"19903020"
"The adjustment of older adults and its relationship to time perspective and past satisfaction."			"Campbell, Mary Marjorie."	"M.S."	"University of Washington"		"890614s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19867586"
"Competition within cooperative groups."			"Cottrell, Nickalas Balfe,1937-"	"M.S."	"University of Washington"		"890621s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"93 leaves"			"19904147"
"The relation of anxiety, sex, and instructions to performance and verbal behavior during anagram solution."			"Crager, Richard Lynn,1930-"	"Ph. D."	"University of Washington"		"890621s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"49, [1] leaf"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:5905457"	"19902811"
"The role of contiguity vs. discrimination in establishing a secondary reinforcer for verbal learning.b."			"Crawford, Jack Jay,1922-"	"M.S."	"University of Washington"		"890621s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"22 leaves"			"19904092"
"Relationships between Edwards Personal Preference Schedule and the Minnesota Multiphasic Personality Inventory."			"Crow, William Ray."	"M.S."	"University of Washington"		"890711s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"26 leaves"			"19989480"
