245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Application behavior as a consequential juncture in the take-up of postsecondary education /"		"Grant H. Blume."	"Blume, Grant H.,author."	"Ph. D."	"University of Washington"	"2016"	"160728t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 187 pages)"	"Long, Mark C.,1967-degree supervisor."	"http://hdl.handle.net/1773/36392"	"954164419"
"Think globally, act locally? :"	"local mitigation within a rational choice framework /"	"Ryan Bodanyi."	"Bodanyi, Ryan,author."	"Ph. D."	"University of Washington"	"2015"	"151204t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 136 pages) :"	"Thomas, Craig W.(Associate professor of political science),degree supervisor."	"http://hdl.handle.net/1773/33438"	"931101408"
"Institutional influence :"	"the role of international donors in shaping development goals, implementation and effectiveness /"	"Anne L. Buffardi."	"Buffardi, Anne L."	"Ph. D."	"University of Washington"	"2011"	"120426s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 143 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3501502"	"789687607"
"The impacts of workforce development and wage policies on the economic well-being of low-income individuals and families /"		"Colleen K. Chrisinger."	"Chrisinger, Colleen K."	"Ph. D."	"University of Washington"	"2010"	"110426s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 107 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431513"	"714902266"
"Traffic-related air pollution :"	"science and policy : blood pressure response to controlled diesel exhaust exposure in human subjects & factors influencing air quality policy implementation and success /"	"Kristen E. Cosselman."	"Cosselman, Kristen E."	"M.S.;M.P.A."	"University of Washington;University of Washington"	"2011;2011"	"120125s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"41 leaves :"			"773821013"
"Stakeholder buy-in to marine and coastal resource management under conditions of complex governance /"		"Katherine Marshall Crosman."	"Crosman, Katherine Marshall,author."	"Ph. D."	"University of Washington"	"2019."	"191115t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (255 pages) :"	"Bostrom, Ann,degree supervisor.;Allison, E. H.(Edward Hugh),degree supervisor."	"http://hdl.handle.net/1773/44668"	"1127829004"
"Challenges to effective third-party certification in environmental policy /"		"Tyler Blake Davis."	"Davis, Tyler Blake,author."	"Ph. D."	"University of Washington"	"2018"	"181107t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (153 unnumbered pages) :"	"Thomas, Craig W.(Associate professor of political science),degree supervisor."	"http://hdl.handle.net/1773/42094"	"1061561481"
"Creating a performance culture? :"	"informal institutions and education reform /"	"Katharine Elizabeth Neem Destler."	"Destler, Katharine Elizabeth Neem,author."	"Ph. D."	"University of Washington"	"2013."	"140702t20132013wau\\\\\obm\\s000\0\eng\d"	"1 online resource (238 pages)"	"Page, Stephen B.,degree supervisor."	"http://hdl.handle.net/1773/25115"	"882488515"
"Compounding inequality :"	"criminal sanctions and racial gaps in educational attainment /"	"Danielle Fumia."	"Fumia, Danielle,author."	"Ph. D."	"University of Washington"	"2013."	"140429t20132013waua\\\\od\\\\000\0\eng\d"	"1 online resource (163 pages) :"	"Long, Mark C.,degree supervisor."	"http://hdl.handle.net/1773/23456"	"878571248"
"Delivering participatory development through foreign aid contracts /"		"Amy Beck Harris."	"Harris, Amy Beck,author."	"Ph. D."	"University of Washington"	"2020."	"210316t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (xv, 272 pages) :"	"Gugerty, Mary Kay,degree supervisor."	"http://hdl.handle.net/1773/46341"	"1241985762"
