245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"National survey of capnography monitoring in pediatric emergency department patients /"		"Stanford H. Ackley."	"Ackley, Stanford H.,1974-"	"M.P.H."	"University of Washington"	"2010"	"101116s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 33 leaves :"			"681556630"
"Assessment of the risk of melanoma in relatives of patients with Parkinson's disease /"		"Renee Agatsuma."	"Agatsuma, Renee,author."	"M.S."	"University of Washington"	"2013."	"140703t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (31 pages) :"	"Edwards, Karen(Karen Louise),degree supervisor."	"http://hdl.handle.net/1773/25160"	"882584771"
"No way out :"	"stigma and discrimination experiences of women who are affected and infected with HIV/AIDS in West Bengal, India /"	"Chami T. Arachchi."	"Arachchi, Chami T."	"M.P.H."	"University of Washington"	"2009"	"091109s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 44 leaves :"			"464288827"
"Return of aggregate results in biorepository research :"	"an exploratory study of participant perspectives and preferences /"	"Emily Bane."	"Bane, Emily."	"M.P.H."	"University of Washington"	"2012"	"130815s2012\\\\xx\\\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 71 pages)"	"Fullerton, Stephanie M.,thesis advisor."	"http://hdl.handle.net/1773/22426;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1533471"	"855878213"
"Genetic testing in Immigration for family reunification :"	"ethical, legal, and social implications /"	"Llilda Barata."	"Barata, Llilda."	"Ph. D."	"University of Washington"	"2012"	"130709s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (viii, 124 pages) :"	"Starks, Helene Elizabeth,thesis advisor."	"http://hdl.handle.net/1773/22022"	"852255396"
"Sharing genomic and phenotypic data for genomewide association studies :"	"research participant perspectives /"	"Julie Magdalen Bares."	"Bares, Julie Magdalen."	"M.P.H."	"University of Washington"	"2008"	"090210s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 71 leaves "			"302359405"
"Respiratory illnesses at the 2009 U.S. Army ROTC advanced camp /"		"John P. Barrett."	"Barrett, John P.,1966-"	"M.S."	"University of Washington"	"2010"	"101104s2010\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 17 leaves "			"677962239"
"Marketing of genetic tests :"	"a systematic analysis of the frequency, content, and accuracy of physician-directed advertisements for genetic tests /"	"Kathryn M. Battuello."	"Battuello, Kathryn M."	"M.P.H."	"University of Washington"	"2002"	"030402s2002\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 85 leaves "			"51961915"
"From bench to bedside :"	"understanding multiple dimensions of pediatric HIV in Kenya /"	"Kristin M. Beima-Sofie."	"Beima-Sofie, Kristin M.,author."	"Ph. D."	"University of Washington"	"2013"	"140519t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 75 pages) :"	"John-Stewart, Grace,degree supervisor."	"http://hdl.handle.net/1773/23656"	"880199566"
"Genetic numeracy in college students :"	"a quantitative analysis /"	"Margo W. Bergman."	"Bergman, Margo W.(Margo Waddell),1976-"	"M.P.H."	"University of Washington"	"2012"	"121003s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource :"	"McGrath, Barbara Burns,thesis advisor."	"http://hdl.handle.net/1773/20232;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1508729"	"811778035"
