245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A management strategy evaluation of the harvest policies of the North Pacific Fishery Management Council used for the fishery for walleye pollock (Theragra chalcogramma) in the Gulf of Alaska /"		"Zoetrope Teresa A'mar."	"A'mar, Zoetrope Teresa."	"Ph. D."	"University of Washington"	"2009"	"090811s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 244 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3356594"	"430053933"
"Quantifying error and uncertainty in fishery stock assessment models /"		"Zoetrope Teresa A'mar."	"A'mar, Zoetrope Teresa."	"M.S."	"University of Washington"	"2004"	"040910s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 97 leaves :"			"56484020"
"Estimation of gear selectivity, growth and mortality parameters, and alternative harvesting strategies :"	"a multiple gillnet fishery for Corvina reina (Cynoscion albus) population /"	"by Benyounes Amjoun."	"Amjoun, Benyounes."	"Ph. D."	"University of Washington"	"1997"	"971202s1996\\\\xx\ab\\\\bm\\\000\0\eng\d"	"xv, 208 leaves :"		"http://hdl.handle.net/1773/6380"	"38025895"
"Monte Carlo methods for inference in population genetic models /"		"Eric C. Anderson."	"Anderson, Eric C.,1970-"	"Ph. D."	"University of Washington"	"2001"	"020115s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 195 pages :"		"http://hdl.handle.net/1773/6368;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3022805"	"48788278"
"Mesoscale eddies and ichthyoplankton composition in the Gulf of Alaska /"		"Elizabeth C. Atwood."	"Atwood, Elizabeth C.,1982-"	"M.S."	"University of Washington"	"2010"	"100927s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 113 leaves :"			"665934541"
"Development, parameterization and numerical solution of an unsaturated flow model for water in the sapwood of a Douglas-fir tree /"		"Craig Alvan Aumann."	"Aumann, Craig Alvan,1970-"	"Ph. D."	"University of Washington"	"2001"	"011011s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 206 pages :"		"http://hdl.handle.net/1773/6374;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3013926"	"48126342"
"A growth model for larval salmon with application to field and laboratory observations of chinook salmon (Oncorhynchus tschawytscha) /"		"by William Nicholas Beer."	"Beer, William Nicholas."	"M.S."	"University of Washington"	"1996"	"970121s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x. 102 leaves :"			"36234877"
"Incorporating cognition into models of animal movement and predator--prey interaction /"		"Chloe Bracis."	"Bracis, Chloe,author."	"Ph. D."	"University of Washington"	"2014"	"150306t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 150 pages) :"	"Anderson, James J.(James Jay),degree supervisor."	"http://hdl.handle.net/1773/27579"	"904448962"
"A model of the ocean migration of Pacific salmon /"		"Chloe Bracis."	"Bracis, Chloe."	"M.S."	"University of Washington"	"2010"	"101109s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 99 pages :"			"680052038"
"Comparing methods for inferring site biological condition from a sample of site biota /"		"Kevin W. Brinck."	"Brinck, Kevin W."	"M.S."	"University of Washington"	"2002"	"030213s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 110 leaves :"			"51643258"
