245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Initial development of a patient-reported item bank to assess mobility of people who use lower limb orthoses /"		"Geoffrey Balkman."	"Balkman, Geoffrey,author."	"Ph. D."	"University of Washington"	"2021."	"211013t20212021waua\\\\obm\\s000\0\eng\d"	"1 online resource (4 unnumbered pages, iii, 148 pages) :"	"Hafner, Brian J.,degree supervisor."	"http://hdl.handle.net/1773/46974"	"1275392954"
"After the wars in Iraq and Afghanistan :"	"veterans' adjustment and the use of benefits in post-secondary education /"	"Geri L. Bell."	"Bell, Geri L.,author."	"Ph. D."	"University of Washington"	"2015"	"151209t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 132 pages) :"	"Johnson, Kurt L.,degree supervisor."	"http://hdl.handle.net/1773/33482"	"931933950"
"Associations between laryngeal and cough dysfunction in motor neuron disease with bulbar involvement /"		"Deanna Britton."	"Britton, Deanna,1962-"	"Ph. D."	"University of Washington"	"2012"	"140328s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (viii, 62 pages) :"	"Yorkston, Kathryn M.,1948-degree supervisor.http://www.wikidata.org/entity/Q106907039"	"http://hdl.handle.net/1773/22607;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3552694"	"875018302"
"Communication in medical interactions :"	"perspectives of individuals with communication disorders, their caregivers, and physicians /"	"Michael I. Burns."	"Burns, Michael I.,1976-author.http://www.wikidata.org/entity/Q106868580"	"Ph. D."	"University of Washington"	"2013."	"140627t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (205 pages) :"	"Yorkston, Kathryn M.,1948-degree supervisor.http://www.wikidata.org/entity/Q106907039"	"http://hdl.handle.net/1773/25001"	"881850063"
"Effects of bilateral task-oriented training on arm function after stroke /"		"Cecille Corsilles-Sy."	"Corsilles-Sy, Cecille."	"Ph. D."	"University of Washington"	"2012"	"140328s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (viii, 96 pages) :"	"Powell, Janet M.,thesis advisor."	"http://hdl.handle.net/1773/22608"	"875018790"
"In-home assessment of turning and transitions using inertial sensors in older adults with dementia and older caregivers /"		"Jasjit Kaur Deol."	"Deol, Jasjit Kaur,author."	"M.R.M."	"University of Washington"	"2016"	"160801t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 38 pages)"	"McGough, Ellen L.,degree supervisor."	"http://hdl.handle.net/1773/36420"	"954340697"
"Neurogame therapy as an upper extremity home program for persons after stroke :"	"a preliminary mixed methods investigation /"	"Elena V. Donoso Brown."	"Donoso Brown, Elena V."	"Ph. D."	"University of Washington"	"2012"	"140328s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iv, 100 pages) :"	"Westcott McCoy, Sarah,thesis advisor."	"http://hdl.handle.net/1773/22609"	"875019247"
"The reach and effectiveness of national evidence-based falls prevention programs among underrepresented community-dwelling older adults /"		"Thomas John Eagen."	"Eagen, Thomas John,author."	"Ph. D."	"University of Washington"	"2018."	"190124t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 166 pages) :"	"McGough, Ellen L.,degree supervisor."	"http://hdl.handle.net/1773/42882"	"1083297781"
"Intersection of mechanobiology and musculoskeletal regenerative rehabilitation /"		"Maryam Fayazi."	"Fayazi, Maryam,author."	"Ph. D."	"University of Washington"	"2021."	"211013t20212021waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 104 pages) :"	"Mack, David Lee,degree supervisor."	"http://hdl.handle.net/1773/46975"	"1275392895"
"NeuroGame therapy for the improvement of ankle control in ambulatory children with cerebral palsy /"		"Torey J. Gilbertson."	"Gilbertson, Torey J.,author."	"Ph. D."	"University of Washington"	"2015"	"160404t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (xv, 136 pages) :"	"McCoy, Sarah W.,degree supervisor."	"http://hdl.handle.net/1773/35098"	"945931160"
"Preliminary development of the hand and arm function measure for people with neurological conditions /"		"Namrata Grampurohit."	"Grampurohit, Namrata,author."	"Ph. D."	"University of Washington"	"2016"	"160502t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 212 pages) :"	"Kartin, Deborah,degree supervisor."	"http://hdl.handle.net/1773/35506"	"948518562"
"Development of a classification of children with developmental coordination disorders based on clinical subgroups /"		"Lin-Ya Hsu."	"Hsu, Lin-Ya,author."	"Ph. D."	"University of Washington"	"2015"	"151209t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiii, 100 pages) :"	"Westcott-McCoy, Sarah,degree supervisor."	"http://hdl.handle.net/1773/33483"	"931934116"
"Transcutaneous spinal cord stimulation for restoration of upper extremity function after spinal cord injury /"		"Fatma Inanici."	"Inanici, Fatma,author."	"Ph. D."	"University of Washington"	"2019."	"200211t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 98 pages) :"	"Moritz, Chet,degree supervisor."	"http://hdl.handle.net/1773/45062"	"1140224046"
"Self-identified social participation restriction among community-dwelling older adults in the United States /"		"Majd B. Jarrar."	"Jarrar, Majd B.,author."	"Ph. D."	"University of Washington"	"2019."	"191115t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (v, 91 pages) :"	"Powell, Janet,degree supervisor."	"http://hdl.handle.net/1773/44647"	"1127827711"
"Physical performance in adults with chronic kidney disease /"		"Laura Johnstone."	"Johnstone, Laura Marie,author."	"Ph. D."	"University of Washington"	"2020."	"210825t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (1 unnumbered page, 129 pages) :"	"McGough, Ellen L.,degree supervisor."	"http://hdl.handle.net/1773/46703"	"1265060374"
"LGBTQ+ considerations related to physical therapy :"	"a qualitative study in Washington State /"	"Kathryn D. Lent."	"Lent, Kathryn D.author."	"Ph. D."	"University of Washington"	"2020."	"210202t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (7 unnumbered pages, iii, 81 pages) :"	"Kartin, Deborah,degree supervisor."	"http://hdl.handle.net/1773/46312"	"1235900854"
"Sensory integration for postural control during stance on compliant surfaces :"	"from theoretical models to balance rehabilitation /"	"Anat Lubetzky-Vilnai."	"Lubetzky-Vilnai, Anat,author."	"Ph. D."	"University of Washington"	"2014"	"141222t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 88 pages) :"	"McCoy, Sarah W.,degree supervisor."	"http://hdl.handle.net/1773/26250"	"898494552"
"Beyond the patient :"	"understanding and addressing third-party disability in family members of people with Parkinson's disease /"	"Helen L. Mach."	"Mach, Helen L.,author."	"Ph. D."	"University of Washington"	"2018."	"190124t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (ii, 92 pages) :"	"Baylor, Carolyn R.,degree supervisor.http://www.wikidata.org/entity/Q106866582"	"http://hdl.handle.net/1773/42881"	"1083297820"
"An exploration of global prosthetist/orthotist education, projected workforce need, and information access among faculty /"		"Cody L. McDonald."	"McDonald, Cody L.,author."	"Ph. D."	"University of Washington"	"2019."	"191115t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 147 pages) :"	"Kartin, Deborah,degree supervisor."	"http://hdl.handle.net/1773/44648"	"1127827754"
"Factors salient to career decision making of university student veterans /"		"Josef E. Mogharreban."	"Mogharreban, Josef E.,author."	"Ph. D."	"University of Washington"	"2018"	"181030t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiii, 135 pages) :"	"Johnson, Kurt L.,degree supervisor."	"http://hdl.handle.net/1773/42040"	"1059536192"
"The effects of a concurrent task on walking over firm and foam surfaces in persons with transfemoral amputation /"		"Sara J. Morgan."	"Morgan, Sara J.,1981-author."	"Ph. D."	"University of Washington"	"2014"	"150325t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 142 pages) :"	"Kelly, Valerie E.,degree supervisor."	"http://hdl.handle.net/1773/27375"	"905621222"
"The broader impact of disability research :"	"aligning public policy with the experiences of people with disabilities and healthcare providers /"	"Anne R. Ordway."	"Ordway, Anne R.,author."	"Ph. D."	"University of Washington"	"2016"	"170214t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 103 pages)"	"Johnson, Kurt L.,degree supervisor.;Amtmann, Dagmar,degree supervisor.;Pitonyak, Jennifer, S.,degree supervisor."	"http://hdl.handle.net/1773/36981"	"972501309"
"The contributions of spatial processing and selective attention to the deficits in patients with spatial neglect and neglect dyslexia /"		"Timothy J. Rich."	"Rich, Timothy John,author."	"Ph. D."	"University of Washington"	"2020."	"210202t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (124 pages) :"	"Powell, Janet,degree supervisor."	"http://hdl.handle.net/1773/46313"	"1235900794"
