245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The changing theology of marriage :"	"gluttonous saints and fasting whores in hagiography and courtly romance /"	"by Gail Lee Allman."	"Allman, Gail Lee."	"M.A."	"University of Washington"	"1993"	"940428s1993\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 84 leaves "			"30344635"
"The postcolonial Mayan scribe :"	"contemporary indigenous writers of Guatemala /"	"Gail R. Ament."	"Ament, Gail R."	"Ph. D."	"University of Washington"	"1998"	"990602s1998\\\\xx\\\\\\\bm\\\000\0\eng\d"	"245 leaves "		"http://hdl.handle.net/1773/8307;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9907873"	"41474036"
"Social attitudes among Spanish-English speakers toward code-switching /"		"by Richard Henry Anderson."	"Anderson, Richard Henry."	"Ph. D."	"University of Washington"	"1986"	"860627s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 185 leaves "			"13789681"
"Borderline romance :"	"three southern transformations of Floire and Blancheflor /"	"Ruth A. Anderson."	"Anderson, Ruth A."	"Ph. D."	"University of Washington"	"2001"	"010821s2001\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 188 leaves "		"http://hdl.handle.net/1773/8276;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3014054"	"47815852"
"The disjoint reference requirement in subjunctive clauses :"	"diachronic evidence from romance /"	"by Deborah Lynn Arteaga."	"Arteaga, Deborah Lynn."	"Ph. D."	"University of Washington"	"1990"	"910812s1990\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 326 leaves :"			"24223489"
"Samuel Beckett's fiction and the language of music."			"Baalman, Raymond William."	"Ph. D."	"University of Washington"		"890526s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"100 leaves"			"19767498"
"Prácticas narrativas autobiográficas en la obra de Bárbara Jacobs :"	"1982-1992 /"	"by Concepción Bados Ciria."	"Bados Ciria, Concepción."	"Ph. D."	"University of Washington"	"1995"	"960405s1995\\\\xx\\\\\\\bm\\\000\0\spa\d"	"v, 232 leaves "			"34521879"
"Towards giving voice to internal reality :"	"a study of the dialectic between internally and externally driven realities in the poetic of Anne Hébert /"	"by Jean Leslie Baker."	"Baker, Jean Leslie."	"Ph. D."	"University of Washington"	"2000"	"000804s2000\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 214 leaves "		"http://hdl.handle.net/1773/8286;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9964241"	"44722606"
"Problems in Italian morphophonology /"		"by Kathryn Mary Bartholomew."	"Bartholomew, Kathryn Mary,1949-"		"University of Washington"		"800319s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 160 leaves "			"6104782"
"Transformation from narrative to drama in thirteen Miracles de Nostre Dame par personnages /"		"by Elizabeth Papin Baxter."	"Baxter, Elizabeth Papin."		"University of Washington"		"791011s1979\\\\xx\\\\\\\bmt\\000\0\eng\d"	"iii, 323 leaves "		"http://hdl.handle.net/1773/8296;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7927743"	"5515431"
"The theme of alienation in contemporary Spanish-American literature as exemplified by Juan Carlos Onetti /"		"by Elba Doris Birmingham-Pokorny."	"Birmingham-Pokorny, Elba Doris."	"Ph. D."	"University of Washington"	"1986"	"860627s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"181 leaves "			"13789695"
"Mysterious realms :"	"functions of imagery in traditional Spanish lyric and balladry /"	"by Elizabeth Dawn Boretz."	"Boretz, Elizabeth."	"Ph. D."	"University of Washington"	"1994"	"941108s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 260 leaves "			"31424395"
"Nothing :"	"Descartes, Pascal /"	"by Douglas Brick."	"Brick, Douglas."	"M.A."	"University of Washington"	"1989"	"891120s1989\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 62 leaves "			"20677540"
"Jean-Paul Sartre :"	"freedom, responsibility, and the other /"	"by Kathleen Marie Brunner."	"Brunner, Kathleen Marie."	"M.A."	"University of Washington"	"1994"	"950208s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 86 leaves "			"31956833"
"Fictional history and historical fiction: Paraguay in the Works of Augusto Roa Bastos /"		"by Brent James Carbajal."	"Carbajal, Brent James."	"Ph. D."	"University of Washington"	"1993"	"931227s1993\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 140 leaves "			"29553432"
"The evolution of demonstrative ille from Latin to Spanish :"	"a grammaticalization analysis /"	"by José Carrasquel."	"Carrasquel, José."	"Ph. D."	"University of Washington"	"1995"	"951024s1995\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 142 leaves "			"33353328"
"El sueño, modelo para armar :"	"""Instrucciones para John Howell"" y ""el sueño del cubano"" en Libro de Manuel, dos instancias de lo onírico en la obra de Julio Cortázar /"	"by Roger Celis."	"Celis, Roger."	"M.A."	"University of Washington"	"1990"	"910828s1990\\\\xx\\\\\\\bm\\\000\0\spa\d"	"70 leaves "			"24305772"
"Sueño y escritura en la obra de Julio Cortázar /"		"by Roger E. Celis."	"Celis, Roger E."	"Ph. D."	"University of Washington"	"1996"	"970814s1997\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 204 leaves "			"37473484"
"Juan Ramón Jiménez :"	"psyche and symbol in the Diario, Eternidades, and Piedra y cielo /"	"by George S. Cornelius."	"Cornelius, George S."	"Ph. D."	"University of Washington"	"1987"	"871210s1987\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 462 leaves "			"17215618"
"Selfhood, desire, and fiction in Henri Stendhal's Vie de Henry Brulard and Armance /"		"by Joan Cremin."	"Cremin, Joan."	"Ph. D."	"University of Washington"	"1994"	"950721s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 164 leaves "			"32860536"
"Space and the gender conflict :"	"Au bonheur des dames and Nana /"	"by Maureen Ann Davis."	"Davis, Maureen Ann."	"M.A."	"University of Washington"	"1993"	"940113s1993\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 62 leaves "			"29626313"
"Contemporary Nicaraguan poetry :"	"aesthetic commitment in an age of postmodernism /"	"by Greg Dawes."	"Dawes, Greg."	"Ph. D."	"University of Washington"	"1990"	"900917s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 237 leaves "			"22393674"
"Sujeto y nación en la configuración de la literatura autobiográfica chilena /"		"by César Díaz-Cid."	"Díaz-Cid, César,1961-"	"Ph. D."	"University of Washington"	"1996"	"970124s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 304 leaves "		"http://hdl.handle.net/1773/8302"	"36255864"
"The parodic lays"	"a critical edition."		"Dubin, Nathaniel Edward,1945-"	"Ph. D."	"University of Washington"		"890511s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"245 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:7429403"	"19692958"
"Spanish morpho-syntax :"	"a lexical categorical approach /"	"by Rafael Escribano-Diaz."	"Escribano-Diaz, Rafael."	"Ph. D."	"University of Washington"	"1990"	"910226s1990\\\\xx\\\\\\\bmt\\000\0\eng\d"	"x, 63 leaves "		"http://hdl.handle.net/1773/8287;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9104227"	"23158119"
"The attribute restored :"	"Anna Banti as new historian, artist, woman /"	"by Michael Faucette."	"Faucette, Michael,author."	"Ph. D."	"University of Washington"	"1994."	"190725t19941994wau\\\\\obm\\s000\0\eng\d"	"1 online resource (191 pages)"	"Container of (expression):Banti, Anna.Corte savella.English.;Collins, Douglas,1945-degree supervisor."	"http://hdl.handle.net/1773/33343"	"1110109691"
"The attribute restored :"	"Anna Banti as new historian, artist, woman /"	"by Michael Faucette."	"Faucette, Michael,author."	"Ph. D."	"University of Washington"	"1994"	"950428s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"191 leaves "	"Container of (expression):Banti, Anna.Corte savella.English."		"32395507"
"La oveja negra :"	"la otredad paradójica de la mujer de ascendencia africana en la literatura latinoamericana /"	"by Patricia Denice Fox."	"Fox, Patricia Denice."	"M.A."	"University of Washington"	"1989"	"900117s1989\\\\xx\\\\\\\bm\\\000\0\spa\d"	"iv, 81 leaves "			"20911169"
"French verbs of perception and causation"	"a case-grammar."		"Fuller, Michael Calvin,1942-"	"Ph. D."	"University of Washington"		"890530s1971\\\\xx\a\\\\\bm\\\000\0\eng\d"	"232 leaves"			"19781473"
"Desir du pouvoir, solitude, suicide :"	"Tragedie du Roi Christophe /"	"by Jean-Elie Gilles."	"Gilles, Jean-Elie."	"M.A. Romance Languages & Literature"	"University of Washington"	"1998"	"981201s1998\\\\xx\a\\\\\bm\\\000\0\fre\d"	"iii, 51 leaves :"			"40421594"
