245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Bolsheviks and Dukhobors, 1900-1930 /"		"by Bruce Acker."	"Acker, Bruce A."	"M.A.I.S."	"University of Washington"	"1996"	"970129s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"145 leaves "			"36288019"
"How much land does a man need? /"		"Scott Richard Andersen."	"Andersen, Scott Richard."	"M.A.I.S."	"University of Washington"	"2005"	"051130s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 112 leaves "			"62386583"
"Romanian women :"	"confronting past and present challenges in politics, economy, and society /"	"by Cristina Gabriela Baltaretu."	"Baltaretu, Cristina Gabriela."	"M.A.I.S."	"University of Washington"	"1999"	"991210s1999\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 79 leaves "			"42974182"
"Russian defense enterprises and the process of conversion /"		"by William Barrett."	"Barrett, William,1964-"	"M.A.I.S."	"University of Washington"	"1998"	"981029s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 109 leaves :"			"40188961"
"Balkanism :"	"identity and responsibility /"	"by Biljana Bijelic."	"Bijelic, Biljana."	"M.A.I.S."	"University of Washington"	"2002"	"021224s2002\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 76 leaves "			"51273681"
"Russia's rural primary schools during New Economic Policy, 1921-28 /"		"by Jeffrey Bird."	"Bird, Jeffrey,1970-"	"M.A.I.S."	"University of Washington"	"1998"	"990512s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 93 leaves "			"41349264"
"Survival of the fittest :"	"prospects for sturgeon recovery in the Caspian Sea and the Amur River /"	"Will R. Bisch."	"Bisch, Will R."	"M.A.I.S."	"University of Washington"	"2004"	"050429s2004\\\\xx\ab\\\\bm\\\000\0\eng\d"	"iii, 82 leaves :"			"59822631"
"Between transition and Europeanization :"	"the integration of the Baltic states into the European political economy /"	"Anastasija Bitiukova."	"Bitiukova, Anastasija,author."	"M.A.I.S."	"University of Washington"	"2002"	"030327s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 63 leaves :"			"51933949"
"The legitimacy of liberalism in contemporary Russia :"	"the case of liberals past /"	"by Ryan D. Boe."	"Boe, Ryan D."	"M.A.I.S."	"University of Washington"	"1998"	"990915s1998\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 58 leaves "			"42374577"
"Geopolitics and indigenous peoples :"	"the Far North and the Russian Far East /"	"by Brenda Joy Botkin."	"Botkin, Brenda Joy."	"M.A.I.S."	"University of Washington"	"1994"	"950816s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 161 leaves "			"32995752"
"The rise and fall of multinational nationalism in socialist Yugoslavia /"		"Gustav Joseph Brown."	"Brown, Gustav Joseph."	"M.A.I.S."	"University of Washington"	"2004"	"040914s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 120 leaves "			"56507830"
