245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Kjartan Fløgstad's unmasking turn of mind :"	"postmodernism and social criticism in Dalen Portland /"	"Sharon Louise Berg."	"Berg, Sharon Louise."	"M.A."	"University of Washington"	"2001"	"020709s2001\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 93 leaves "			"50139922"
"Challenging authority :"	"saga, gossip, ballad and legend as narrative voices in Sigrid Undset's Kristin Lavransdatter /"	"Claudia Jean Berguson."	"Berguson, Claudia Jean."	"Ph. D."	"University of Washington"	"2003"	"040204s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 180 leaves "		"http://hdl.handle.net/1773/6579;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3102624"	"54355520"
"On the European periphery :"	"similarities in the experience of lyrical modernism in Spain and Sweden /"	"Morgan Adair Clowes."	"Clowes, Morgan Adair."	"M.A."	"University of Washington"	"2004"	"041015s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 82 leaves :"			"56747923"
"A contemporary perspective of the play Edderkoppen by Hulda Garborg /"		"Virjean Hanson Edwards."	"Edwards, Virjean Hanson."	"M.A."	"University of Washington"	"2000"	"010117s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 56 leaves :"			"45741048"
"Mothering at millennium's end :"	"family in 1990s Norwegian literature /"	"Melissa L. Gjellstad."	"Gjellstad, Melissa L."	"Ph. D."	"University of Washington"	"2004"	"050210s2004\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 246 leaves "		"http://hdl.handle.net/1773/6581;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3139477"	"57618422"
"Minna Canth's Murtovarkaus :"	"translation, theorization, pre-production /"	"Wade J. Hollingshaus."	"Hollingshaus, Wade J."	"M.A."	"University of Washington"	"2001"	"011008s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 177 leaves :"	"Canth, Minna.Murtovarkaus.English."		"48102440"
"Crossing the Baltic :"	"'neutrality' and public perception in Sweden's foreign policy /"	"Glenn Eric Kranking."	"Kranking, Glenn Eric."	"M.A."	"University of Washington"	"2002"	"021209s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 128 leaves :"			"51183664"
"A Sámi ethnography and a Seto epic :"	"two collaborative representations in their historical contexts /"	"by Kristin Kuutma."	"Kuutma, K."	"Ph. D."	"University of Washington"	"2002"	"021210s2002\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vii, 392 leaves "		"http://hdl.handle.net/1773/6583"	"51198548"
"A look at the past decade in Norwegian film and the possibilities for the future /"		"by Vivian Norris-Schwinn."	"Norris-Schwinn, Vivian."	"M.A."	"University of Washington"	"1993"	"931007s1993\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 95 leaves "			"28954544"
"August Strindberg's perversions :"	"on the science, sin and scandal of homosexuality in August Strindberg's works /"	"by Matthew M. Roy."	"Roy, Matthew M."	"Ph. D."	"University of Washington"	"2001"	"020805s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 257 leaves :"		"http://hdl.handle.net/1773/6582"	"50299081"
"Selections from Peter Seeberg's In fourteen days /"		"by David Shipley Newlin."	"Seeberg, Peter."				"860923s1986\\\\xx\\\\\\\bm\\\000\0\eng\d"	"117 leaves "	"Newlin, David Shipley."		"14254863"
"The search for self-fulfillment :"	"the life and writings of Anne Charlotte Leffler /"	"by Melissa Lowe Shogren."	"Shogren, Melissa Lowe."	"Ph. D."	"University of Washington"	"1984"	"850802s1984\\\\xx\\\\\\\bm\\\000\0beng\d"	"225 leaves "			"12339830"
"The rhetoric of resistance :"	"a study of Pär Lagerkvist's prose and drama, 1933-1944 /"	"Csanád Z. Siklós."	"Siklós, Csanád Z."	"Ph. D."	"University of Washington"	"2001"	"020805s2001\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 328 leaves "		"http://hdl.handle.net/1773/6586"	"50296976"
"The concept and practice of Fabelprosa in the works of Tor Åge Bringsværd /"		"by Roberta Gail Wiig."	"Wiig, Roberta Gail."	"Ph. D."	"University of Washington"	"1985"	"851126s1985\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 297 leaves :"			"12850566"
"Questioning the genius :"	"postmodern interpretations of Norwegian national literary figures Henrik Ibsen and Bjørnstjerne Bjørnson /"	"Maren I. Anderson."	"Anderson, Maren I."	"M.A."	"University of Washington"	"2011"	"111010s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 70 leaves "			"756527706"
"Fredrik Cederborgh as social and cultural commentator :"	"a study of humor and satire in his prose works /"	"by Stefan Bergström."	"Bergström, Stefan,1955-"	"Ph. D."	"University of Washington"	"1990"	"921012s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 274 leaves "			"26773936"
"Faith and feminine endurance in three Scandinavian women writers of the baroque /"		"by Marian Louise Bingea."	"Bingea, Marian Louise."	"M.A."	"University of Washington"	"1988"	"890804s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 63 leaves "			"20126920"
"Scandinavian texts for Händel's Messiah :"	"a study of translation technique applied to a libretto /"	"by Alan G. Bower."	"Bower, Alan G.,1931-"	"Ph. D."	"University of Washington"	"1990"	"901226s1990\\\\xx\ag\\\\bm\\\000\0\eng\d"	"vi, 155 leaves :"			"22899148"
"In case of emergency, break glass :"	"ontological metamorphoses in Norwegian and Finnish postmodern literature /"	"by Tara F. Chace."	"Chace, Tara."	"Ph. D."	"University of Washington"	"2003"	"030612s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 220 pages :"		"http://hdl.handle.net/1773/6578;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3079208"	"52420694"
"Postmodernism and narrative in Edvard Hoem's Kjærleikens ferjereiser and Ave Eva /"		"by Tara Chace."	"Chace, Tara."	"M.A."	"University of Washington"	"1994"	"941130s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 77 leaves "			"31537714"
"Saxo Grammaticus :"	"the political ideology of the Gesta Danorum /"	"by John Cramer."	"Cramer, John,1968-"	"M.A."	"University of Washington"	"1995"	"960103s1995\\\\xx\\\\\\\bm\\\000\0\eng\d"	"73 leaves "			"33981816"
"The development of the suffixed article in Scandinavian (North Germanic) in areal perspecitve /"		"by Kassandra Cruit-Salzberg."	"Cruit-Salzberg, Kassandra."	"M.A."	"University of Washington"	"1999"	"991018s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 96 leaves :"			"42658085"
"The mantle and dis-mantling of patriarchal power :"	"a feminist intertextual reading of Torgny Lindgren's Bat Seba /"	"by Elizabeth de Noma."	"De Noma, Elizabeth A."	"M.A."	"University of Washington"	"1994"	"950816s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"58 leaves "			"32997074"
"Multiple melodrama :"	"the making and remaking of three Selma Lagerlöf narratives in the silent era and the 1940s /"	"Elizabeth A. de Noma."	"De Noma, Elizabeth A."	"Ph. D."	"University of Washington"	"2000"	"010102s2000\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 200 leaves "		"http://hdl.handle.net/1773/6580"	"45643880"
"Interpreting the language of emancipation :"	"an exploration of ethnic and anti-ethnic terminology in nineteenth century Jewish emancipation in Scandinavia /"	"by Sonja Dordal."	"Dordal, Sonja."	"M.A."	"University of Washington"	"1996"	"970124s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"79 leaves "			"36256274"
"Aesthetic text, gender, identity and social critique in Karin Boye's ""Kris"" and Monika Fagerholm's ""Diva"" /"		"by Amanda Elaine Doxtater."	"Doxtater, Amanda Elaine.http://www.wikidata.org/entity/Q100432973"	"M.A."	"University of Washington"	"2003"	"030618s2003\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 73 leaves "			"52461925"
"A subject in becoming :"	"the individuation process in Lars Gustafsson's fiction /"	"by Ia Dübois."	"Dübois, Ia.http://www.wikidata.org/entity/Q100746202"	"Ph. D."	"University of Washington"	"1991"	"920428s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 234 leaves :"			"25727873"
"The troll and the poltergeist :"	"the effects of a storyteller's principal memorats on his repertory and beliefs /"	"by Birke R. Duncan."	"Duncan, Birke."	"M.A."	"University of Washington"	"1997"	"980319s1997\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 66, [2] leaves "			"38752053"
"A nation in the pages :"	"nation, history, and metaphor in the fiction of Ebbe Kløvedal Reich /"	"by Trevor G. Elkington."	"Elkington, Trevor G.(Trevor Glen),1970-"	"M.A."	"University of Washington"	"1997"	"980318s1997\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 81 leaves "			"38743681"
