245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Healing in new forms :"	"expansion of the health care model in Scandinavia from disease care to health promotion via the arts /"	"Connie Amundson."	"Amundson, Connieauthor."	"M.A."	"University of Washington"	"2018."	"190117t20182018wau\\\\\obm\\s000\0\eng\d"	"1 online resource (75 pages)"	"Ingebritsen, Christine,degree supervisor.http://www.wikidata.org/entity/Q100436523"	"http://hdl.handle.net/1773/42540"	"1082523452"
"Staging the genius :"	"Henrik Ibsen and biographical theater /"	"Maren I. Anderson."	"Anderson, Maren,author."	"Ph. D."	"University of Washington"	"2014"	"141024t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (198 pages) :"	"Nestingen, Andrew K.,degree supervisor.http://www.wikidata.org/entity/Q100440585"	"http://hdl.handle.net/1773/26698"	"893687004"
"Like barn leker best? :"	"nation-building, likhet and immigration in Norway /"	"Leya M. Barr."	"Barr, Leya M."	"M.A."	"University of Washington"	"2005"	"060718s2005\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 85 leaves "			"70587846"
"Magic in the North :"	"magical realism in contemporary Scandinavian fiction /"	"Sharon Louise Berg."	"Berg, Sharon Louise."	"Ph. D."	"University of Washington"	"2005"	"051102s2005\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 229 leaves "		"http://hdl.handle.net/1773/10243;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3178061"	"62208351"
"Collaboration over competition :"	"how Seattle's Nordic Light Film Festival thrives by the Nordic Cinema Model /"	"Kristina Cowan."	"Cowan, Kristina,1964-author."	"M.A."	"University of Washington"	"2019."	"191108t20192019wau\\\\\obm\\s000\0\eng\d"	"1 online resource (54 unnumbered pages)"	"Doxtater, Amanda Elaine,degree supervisor.http://www.wikidata.org/entity/Q100432973"	"http://hdl.handle.net/1773/44446"	"1126792430"
"How can fish change Norway? /"		"Adriana Margareta Dancus."	"Dancus, Adriana Margareta."	"M.A."	"University of Washington"	"2006"	"061129s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 85 leaves :"			"76824287"
"Screening the Norwegian heart :"	"the cultural politics and aesthetics of the emotions in Norwegian cinema 2000-2008 /"	"Adriana Margareta Dancus."	"Dancus, Adriana Margareta."	"Ph. D."	"University of Washington"	"2009"	"091105s2009\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 241 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3370482"	"463480094"
"The flight of the Danish Jews in 1943 :"	"""rescue"" or ""escape""? /"	"Robert D. DeLong."	"DeLong, Robert D."	"M.A."	"University of Washington"	"2009"	"091216s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 77 leaves "			"489272087"
"Toward differentiating Norwegian nationalisms /"		"Carl Graefe."	"Graefe, Carl,author."	"M.A."	"University of Washington"	"2018."	"190122t20182018wau\\\\\obm\\s000\0\eng\d"	"1 online resource (46 pages)"	"Ingebritsen, Christine,degree supervisor.http://www.wikidata.org/entity/Q100436523"	"http://hdl.handle.net/1773/42542"	"1083141748"
"The path to peace? :"	"an examination of the Norwegian model of conflict mediation in the Guatemalan and Sri Lankan peace processes /"	"Adrienne Hayes."	"Hayes, Adrienne,1982-"	"M.A."	"University of Washington"	"2007"	"071002s2007\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 68 leaves :"			"173621384"
"Gender and immigration :"	"interactions with the caregiver-parity model of Sweden /"	"Karin Elizabeth Hogen."	"Hogen, Karin Elizabeth."	"M.A."	"University of Washington"	"2008"	"081030s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 53 leaves :"			"265143030"
"Danishness and otherness :"	"representations of Muslims and Jews in Danish literature /"	"Sean Hughes."	"Hughes, Sean,1985-"	"M.A."	"University of Washington"	"2010"	"110727s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 86 pages "			"743097315"
"Literary anxiety in contemporary Norwegian metafiction :"	"Hanne Ørstavik, Lars Saabye Christensen, and Dag Solstad /"	"Rennesa Osterberg Jessup."	"Jessup, Rennesa Osterberg."	"Ph. D."	"University of Washington"	"2012"	"130626s2012\\\\xx\\\\\\obm\\\000\0\eng\d"	"1 online resource (iii, 236 pages)"	"Sjåvik, Jan I.,thesis advisor."	"http://hdl.handle.net/1773/21900"	"850972809"
"Tidebast och Vändelrot :"	"magical representations in the Swedish black art book tradition /"	"Thomas K. Johnson."	"Johnson, Thomas K.(Thomas Kevin)"	"Ph. D."	"University of Washington"	"2010"	"100817s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"3 volumes (xiii, 777 leaves) :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3406109"	"656417473"
"Nature in Knut Hamsun's ""Men livet lever"" /"		"Britta Kallevang."	"Kallevang, Britta."	"M.A."	"University of Washington"	"2010"	"110103s2010\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 82 pages "			"694780091"
"""Man måste avsluta det för att kuna gå vidare"" :"	"alterity, authenticity, and angst in Göran Sonnevi's Det oavslutade språ̊ket /"	"Kevin Douglas Karlin."	"Karlin, Kevin Douglas."	"Ph. D."	"University of Washington"	"2006"	"061205s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"viii, 464 leaves "			"76885246"
"Reading the surface :"	"the Danish Gothic of B.S. Ingemann, H.C. Andersen, Karen Blixen and beyond /"	"Kirstine Marie Kastbjerg."	"Kastbjerg, Kirstine Marie,author."	"Ph. D."	"University of Washington"	"2013."	"140627t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (399 pages) :"	"Stecher-Hansen, Marianne,1957-degree supervisor.http://www.wikidata.org/entity/Q100732381"	"http://hdl.handle.net/1773/25006"	"881850888"
"A comparative study of selected plays by Jon Fosse and Henrik Ibsen :"	"affinity, affect, and the altering of aura /"	"Kyle Andrew Korynta."	"Korynta, Kyle Andrew."	"Ph. D."	"University of Washington"	"2012"	"130626s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (ii, 223 pages) :"	"Sjåvik, Jan,thesis advisor."	"http://hdl.handle.net/1773/21899;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3542354"	"850973912"
"Hedda Gabler's boredom unto death /"		"Kyle Andrew Korynta."	"Korynta, Kyle Andrew."	"M.A."	"University of Washington"	"2008"	"090519s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 76 leaves :"			"326878555"
"Hjalmar Söderberg, revisited and revised /"		"Ralitsa Lazarova."	"Lazarova, Ralitsa."	"M.A."	"University of Washington"	"2006"	"070509s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 74 leaves "			"124083334"
