245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Word-form recognition and generation :"	"a computational approach to Russian morphology /"	"by Michele Anciaux."	"Anciaux, Michele,1952-"	"Ph. D."	"University of Washington"	"1991"	"911017s1991\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 217 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9131601"	"24580803"
"Vozmezdie: the concept of retribution in the poetry of Aleksandr Blok."			"Arnesen, Hildegard Johanna."	"Ph. D."	"University of Washington"		"890530s1976\\\\xx\\\\\\\bm\\\000\0\eng\d"	"208 leaves"			"19783372"
"The structure of Aleksej Mixajlovic̆ Remizov's prose /"		"by Jo Ann Hebert Bailey."	"Bailey, Jo Ann Hebert,1942-"		"University of Washington"		"890530s1978\\\\xx\\\\\\\bm\\\000\0\eng\d"	"185 leaves "			"19783493"
"Baratynskij: the evolution of his style and poetic themes."			"Burton, Dora."	"Ph. D."	"University of Washington"		"890511s1975\\\\xx\\\\\\\bm\\\000\0\eng\d"	"224 leaves"			"19693668"
"Anna Axmatova's Poèma bez geroja."			"Butler, Pamela Dorothy."	"M.A."	"University of Washington"		"890531s1971\\\\xx\\\\\\\bm\\\000\0\fre\d"	"60 [2] leaves"			"19786740"
"A quantitative and lexical analysis of genitive/accusative variation in Russian /"		"by Erin Marie Collopy."	"Collopy, Erin Marie."	"Ph. D."	"University of Washington"	"1998"	"981029s1998\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 126 leaves "		"http://hdl.handle.net/1773/7161;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9828476"	"40188957"
"Ellipsis in Russian /"		"by Zheng-min Dong."	"Dong, Zheng-min,1941-"	"Ph. D."	"University of Washington"	"1990"	"910821s1990\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 107 leaves "			"24268079"
"Reclaiming the Rusalka :"	"towards multiplicities of gender in Russian literary and visual culture /"	"Lena Doubivko."	"Doubivko, Lena,author."	"Ph. D."	"University of Washington"	"2013."	"140630t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (266 pages) :"	"Alaniz, José,degree supervisor.http://www.wikidata.org/entity/Q101011570"	"http://hdl.handle.net/1773/25051"	"882115233"
"Language, cognition, and manipulation in advertising discourse /"		"Veronika Egorova."	"Egorova, Veronika,author."	"Ph. D."	"University of Washington"	"2013."	"140606t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 236 pages) :"	"Dziwirek, Katarzyna,degree supervisor.http://www.wikidata.org/entity/Q101013240"	"http://hdl.handle.net/1773/24067"	"881117820"
"A grammar of Bulgarian clitics /"		"by Robert Charles Ewen."	"Ewen, Robert Charles."		"University of Washington"		"790820s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 251 leaves "			"5290319"
"Design and materials for an electronic textbook for first-year Russian /"		"by Lisa Ann Frumkes."	"Frumkes, Lisa A."	"Ph. D."	"University of Washington"	"1996"	"970129s1996\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 342 leaves :"		"http://hdl.handle.net/1773/7160"	"36288297"
"A syntactic and semantic analysis of Russian comparative sentences /"		"by Margaret I. Gibson."	"Gibson, Margaret I."		"University of Washington"		"890511s1978\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 144 leaves :"			"19693528"
"Provincial polemics :"	"folk discourse in the life and novels of Vasilii Shukshin /"	"by John Givens."	"Givens, John,1962-"	"Ph. D."	"University of Washington"	"1993"	"940321s1993\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iv, 389 leaves "			"29995138"
"A construction grammar approach to Russian reflexives /"		"Anna Glazkova."	"Glazkova, Anna,1979-"	"Ph. D."	"University of Washington"	"2011"	"120124s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 193 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485379"	"773770589"
"National solutions to cultural decline in Russian, Polish and German literature at the end of the Great War :"	"Russian Scythianism, Waclaw Berent's Living Stones, and Thomas Mann's Reflections /"	"by David Graber."	"Graber, David,1962-"	"Ph. D."	"University of Washington"	"1996"	"970129s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 133 leaves "			"36288142"
"The literary milieu of Dostoevsky's The possessed."			"Gregory, Serge Vladimir,1948-"	"Ph. D."	"University of Washington"		"890511s1977\\\\xx\\\\\\\bm\\\000\0\eng\d"	"191 leaves"			"19693479"
"Russian as spoken by the Crimean Tatars /"		"by Mica Hall."	"Hall, Mica."	"Ph. D."	"University of Washington"	"1997"	"981020s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 280 leaves "		"http://hdl.handle.net/1773/7163"	"40140518"
"A generative phonology of Doukhobor conjugation."			"Harshenin, Alex Peter,1930-"	"Ph. D."	"University of Washington"		"890509s1974\\\\xx\\\\\\\bm\\\000\0\eng\d"	"231 leaves"			"19680229"
"The development of the common slavic nominal declension from proto-indo-european /"		"by David Kay Hart."	"Hart, David Kay."		"University of Washington"		"791023s1979\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 286 leaves "			"5578211"
"Igor Stravinsky, Nikolai Roerich, and the healing power of paganism :"	"the rite of spring as ecstatic ritual of renewal for the twentieth century /"	"by Marilyn Meyer Hoogen."	"Hoogen, Marilyn Meyer."	"Ph. D."	"University of Washington"	"1997"	"981012s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 188 leaves "		"http://hdl.handle.net/1773/7157"	"40097054"
"Gogol's Ukrainian-Russian bilingualism and the dualism of Gogolian style."			"Hrishko, Wasyl."	"Ph. D."	"University of Washington"		"890627s1973\\\\xx\\\\\\\bm\\\000\0\eng\d"	"347 leaves"			"19929680"
