245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"A comparative study of minority and nonminority executives in New Mexico human service organizations /"		"by David F. Arguello."	"Arguello, David F."	"Ph. D."	"University of Washington"	"1988"	"881011s1988\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 194 leaves "			"18592991"
"Prevalence and correlates of mental disorder among incarcerated women /"		"by Robin E. Bates."	"Bates, Robin E."	"Ph. D."	"University of Washington"	"1994"	"950427s1994\\\\xx\\\\\\\bm\\\000\0\eng\d"	"viii, 197 leaves "			"32377395"
"Intensive family preservation services with maltreated children :"	"an investigation of sub-type differences /"	"by Howard I. Bath."	"Bath, Howard I.,1952-"	"Ph. D."	"University of Washington"	"1992"	"930115s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 176 leaves :"			"27262821"
"Getting through it alone :"	"a descriptive study of the experiences of single mothers with breast cancer and adolescent children /"	"by Lynn C. Behar."	"Behar, Lynn C."	"Ph. D."	"University of Washington"	"1999"	"000420s1999\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 190 leaves "		"http://hdl.handle.net/1773/11156;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9944092"	"43896587"
"Exploring the use of information by legislative and administrative decision-makers in the state of Washington /"		"by Michelle A. Bell."	"Bell, Michelle A."	"Ph. D."	"University of Washington"	"1984"	"841001s1984\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 203 leaves "			"11214997"
"An evaluation of an Indian child welfare training program for tribal and state providers /"		"by Raymond L. Bending."	"Bending, Raymond L.,1936-"	"Ph. D."	"University of Washington"	"1992"	"920722s1992\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 164 leaves :"			"26236972"
"The experiences of African American women in feminist domestic violence organizations /"		"by Brenda J. Bryson."	"Bryson, Brenda J."	"Ph. D."	"University of Washington"	"1998"	"990121s1998\\\\xx\\\\\\\bm\\\000\0\eng\d"	"xxiv, 248 leaves "		"http://hdl.handle.net/1773/11183;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9836147"	"40658739"
"Cognitive factors in sexually aggressive children /"		"by David L. Burton."	"Burton, David L.(David Lawson),1961-"	"Ph. D."	"University of Washington"	"1996"	"961017s1996\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 112 leaves "		"http://hdl.handle.net/1773/11185"	"35752922"
"Perspectives on the lives and service needs of homeless middle-aged women /"		"by Sandra Sue Butler."	"Butler, Sandra Sue,1957-"	"Ph. D."	"University of Washington"	"1991"	"910925s1991\\\\xx\\\\\\\bmt\\000\0\eng\d"	"vii, 226 leaves "		"http://hdl.handle.net/1773/11159;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9131615"	"24453657"
"An exploratory analysis of the relationships among the stressors, social support networks and well-being of the Korean-American elderly /"		"by Yeong-Ran Park Choi."	"Choi, Yeong-Ran Park."	"Ph. D."	"University of Washington"	"1995"	"951026s1995\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 251 leaves :"			"33378348"
"Risk and protective factors of problem behaviors among ethnic minority adolescents /"		"Yoonsun Choi."	"Choi, Yoonsun."	"Ph. D."	"University of Washington"	"2001"	"011001s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 132 leaves :"		"http://hdl.handle.net/1773/11168;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3013945"	"48062895"
"The association between characteristics of dating relationships and condom use among heterosexual young adults /"		"by Diane Civic."	"Civic, Diane."	"Ph. D."	"University of Washington"	"1997"	"981006s1997\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 230 leaves :"			"40046446"
"The effects of an experimental intervention on juvenile female recidivism and drug relapse /"		"by Douglas Stevens Cook."	"Cook, Douglas Stevens,1946-"	"Ph. D."	"University of Washington"	"1990"	"901226s1990\\\\xx\a\\\\\bmt\\000\0\eng\d"	"vi, 85 leaves :"		"http://hdl.handle.net/1773/11176;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9104215"	"22899130"
"The use of interpersonal skills training to enhance social support among parents who are mentally retarded and at risk for child maltreatment :"	"a feasibility study /"	"by Carol Jane Crimi."	"Crimi, Carol Jane."	"Ph. D."	"University of Washington"	"1995"	"950731s1995\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 94 leaves "			"32899028"
"Predicting clinical practice guideline utilization among chemical dependency professionals /"		"Thomas D. Davis."	"Davis, Thomas D.,1952-"	"Ph. D."	"University of Washington"	"2001"	"020115s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 159 leaves :"		"http://hdl.handle.net/1773/11189;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3022827"	"48787855"
"How women come to identify as lesbian :"	"a grounded theory study /"	"by Kathryn A. DeLois."	"DeLois, Kathryn A."	"Ph. D."	"University of Washington"	"1993"	"940325s1993\\\\xx\\\\\\\bmt\\000\0\eng\d"	"vi, 106 leaves "		"http://hdl.handle.net/1773/11160"	"30023682"
