245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Old age security in California ..."			"Adams, Kathryn Rose."	"M.A."	"University of Washington"		"890607s1939\\\\xx\adk\\\bm\\\000\0\eng\d"	"ii, 169 leaves"			"19827105"
"Social problems of children with strabismus ..."			"Anderson, Mary Wickstrom."	"M. Social Work"	"University of Washington"		"890525s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 45 leaves"			"19762137"
"Rent policies and practices of the family welfare agencies in Seattle, Washington ..."			"Bates, Gertrude Louise."	"M.S.W."	"University of Washington"		"890623s1942\\\\xx\a\\\\\bm\\\000\0\eng\d"	"99 leaves"			"19914914"
"A study of the property status and resources of old age assistance recipients in King County, Washington as of December 31, 1949 ..."			"Benedict, Robert Chase."	"M. Social Work"	"University of Washington"		"890525s1950\\\\xx\\\\\\\bm\\\000\0\eng\d"	"56 leaves"			"19762178"
"Eligibility requirements in compulsory cash sickness insurance ..."			"Bishop, Frank Walter."	"M.S.W."	"University of Washington"		"890615s1947\\\\xx\\\\\\\bm\\\000\0\eng\d"	"4 preliminary leaves, 135 leaves"			"19876061"
"The role of the social worker in treatment at the Mental Hygiene Clinic, San Francisco Regional Office, Veterans Administration ..."			"Black, Grace Anina."	"M.S.W."	"University of Washington"		"890615s1949\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 61 leaves"			"19876023"
"Psychiatric services to University of Washington Students fall quarter, 1948 ..."			"Blackmon, Ruth Lyon."	"M.S.W."	"University of Washington"		"890615s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 65 leaves"			"19875958"
"Some problems encountered in the vocational rehabilitation of the tuberculous veteran ..."			"Boyer, Clayton Leon."	"M.S.W."	"University of Washington"		"890725s1949\\\\xx\k\\\\\bm\\\000\0\eng\d"	"i, 94 leaves"			"20063697"
"A study of five children treated under Ryther Child Center's program for the care of children with personality problems ..."			"Brookens, Helen Renner."	"M.A."	"University of Washington"		"890619s1944\\\\xx\\\\\\\bm\\\000\0\eng\d"	"126 leaves"			"19891236"
"Employment practices in Seattle social agencies as of September 1938 ..."			"Brooks, Harriet Davock."	"M.A."	"University of Washington"		"890622s1939\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 105 leaves"			"19908595"
