245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The proposed city light merger"	"a study of public opinion ..."		"Baker, Miner Hamilton."	"M.A."	"University of Washington"		"890712s1938\\\\xx\a\\\\\m\\\\000\0\eng\d"	"107 leaves"			"19997428"
"Measurements of status in Mount Vernon, Washington ..."			"Bassett, Raymond Eliot,1904-"				"960628s1948\\\\xx\ak\\\\bm\\\000\0\eng\d"	"ix, 267 leaves"			"35004937"
"Measurements of status in Mount Vernon, Washington ..."			"Bassett, Raymond Eliot,1904-"				"960215s1948\\\\wauak\\\abm\\\000\0\eng\d"	"ix, 267 leaves"			"34200720"
"Factors associated with adjustment to a selected housing environment ..."			"Bates, Alan Philip,1915-"	"Ph. D."	"University of Washington"		"890621s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 187 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16228"	"19905469"
"Parental roles in courtship ..."			"Bates, Alan Philip,1915-"	"M.A."	"University of Washington"		"890606s1940\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 105 leaves"			"19822713"
"Ecological aspects of substandard housing in Seattle ..."			"Beebe, Gordon."	"M.A."	"University of Washington"		"890605s1939\\\\xx\ab\\\\bm\\\000\0\eng\d"	"65 leaves"			"19816775"
"Rescue missions of Seattle ..."			"Black, William Plummer."	"M.A."	"University of Washington"		"890728s1926\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 123 leaves"			"20082344"
"Mortality differentials among immigrants ..."			"Buechley, Robert William."	"M.A."	"University of Washington"		"890803s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 76 leaves"			"20118276"
"Family adjustment to military living."			"Bushnell, Shirley Willis."	"M.A."	"University of Washington"		"930611s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 105 leaves"			"28262988"
"The sociological study of human values,"		"by William Robert Catton, Jr. ..."	"Catton, William R.,Jr.,1926-2015."	"M.A."	"University of Washington"		"890803s1952\\\\xx\\\\\\\bm\\\000\0\eng\d"	"188 leaves"			"20118737"
"Formulation, analysis and testing the interactance hypothesis ..."			"Cavanaugh, Joseph Aaron."	"Ph. D."	"University of Washington"		"890803s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xii, 182 leaves"			"20120268"
"Juvenile auto theft at the King County Juvenile Court ..."			"Cavanaugh, Joseph Aaron."	"M.A."	"University of Washington"		"890803s1943\\\\xx\abk\\\bm\\\000\0\eng\d"	"iii, 85 leaves"			"20118450"
"China: a folk society in transition ..."			"Chêng, Chʻêng-kʻun."	"Ph. D."	"University of Washington"		"890803s1946\\\\xx\bh\\\\bm\\\000\0\eng\d"	"218 leaves"			"20120703"
"A study of the Kuomintang policy for improving the social conditions of workers in China ..."			"Cheng, Ch'eng-K'un."	"M.A."	"University of Washington"		"890627s1937\\\\xx\\\\\\\bm\\\000\0\eng\d"	"123 leaves"			"19929723"
"A study of certain implications of G.H. Mead's formulation of the origin and nature of the self ..."			"Chertok, Ely."	"M.A."	"University of Washington"		"890803s1952\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 92 leaves"			"20118251"
"The correlates of cultural assimilation of two groups of Issei women ..."			"Cho, Chang-Soo."	"M.A."	"University of Washington"		"890621s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"85 leaves"			"19903375"
"The street car men of Seattle:"	"a sociological study ..."		"Cline, Denzel Cecil,1903-"	"M.A."	"University of Washington"		"890807s1926\\\\xx\f\\\\\bm\\\000\0\eng\d"	"163 leaves"			"20134510"
"An investigation of parental attitudes toward drinking and five additional factors in the childhood environment of alcoholics ..."			"Connor, Ralph Gordon."	"M.A."	"University of Washington"		"890622s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 73 leaves"			"19908360"
"Teachers' information and attitudes concerning current social problems ..."			"Crawford, Harriet Ann Pettijohn."	"M.A."	"University of Washington"		"890728s1938\\\\xx\a\\\\\bm\\\000\0\eng\d"	"49 leaves"			"20082219"
"Trends in mortality from cancer in the state of Washington: 1910 to 1947 ..."			"Davidson, Maria."	"M.A."	"University of Washington"		"890711s1951\\\\xx\a\\\\\bms\\000\0\eng\d"	"iii, 62 leaves"			"19989818"
"Social distance in two Seattle high schools ..."			"Dickson, Lenore."	"M.A."	"University of Washington"		"890530s1951\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 154 leaves"			"19781957"
"Workmen's compensation, 1929-1937 ..."			"Drew, Mary Stanley."	"M.A."	"University of Washington"		"890530s1938\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 112 leaves"			"19783680"
"Community clubs in Seattle ..."			"Durham, Irene Somerville."	"M.A."	"University of Washington"		"890801s1929\\\\xx\ab\\\\m\\\\000\0\eng\d"	"110 leaves"			"20106301"
"Relation of population distribution and redistribution to the natural resources of the Elma service area ..."			"Firey, Walter,1916-2014."	"M.A."	"University of Washington"		"890530s1940\\\\xx\ab\\\\bm\\\000\0\eng\d"	"vii, 122 leaves"			"19783621"
"A frame of reference for the further study of some temporal aspects of human ecology ..."			"Frisch, Gladys Engel."	"M.A."	"University of Washington"		"890803s1942\\\\xx\\\\\\\bm\\\000\0\eng\d"	"131 leaves"			"20118478"
"The migratory worker in Seattle"	"a study in social disorganization and exploitation ..."		"Geoghegan, John Herbert."	"M.A."	"University of Washington"		"890807s1923\\\\xx\aef\\\bm\\\000\0\eng\d"	"94 leaves including plates, plans, tables"			"20135128"
"Infant mortality trends in the state of California: 1919 to 1948 ..."			"Graalfs, Heinz John."	"M.A."	"University of Washington"		"890803s1951\\\\xx\ab\\\\bms\\000\0\eng\d"	"iii, 78 leaves"			"20119040"
"A sociometric study of Chinese students in a polyethnic high school ..."			"Graalfs, Marilyn Heilfron,1925-"	"M.A."	"University of Washington"		"890803s1949\\\\xx\k\\\\\bm\\\000\0\eng\d"	"iii, 61 leaves"			"20118318"
"The construction of a scale to measure attitudes toward defined racial and religious groups ..."			"Griffiths, Keith Seabury,1919-"	"M.A."	"University of Washington"		"890803s1949\\\\xx\ak\\\\bm\\\000\0\eng\d"	"iv, 133 leaves"			"20118519"
"The measurement of intergroup tensions in the state of Washington and the city of Seattle."	"Analysis of two surveys conducted under the auspices of the Washington Public Opinion Laboratory ..."		"Griffiths, Keith Seabury,1919-"	"Ph. D."	"University of Washington"		"890803s1952\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 218 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16231"	"20118666"
"Migration between metropolitan cities and their metropolitan rings and nonmetropolitan subregions: Washington State, 1935-1940 ..."			"Griswold, Manzer John,1916-"	"Ph. D."	"University of Washington"		"890621s1952\\\\xx\a\\\\\bms\\000\0\eng\d"	"xxvii, 303 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16232"	"19905286"
"Crises in personality"	"a study in social psychology ..."		"Guthrie, Elton Ferdinand,1903-"	"Ph. D."	"University of Washington"		"890707s1932\\\\xx\a\\\\\bm\\\000\0\eng\d"	"322 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16222"	"19976403"
"Social attitudes in anti-Semitism ..."			"Hatt, Paul K."	"M.A."	"University of Washington"		"890801s1940\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 108 leaves"			"20106333"
"A study of natural areas in the central residential district of Seattle ..."			"Hatt, Paul K."	"Ph. D."	"University of Washington"		"890621s1945\\\\xx\abf\\\bm\\\000\0\eng\d"	"vii, 132 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16224"	"19905707"
"A sociometric study of Japanese students in a polyethnic high school ..."			"Hertzler, Virginia Beazley."	"M.A."	"University of Washington"		"890627s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 84 leaves"			"19930245"
"The Unemployed Citizens' League of Seattle,"		"by William Arthur Hillman ..."	"Hillman, Arthur."	"M.A."	"University of Washington"		"890822s1934\\\\xx\a\\\\\bm\\\000\0\eng\d"	"3 preliminary leaves, iii-vii, 181 -270, [6] pages"			"20229804"
"The Russian Doukhobors of British Columbia:"	"A study of social adjustment and conflict ..."		"Hirabayashi, Gordon K."	"Ph. D."	"University of Washington"		"890626s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 135 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16230"	"19926607"
"A sociometric study of University of Washington students of Japanese ancestry :"	"Spring quarter, 1948 /"	"by Gordon Kiyoshi Hirabayashi."	"Hirabayashi, Gordon K."	"M.A."	"University of Washington"	"1949"	"140205s1949\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (viii, 65 leaves) :"		"http://hdl.handle.net/1773/24954"	"869900184"
"A sociometric study of University of Washington students of Japanese ancestry :"	"Spring quarter, 1948 /"	"by Gordon Kiyoshi Hirabayashi."	"Hirabayashi, Gordon K."	"M.A."	"University of Washington"	"1949"	"140203s1949\\\\xx\\\\\\rbm\\\000\0\eng\d"	"viii, 65 leaves :"			"869749105"
"A sociometric study of University of Washington students of Japanese ancestry :"	"Spring quarter, 1948 /"	"by Gordon Kiyoshi Hirabayashi."	"Hirabayashi, Gordon K."	"M.A."	"University of Washington"	"1949"	"890613s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 65 leaves :"			"19860368"
"Seattle as a metropolis"	"the integration of the Puget Sound region through the dominance of Seattle; and ecological study ..."		"Hoffland, Laura Frances Hildreth,1894-1944."	"M.A."	"University of Washington"		"890613s1933\\\\xx\ad\\\\bm\\\000\0\eng\d"	"148 leaves"			"19860096"
"Rural settlement in Western Washington ..."			"Hoover, Glenn Edwin."	"M.A."	"University of Washington"		"890727s1922\\\\xx\b\\\\\m\\\\000\0\eng\d"	"47 leaves"			"20079341"
"Marcus Garvey :"	"a study of projected negro myths /"	"by Winifred Belle Ingram."	"Ingram, Winifred Belle,author."	"M.A."	"University of Washington"	"1938."	"191114s1938\\\\wau\\\\\obm\\\000\0\eng\d"	"1 online resource (iv, 64 pages)"	"Woolston, Howard Brown,1876-1961,degree supervisor."	"http://hdl.handle.net/1773/44507"	"1127643346"
"Marcus Garvey"	"a study of projected negro myths ..."		"Ingram, Winifred Belle."	"M.A."	"University of Washington"		"890622s1938\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 64 leaves"			"19911244"
"The Colored Marine Employees Benevolent Association of the Pacific, 1921-1934; or, Implications of vertical mobility for Negro stewards in Seattle ..."			"Jackson, Joseph Sylvester."	"M.A."	"University of Washington"		"890803s1939\\\\xx\a\\\\\bm\\\000\0\eng\d"	"105 leaves"			"20119150"
"Principles and methods of area sampling applied to a survey of employment, housing and place of residence of white and non-white ethnic groups in Seattle, Washington, July to October 1947 ..."			"Jahn, Julius,1914-2013."	"Ph. D."	"University of Washington"		"890613s1949\\\\xx\af\\\\bm\\\000\0\eng\d"	"xi, 194 leaves including plates, tables, diagrams"			"19860326"
"An experimental study of tensions in work behavior ..."			"James, John,1911-"	"Ph. D."	"University of Washington"		"890613s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 132 leaves"			"19860343"
"A preliminary analysis of parent-child dominance attitudes and control techniques ..."			"Kalbach, Warren E."	"M.A."	"University of Washington"		"890613s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 125 leaves"			"19860409"
"Incongruities of contract labor legislation."			"Kessler, George,1878-"				"961030s1927\\\\xx\a\\\\\blm\\000\0\eng\d"	"73 leaves"			"35819318"
"The relative influence of selective migration and environmental modification in the distribution of selected classes of psychotics in Seattle ..."			"Kirby, Bernard Cromwell."	"M.A."	"University of Washington"		"890530s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"39 leaves"			"19781859"
"A parole prediction study using the discriminant function ..."			"Kirby, Bernard Cromwell,1907-"	"Ph. D."	"University of Washington"		"890530s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"3, iv, 138 leaves"			"19782036"
"The adjustment of the Lutheran church to social change in the modern world ..."			"Knorr, Erich Carl,1899-"	"Ph. D."	"University of Washington"		"890530s1946\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 435 leaves"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:DP16225"	"19781760"
"A study of the association between social characteristics and vertical mobility within a military organization ..."			"Lackey, Alvin S."	"M.A."	"University of Washington"		"890622s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xi, 121 leaves"			"19908379"
