245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Decentralized development :"	"panchayats and participation in rural India /"	"Matthew K. Bunt."	"Bunt, Matthew K."	"M.A.I.S."	"University of Washington"	"2006"	"080915s2006\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 88 leaves "			"250625531"
"Theurgy and the snake :"	"the yoga Kalandar and Bengali Sufism /"	"Keith Edward Cantú."	"Cantú, Keith Edward,author."	"Master's"	"University of Washington"	"2015"	"151214t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (88 pages) :"	"Novetzke, Christian L.,degree supervisor."	"http://hdl.handle.net/1773/33535"	"932142055"
"Empowered women or empowered words? :"	"discovering the meaning of empowerment through the discourse of seven Indian anti-trafficking NGOs /"	"Ashley N. Dutta."	"Dutta, Ashley N."	"M.A.I.S."	"University of Washington"	"2010"	"110616s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 81 leaves :"			"731035407"
"""Your marks aren't written on your forehead"" :"	"private schooling in the English medium and the production of the Indian middle classes /"	"Rachel M. Heilman."	"Heilman, Rachel M."	"M.A.I.S."	"University of Washington"	"2007"	"080303s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 103 leaves "			"212657394"
"Politics of ports :"	"China's investments in Pakistan, Sri Lanka & Bangladesh /"	"Thilini Kahandawaarachchi."	"Kahandawaarachchi, Thilini,author."	"M.A.I.S."	"University of Washington"	"2015"	"151214t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (iv, 90 pages) :"	"Kale, Sunila S.,1973-degree supervisor.http://www.wikidata.org/entity/Q99507472"	"http://hdl.handle.net/1773/33536"	"932142342"
"Exoticism and authenticity in pictures :"	"representation of the Miao ethnicity through pictures on tourism web sites /"	"Kaitlin Kerwin."	"Kerwin, Kaitlin."	"M.A.I.S."	"University of Washington"	"2010"	"110418s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 84 leaves :"			"713045280"
"Domestic politics and Indian foreign policy towards Sri Lanka :"	"an analysis of domestic political strategies in Tamil Nadu and the Sri Lankan conflict from 1996 until 2006 /"	"William L. Lindsey."	"Lindsey, William L."	"M.A.I.S."	"University of Washington"	"2008"	"090108s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 191 leaves "			"297466887"
"Before in Tibet :"	"Tibetan refugee Thangka painters in Nepal and India /"	"Cara J. Nicholl."	"Nicholl, Cara J."	"M.A.I.S."	"University of Washington"	"2010"	"110728s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 79 leaves "			"743225990"
"Refracted images :"	"India's self-image and the influence of China on Indian foreign policy (1950-1975) /"	"Deep Pal."	"Pal, Deep,author."	"Ph. D."	"University of Washington"	"2019"	"190829t20192019waub\\\\obm\\s000\0\eng\d"	"1 online resource (xii, 256 pages) :"	"Kale, Sunila S.,1973-degree supervisor.http://www.wikidata.org/entity/Q99507472"	"http://hdl.handle.net/1773/43948"	"1114484304"
"Avenging Maithili :"	"the eighth schedule and electoral politics in Bihar, 1999-2004 /"	"Anshuman Pandey."	"Pandey, Anshuman,1976-"	"M.A.I.S."	"University of Washington"	"2006"	"080915s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 92 leaves :"			"250911021"
"Screening subjects :"	"humanitarian government and the politics of asylum at Palawan /"	"James Pangilinan."	"Pangilinan, James,author."	"M.A.I.S."	"University of Washington"	"2014"	"141211t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (159 pages) :"	"Bonus, Enrique,degree supervisor."	"http://hdl.handle.net/1773/26000"	"898046654"
"Re-aligning empire :"	"creating regional networks in late Mughal South Asia /"	"Jacqueline Paquette."	"Paquette, Jacqueline."	"M.A.I.S."	"University of Washington"	"2007"	"080303s2007\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 87 leaves "			"212656630"
"Revisioning my neighborhood, re-writing my para :"	"examining a youth critical literacy program in central Kolkata /"	"Sahar P. Romani."	"Romani, Sahar P."	"M.A.I.S."	"University of Washington"	"2008"	"090213s2008\\\\xx\\\\\\\bm\\\000\0\eng\d"	"126 leaves "			"304660450"
"Occupying Bangkok-mobile vendors and democratic attitudes /"		"Joseph Mark Rubin."	"Rubin, Joseph Mark,author."	"M.A.I.S."	"University of Washington"	"2015"	"150608t20152015wau\\\\\obm\\s000\0\eng\d"	"1 online resource (147 pages)"	"Curran, Sara R.,degree supervisor."	"http://hdl.handle.net/1773/33081"	"910854181"
"Subaltern intellectual histories in the Indian anti-colonial movement /"		"Shemon Salam."	"Salam, Shemon."	"M.A.I.S."	"University of Washington"	"2009"	"091203s2009\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 176 leaves "			"472473609"
