245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Vietnam's forgotten revolutionaries :"	"student voices from inside the Vietnamese revolution, 1954-1975 /"	"Aaron Lillie."	"Lillie, Aaron,author."	"M.A.I.S."	"University of Washington"	"2014"	"141201t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (81 pages) :"	"Giebel, Christoph,1959-degree supervisor."	"http://hdl.handle.net/1773/26775"	"897144979"
"Becoming red and white :"	"the legacy of new order nationalism on interfaith relations in Ambon /"	"Benjamin L. Moseley."	"Moseley, Benjamin L.,author."	"M.A.I.S."	"University of Washington"	"2016"	"160804t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (50 pages)"	"Sears, Laurie J.(Laurie Jo),degree supervisor. http://www.wikidata.org/entity/Q99506273."	"http://hdl.handle.net/1773/36447"	"954760382"
"Participatory development and disaster risk reduction and management in the Philippines :"	"the case of Albay province /"	"Lauren M. Pongan."	"Pongan, Lauren M.,author."	"M.A.I.S."	"University of Washington"	"2015"	"151214t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (45 pages) :"	"Rafael, Vicente L.,degree supervisor.http://www.wikidata.org/entity/Q7925167"	"http://hdl.handle.net/1773/33533"	"932141503"
"Thailand's Second Triumvirate :"	"Sarit Thanarat and the military, King Bhumibol Adulyadej and the monarchy and the United States. 1957-1963 /"	"Phimmasone Michael Rattanasengchanh."	"Rattanasengchanh, Phimmasone Michael,author."	"M.A.I.S."	"University of Washington"	"2012"	"130701s2012\\\\wau\\\\\obm\\\000\0\eng\d"	"1 online resource (96 pages)"	"Callahan, Mary P.(Mary Patricia),1961-degree supervisor."	"http://hdl.handle.net/1773/21997;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1516127"	"851394218"
"Legitimating visions :"	"the Nanyang imaginary in contemporary Southeast Asian cinemas /"	"Adrian Alarilla."	"Alarilla, Adrian,author."	"M.A.I.S."	"University of Washington"	"2018"	"181106t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 68 pages) :"	"Sears, Laurie J.(Laurie Jo),degree supervisor.http://www.wikidata.org/entity/Q99506273"	"http://hdl.handle.net/1773/42084"	"1061314465"
"Food, the state and development :"	"a political economy of agriculture and trade in Indonesia /"	"Benjamin Cantrell."	"Cantrell, Benjamin,author."	"M.A.I.S."	"University of Washington"	"2015"	"151214t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 116 pages) :"	"Curran, Sara,degree supervisor."	"http://hdl.handle.net/1773/33537"	"932142387"
"This grievable life :"	"precarity, land tenancy, climate change and flooding in the Kampung of Jakarta /"	"Linda Kathleen Cuadra."	"Cuadra, Linda Kathleen,author."	"M.A.I.S."	"University of Washington"	"2015"	"160404t20152015wau\\\\\obm\\s000\0\eng\d"	"1 online resource (53 pages)"	"Sears, Laurie J.(Laurie Jo),degree supervisor.http://www.wikidata.org/entity/Q99506273"	"http://hdl.handle.net/1773/35113"	"945931229"
"NGOs, international aid, and mental health in Cambodia /"		"Natalie Gordon."	"Gordon, Natalie,author."	"M.A.I.S."	"University of Washington"	"2016"	"160502t20162016wau\\\\\obm\\s000\0\eng\d"	"1 online resource (76 pages)"	"Curran, Sara,degree supervisor."	"http://hdl.handle.net/1773/35512"	"948519267"
"Caste and the quest for racial hierarchy in British Burma :"	"an analysis of census classifications from 1872-1931 /"	"Erin L. McAuliffe."	"McAuliffe, Erin L.,author."	"M.A. I.S."	"University of Washington"	"2017"	"170913t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (57 pages)"	"Hirschman, Charles,degree supervisor."	"http://hdl.handle.net/1773/39860"	"1003532293"
"Imagining the Buddhist Ecumene in Myanmar :"	"how Buddhist paradigms dictate belonging in contemporary Myanmar /"	"Daniel P. Murphree."	"Murphree, Daniel P.,author."	"M.A.I.S."	"University of Washington"	"2017"	"170912t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (iii, 121 pages) :"	"Sears, Laurie J.(Laurie Jo),degree supervisor.http://www.wikidata.org/entity/Q99506273"	"http://hdl.handle.net/1773/39827"	"1003325012"
"Ragapadmi and the first leper :"	"a critical history of leprosy transmission in Madura, Indonesia /"	"Dimas Iqbal Romadhon."	"Romadhon, Dimas Iqbal,author."	"M.A.I.S."	"University of Washington"	"2018"	"181106t20182018wauab\\\obm\\s000\0\eng\d"	"1 online resource (iv, 75 pages) :"	"Sears, Laurie J.(Laurie Jo),degree supervisor.http://www.wikidata.org/entity/Q99506273"	"http://hdl.handle.net/1773/42076"	"1061313720"
"Nature/war framework of disability :"	"potential disconnect between Cambodian government and local and international communities regarding disability /"	"Vanna Song."	"Song, Vanna,author."	"M.A.I.S."	"University of Washington"	"2019"	"190905t20192019wau\\\\\obm\\s000\0\eng\d"	"1 online resource (38 pages)"	"Grant, Jenna,degree supervisor.http://www.wikidata.org/entity/Q99509398"	"http://hdl.handle.net/1773/43987"	"1117448753"
"Rivers of Dayak dreams :"	"the aporia of knowledge and the melancholia of race in three memoirs about Borneo /"	"Lezhi Wang."	"Wang, Lezhi,author."	"M.A.I.S."	"University of Washington"	"2020"	"200908t20202020wau\\\\\obm\\s000\0\eng\d"	"1 online resource (53 pages)"	"Rafael, Vicente L.,degree supervisorhttp://www.wikidata.org/entity/Q7925167"	"http://hdl.handle.net/1773/45750"	"1193567978"
