245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"An investigation of the figure-ground aspect of auditory perception in normal children."			"Alvig, Delphi Patricia."	"M.A."	"University of Washington"		"890605s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"90 leaves"			"19817416"
"A study of the high school auditorium program in relation to speech education ..."			"Argall, Ruth Marie."	"M.A."	"University of Washington"		"890719s1941\\\\xx\\\\\\\bm\\\000\0\eng\d"	"130 leaves"			"20031463"
"A study of the influence of aggressive stimuli upon the perceptual response thresholds of stuttering and nonstuttering children."			"Aten, James LeRoy,1931-"	"Ph. D."	"University of Washington"		"890719s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"109 leaves"			"20031744"
"An analysis for the oral interpretation of The lady's not for burning, by Christopher Fry."			"Averett, Lois Fran."	"M.A."	"University of Washington"		"890719s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"153 leaves"			"20031610"
"A study of Winston S. Churchill as an opposition speaker during the years from 1932 to 1938 ..."			"Baskerville, Barnet."	"M.A."	"University of Washington"		"890719s1944\\\\xx\\\\\\\bm\\\000\0\eng\d"	"151 leaves"			"20031429"
"Articulation of Manila Tagalog."			"Beltran, Zorayda Deroca."	"M.A."	"University of Washington"		"890605s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"69 leaves"			"19817355"
"The incidence of articulatory defects among children with classified dental malocclusions."			"Bennett, Delmond Noel,1928-"	"M.A."	"University of Washington"		"890608s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"49 leaves"			"19836067"
"A study of personality characteristics and goal facilitation behavior in small group discussions."			"Blondino, Charles D."	"M.A."	"University of Washington"		"920806s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"47, [1] leaf"			"26342427"
"A progressive synthesis of the concepts of memory in the writings of selected ancient rhetoricians."			"Bright, Philip Lewis,1936-"	"M.A."	"University of Washington"		"890608s1961\\\\xx\\\\\\\bm\\\000\0\eng\d"	"115 leaves"			"19836046"
"An experimental investigation into the use of P.G.S.R. as an adjunct to delayed side tone."			"Brungard, Jacqueline Marlene."	"M.A."	"University of Washington"		"890609s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"37 leaves"			"19840365"
"An investigation of the hearing acuity of cleft palate children having unilateral nasal obstruction."			"Casteel, Robert Leonard."	"M.A."	"University of Washington"		"890622s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"43 leaves"			"19910443"
"A study of some elements of the homiletical theory of Charles Grandison Finney ..."			"Cox, Robert J."	"M.A."	"University of Washington"		"890719s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"116 leaves"			"20031703"
"A project for the use of oral interpretation in high school literature and language arts classes in the state of Washington."			"Crum, Janice Meister."	"M.A."	"University of Washington"		"890728s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"106 leaves"			"20082945"
"An experimental study of two hundred and thirty seven primary grade school children with a phonographic screening test ..."			"Daubenspeck, Ruth Marjorie."	"M.A."	"University of Washington"		"890608s1944\\\\xx\a\\\\\bm\\\000\0\eng\d"	"70 leaves"			"19836097"
"A study of the relationships between personality characteristics and comprehension in small group discussion."			"Davis, James Wayne,1938-"	"M.A."	"University of Washington"		"890727s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"38 leaves"			"20077553"
"A comparative audiometric study of ground crew men and pilots ..."			"Dawson, Warren Robert."	"M.A."	"University of Washington"		"890728s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 45 leaves"			"20082828"
"The people of Colombia and their ways as seen by Costumbrita writers ..."			"Devine, James Dawson."	"M.A."	"University of Washington"		"890609s1950\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 155 leaves"			"19841629"
"An experiment to determine the practicability of cinefluorography as a technique for the study of velopharyngeal closure ..."			"Dickey, Stanley Edwin."	"M.A."	"University of Washington"		"890609s1952\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 53 leaves"			"19839886"
"A critical study of three addresses of Adlai E. Stevenson in the 1952 presidential campaign ..."			"Faghin, Betty May Raport."	"M.A."	"University of Washington"		"890623s1954\\\\xx\\\\\\\bm\\\000\0\eng\d"	"v, 181 leaves"			"19917292"
"A study of the relationship between the listening ability and the listening performance of ninth grade students."			"Finkbeiner, Edith Joy."	"M.A."	"University of Washington"		"890609s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"89 leaves"			"19839908"
"A high-speed motion picture study of vocal fold action in certain voice qualities ..."			"Fletcher, William Wayne."	"M.A."	"University of Washington"		"890609s1947\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 68 leaves"			"19839841"
"An experimental study of the speech discrimination in noise of adults with normal hearing."			"Foster, Helen Marya."	"M.A."	"University of Washington"		"890623s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"37 leaves"			"19917352"
"The status systems of selected ancient rhetoricians."			"Funk, Alfred A.,1915-"	"M.A."	"University of Washington"		"890623s1961\\\\xx\\\\\\\bm\\\000\0\eng\d"	"195 leaves"			"19917403"
"An investigation to determine the validity of the 4000 cycle per second pure tone frequency as an audiometric screening device for school children."			"Gaddie, Barbara Gayle."	"M.A."	"University of Washington"		"890623s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"40 leaves"			"19917384"
"A study of the effect of certain surgical variables on the auditory acuity of fifty cleft palate children ..."			"Gannon, Joseph."	"M.A."	"University of Washington"		"890623s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 60 leaves"			"19917087"
"The relationship between auditory memory and pedolalia in children from ages five to nine ..."			"Garbutt, Cameron W."	"M.A."	"University of Washington"		"890623s1941\\\\xx\a\\\\\bm\\\000\0\eng\d"	"104 leaves"			"19917043"
"A study of reliability and variation of critical rating of speech by trained and untrained observers ..."			"Gibbs, David Elmore."	"M.A."	"University of Washington"		"890622s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 48 leaves"			"19910493"
"Frequency and kind of sound substitutions, omissions, and additions in children ages three to six ..."			"Godchaux, Harold Barnett."	"M.A."	"University of Washington"		"890608s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 72 leaves"			"19836081"
"A study of the reliability of audiograms of normal hearing individuals and a determination and quantitative measurement of differences in threshold level obtained by testing methods ..."			"Gormley, Geneva Jeffers."	"M.A."	"University of Washington"		"890622s1947\\\\xx\a\\\\\m\\\\000\0\eng\d"	"v, 81 leaves"			"19910533"
"An experimental study of two hundred five college students with a phonograph administered group hearing test ..."			"Groth, Iola Brown."	"M.A."	"University of Washington"		"890706s1944\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 63 leaves"			"19966322"
"Application of selected Burkeian principles in a rhetorical analysis of Eugene J. McCarthy's speech nomination Adlai E. Stevenson at the 1960 Democratuc National Convention."			"Hagan, Michael Robert."	"M.A."	"University of Washington"		"890706s1962\\\\xx\\\\\\\bm\\\000\0\eng\d"	"177 leaves"			"19966478"
"A study of the American college commencement speech as a form of public address based on a recent collection of ninety-six commencement addresses."			"Hanson, William Verne."	"M.A."	"University of Washington"		"890706s1957\\\\xx\\\\\\\bm\\\000\0\eng\d"	"195 leaves"			"19966380"
"An experimental hearing study on two hundred thirty two primary grade school children with the Western electric 4C audiometer,"		"by Ernest Robert Harrington, Junior ..."	"Harrington, Ernest Robert."	"M.A."	"University of Washington"		"890706s1942\\\\xx\ak\\\\bm\\\000\0\eng\d"	"71 leaves"			"19966280"
"An experimental study of the Lombard test."			"Harvey, Donald Gene,1928-"	"M.A."	"University of Washington"		"890706s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"				"19966572"
"A study of news policies and practices in radio stations of the state of Washington ..."			"Herbold, Paul Ezra."	"M.A."	"University of Washington"		"890608s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 153 leaves"			"19833459"
"The use of radio in the teaching of high school speech ..."			"Hingston, Albert Cardiff."	"M.A."	"University of Washington"		"890607s1947\\\\xx\\\\\\\bm\\\000\0\eng\d"	"3 preliminary leaves, 45 leaves"			"19830225"
"An investigation of objectives and methods of the beginning radio speech course at the college level ..."			"Hogan, Michael."	"M.A."	"University of Washington"		"890607s1950\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 109 leaves"			"19830349"
"A survey of pure tone thresholds of elementary school children between ages eight and twelve."			"Holland, William Hal."	"M.A."	"University of Washington"		"890608s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"23 leaves"			"19833617"
"Analytical approach to the oral interpretation of three Old Testament stories ..."			"Hunter, Isabel Chrystine."	"M.A."	"University of Washington"		"890607s1950\\\\xx\\\\\\\bm\\\000\0\eng\d"	"iii, 189 leaves"			"19830389"
"An investigation of scores on the Brown-Carlsen listening test as correlated with subjective instructor rankings and as influenced by media of presentation."			"Jones, John Alfred."	"M.A."	"University of Washington"		"890608s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"84 leaves"			"19833598"
"An exploratory study of sex differences in critical thinking ability."			"Jones, William Michael,1930-"	"M.A."	"University of Washington"		"890728s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"60, [2] leaves"			"20082907"
"An exploratory study of the effects of two media of presentation on performance in reasoning."			"Jones, William Michael,1930-"	"Ph. D."	"University of Washington"		"890728s1962\\\\xx\a\\\\\bm\\\000\0\eng\d"	"46 leaves"			"20082645"
"An attitude scale for audience research developed by oral presentation."			"King, Richard Arthur."	"M.A."	"University of Washington"		"890609s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"62 leaves"			"19839959"
"An analysis and evaluation of the speaking of John Raleigh Mott."			"Klopf, Donald William,1923-"	"Ph. D."	"University of Washington"		"890613s1958\\\\xx\\\\\\\bm\\\000\0\eng\d"	"304, [1] leaf"			"19860277"
"A study of Woodrow Wilson's and Senator La Follette's speaking on the world war issue ..."			"Kniseley, Wade."	"M.A."	"University of Washington"		"890609s1945\\\\xx\\\\\\\bm\\\000\0\eng\d"	"174 leaves"			"19839817"
"An examination of debate policies, procedures, and coaching techniques employed in schools participating in a national speech tournament."			"Lane, Richard Albert."	"M.A."	"University of Washington"		"890623s1962\\\\xx\ab\\\\bm\\\000\0\eng\d"	"91 leaves"			"19917429"
"A comparison of the principles of evidence evaluation used in speech textbooks with those drawn from certain psychological data ..."			"LaRusso, Dominic A."	"M.A."	"University of Washington"		"890623s1952\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 212 leaves"			"19917191"
"An investigation of a bone conduction speech reception threshold test of hearing ..."			"Lawrence, Clifton Frank."	"M.A."	"University of Washington"		"890719s1952\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 45 leaves"			"20031671"
"An investigation of possible cortical dysfunction in children with delayed speech ..."			"Luft, Mary Anne."	"M.A."	"University of Washington"		"890714s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 88 leaves"			"20006971"
"A survey of hypernasality in children who have had adenotonsillectomy as judged through forward and reversed playback recordings."			"Manning, Charles Corwin,1930-"	"M.A."	"University of Washington"		"890714s1957\\\\xx\a\\\\\bm\\\000\0\eng\d"	"44 leaves"			"20007000"
"An empirical study of the effects of two types of conflict-arousing arguments upon retention and attitude change."			"Marsh, Patrick Otis,1928-"	"Ph. D."	"University of Washington"		"890608s1961\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"19833850"
"An experimental study of certain factors resulting in individual differences in susceptibility to persuasion."			"Marsh, Patrick Otis,1928-"	"M.A."	"University of Washington"		"890608s1956\\\\xx\a\\\\\bm\\\000\0\eng\d"	"1 volume (various pagings)"			"19833553"
"A study of the differential effects of whole-argument repetition upon recall employing a predominantly printed stimulus ..."			"Martin, Wilbur Lee."	"M.A."	"University of Washington"		"890609s1953\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 69 leaves"			"19839157"
"A study of the influence of language background and training on rate of speech."			"Maynigo, Flordeliza Arenas."	"M.A."	"University of Washington"		"890728s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"47 leaves"			"20082878"
"The differential effect of a stimulus speech upon high and low critical thinkers."			"Mays, Theo Hillyer."	"M.A."	"University of Washington"		"901121s1955\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 53 leaves"			"22725359"
"A study of the relationship between defects of articulation in speech and emotional instability in elementary school children ..."			"McAllister, Margaret 'Gene."	"M.A."	"University of Washington"		"890807s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 61 leaves"			"20134635"
"An analysis of the speech and language status of an unselected population of 353 aments ..."			"McGrath, William Daniel."	"M.A."	"University of Washington"		"890608s1942\\\\xx\\\\\\\bm\\\000\0\eng\d"	"111 leaves"			"19836110"
"An analysis of the radio curricula (exclusive of engineering) of thirty colleges and universities in the United States ..."			"McGrath, William Frederick."	"M.A."	"University of Washington"		"890608s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 76 leaves"			"19833391"
"A new interpretation of the Rinne test."			"McGuire, Jesse Burnette."	"M.A."	"University of Washington"		"890608s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"28 leaves"			"19833575"
"A study of the breathing patterns of cerebral palsied subjects ..."			"McIntosh, Donald Clair."	"M.A."	"University of Washington"		"890608s1954\\\\xx\a\\\\\bm\\\000\0\eng\d"	"61 leaves"			"19833486"
"An analytical comparison and evaluation of the speech tournament and the speech festival according to sound educational objectives ..."			"Method, Anna Ethel."				"910108s1944\\\\xx\\\\\\\bm\\\000\0\eng\d"	"78 numb l"			"22936181"
"Persuasive techniques in selected sermons by Dr. T.T. Shields ..."			"Miles, Kenneth LeRoy."				"901126s1951\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 124 num. l"			"22739228"
"A proposed plan for correcting minor articulatory disorders by extending the reading program in the primary grades to include those principles and techniques used to correct minor defects of articulation ..."			"Miner, Adah."				"910108s1948\\\\xx\a\\\\\bm\\\000\0\eng\d"	"i, 188 leaves"			"22936307"
"Aesthetic concepts in selected oral interpretation textbooks ..."			"Mohrmann, G. P."	"M.A."	"University of Washington"		"901126s1955\\\\xx\\\\\\\bm\\\000\0\eng\d"	"vi, 113 leaves"			"22739231"
"A study of attitudes in parents of stuttering and non-stuttering children ..."			"Moncur, John Paul."				"910108s1947\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 109 leaves"			"22936182"
"A survey of the status and an analysis of the outcomes of the oral interpretation experience in certain high schools in the state of Washington ..."			"Morris, Mary Virginia."	"M.A."	"University of Washington"		"890607s1949\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 95 leaves"			"19830270"
"A study of the use of audio aids in teaching speech in the Seattle public high schools ..."			"Morrison, Douglas Bradford."				"910108s1951\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ii, 72 leaves"			"22936309"
"A survey of the concept and function of logic in the works of selected American writers in the fields of argumentation and discussion ..."			"Nilsen, Thomas Robert."	"M.A."	"University of Washington"		"890714s1948\\\\xx\\\\\\\bm\\\000\0\eng\d"	"i, 187 leaves"			"20007025"
"A study of selected variables and their relationship to delayed sidetone response."			"Ouellette, Eugene G.,1929-"	"Ph. D."	"University of Washington"		"890714s1960\\\\xx\a\\\\\bm\\\000\0\eng\d"	"66 leaves"			"20007001"
"A comparative study of Goldstein's concept regarding the development and disintegration of speech sounds and the data reported by other authors ..."			"Palmer, John M.(John Milton),1922-"	"M.A."	"University of Washington"		"890623s1950\\\\xx\\\\\\\bm\\\000\0\eng\d"	"81 leaves"			"19917154"
"A comparison of speech disturbance resulting from stereophonic and non-stereophonic delayed sidetone."			"Peck, Leslie Glenn."	"M.A."	"University of Washington"		"890623s1959\\\\xx\a\\\\\bm\\\000\0\eng\d"	"47 leaves"			"19917311"
"An investigation of the possible relationship between delayed speech and spelling errors ..."			"Pendergast, Kathleen."	"M.A."	"University of Washington"		"890608s1952\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 61 leaves"			"19833412"
"A comparison of the effects of contralateral masking on thresholds of monaural conductive and perceptive hearing losses ..."			"Poorman, Florence Margaret."	"M.A."	"University of Washington"		"890609s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 75 leaves"			"19840506"
"A study of the methods of persuasion in selected speeches delivered by Isaac Ingalls Stevens ..."			"Prall, Caleb William."	"M.A."	"University of Washington"		"890609s1943\\\\xx\\\\\\\bm\\\000\0\eng\d"	"109 leaves"	"Stevens, Isaac Ingalls,1818-1862."		"19840611"
"A study of selected speeches by Mrs. Franklin D. Roosevelt on human rights ..."			"Ranck, Gloria Virginia."	"M.A."	"University of Washington"		"890710s1952\\\\xx\\\\\\\bm\\\000\0\eng\d"	"ii, 158 leaves"			"19984040"
"A study of the status of speech education in the United States,"	"as revealed by statements and publications of various state offices of public instruction ..."		"Reynolds, Nydia Joan."	"M.A."	"University of Washington"		"890609s1947\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 87 leaves"			"19840560"
"A high speed motion picture study of certain vocal fold phenomena during a six note rise in pitch ..."			"Rosser, Paul Frederick."	"M.A."	"University of Washington"		"890605s1950\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 78 leaves"			"19817682"
"An attitude scale for empirical studies in communication research."			"Scheidel, Thomas Maynard,1931-"	"M.A."	"University of Washington"		"890710s1955\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 59 leaves"			"19984043"
"An exploratory study of the relationships between certain organismic variables and response to a persuasive speech."			"Scheidel, Thomas Maynard,1931-"	"Ph. D."	"University of Washington"		"890710s1958\\\\xx\a\\\\\bm\\\000\0\eng\d"	"119, [1] leaf"			"19984049"
