245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Applying graphical models to partially observed data generating processes /"		"Rebecca Ayesha Ali."	"Ali, Rebecca Ayesha,1974-"	"Ph. D."	"University of Washington"	"2002"	"030227s2002\\\\xx\a\\\\\bms\\000\0\eng\d"	"x, 133 pages :"		"http://hdl.handle.net/1773/8978"	"51757846"
"Classical inference in spatial statistics /"		"by Lars Smedegaard Andersen."	"Andersen, Lars Smedegaard."	"Ph. D."	"University of Washington"	"1989"	"900105s1989\\\\xx\a\\\\\bms\\000\0\eng\d"	"ix, 183 leaves :"			"20849600"
"The genetic structure of related recombinant lines /"		"Amy D. Anderson."	"Anderson, Amy D.(Amy Dawn),1970-"	"Ph. D."	"University of Washington"	"2003"	"040210s2003\\\\xx\a\\\\\bms\\000\0\eng\d"	"vi, 171 pages :"		"http://hdl.handle.net/1773/8935;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3102619"	"54390727"
"Robust estimation in point processes /"		"by Renato M. Assunçăo."	"Assunção, Renato M.(Renato Martins),1961-"	"Ph. D."	"University of Washington"	"1994"	"950210s1994\\\\xx\a\\\\\bms\\000\0\eng\d"	"ix, 143 pages :"			"31966876"
"Nonparametric estimation of a k-monotone density :"	"a new asymptotic distribution theory /"	"Fadoua Balabdaoui."	"Balabdaoui, Fadoua,1975-"	"Ph. D."	"University of Washington"	"2004"	"040922s2004\\\\xx\a\\\\\bms\\000\0\eng\d"	"vii, 282 pages :"		"http://hdl.handle.net/1773/8964;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3131120"	"56556800"
"Likelihood ratio inference in regular and non-regular problems /"		"Moulinath Banerjee."	"Banerjee, Moulinath,1974-"	"Ph. D."	"University of Washington"	"2000"	"010524s2000\\\\xx\a\\\\\bms\\000\0\eng\d"	"vi, 235 pages :"		"http://hdl.handle.net/1773/8938;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9995340"	"47006634"
"Constrained cluster analysis and image understanding /"		"by Jeff David Banfield."	"Banfield, Jeff David."	"Ph. D."	"University of Washington"	"1988"	"880623s1988\\\\xx\a\\\\\bms\\000\0\eng\d"	"vi, 93 leaves :"			"18125534"
"Bayesian inference for deterministic simulation models for environmental assessment /"		"Samantha Colleen Bates."	"Bates, Samantha Colleen,1972-"	"Ph. D."	"University of Washington"	"2001"	"020116s2001\\\\xx\a\\\\\bms\\000\0\eng\d"	"viii, 106 pages :"		"http://hdl.handle.net/1773/8953;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3022810"	"48800208"
"Nonhomogeneous hidden Markov models for downscaling synoptic atmospheric patterns to precipitation amounts /"		"Enrica Bellone."	"Bellone, Enrica."	"Ph. D."	"University of Washington"	"2000"	"001213s2000\\\\xx\a\\\\\bms\\000\0\eng\d"	"viii, 134 pages :"		"http://hdl.handle.net/1773/8979;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9975954"	"45555737"
"Statistical analysis of biological monitoring data :"	"state-space models for species compositions /"	"by D. Dean Billheimer."	"Billheimer, D. Dean,1959-"	"Ph. D."	"University of Washington"	"1995"	"960412s1995\\\\xx\a\\\\\bms\\000\0\eng\d"	"xi, 211 pages :"			"34563033"
