existingItemLabel,newItemLabel,title,subtitle,statedAs,statedAsCreator2,creator,educated at,creatorNew,creatorNew2,CreatorMastersReconciled,creatorDoctoralReconciled,instance of,genre,Den,submittedTo,inception,language,pages,Leaf,page,RomanNumberedPage,degreeSupervisor,degreeSupervisor 1,degreeSupervisor 2,degreeSupervisor 3,degreeSupervisor 4,hdlURI,hdl,OCLCID
,"Irf6 Loss-of-function Causes Disturbances in Epithelial Polarity, Enamel Formation, and Root Patterning","Irf6 Loss-of-function Causes Disturbances in Epithelial Polarity, Enamel Formation, and Root Patterning",,Emily Y. Chu,,Emily Y Chu,,,,,Emily Y Chu,human,doctoral thesis,"doctoral thesis by Emily Y. Chu, 2015",University of Washington,2015,English,"vi, 184 pages ",,184,vi,"Cox, Timothy C.,degree supervisor.",Timothy C. Cox,,,,http://hdl.handle.net/1773/33716,1773/33716,933743530
,The Effects of Mobile Health Applications On Pediatric Dentists' Use of Fluoride Varnish For High-caries Risk Patients,The Effects of Mobile Health Applications On Pediatric Dentists' Use of Fluoride Varnish For High-caries Risk Patients,,Gregory Gardner,,Gregory Gardner,,,,Gregory Gardner,,human,master's thesis,"master's thesis by Gregory Gardner, 2019",University of Washington,2019,English,"vi, 49 pages ",,49,vi,"Xu, Zheng,degree supervisor.",Zheng Xu,,,,http://hdl.handle.net/1773/44151,1773/44151,1120725769
,Assessing Temperament As a Predictor of Distress At Anesthesia Induction Using the Children's Behavior Questionnaire Short Form,Assessing Temperament As a Predictor of Distress At Anesthesia Induction Using the Children's Behavior Questionnaire Short Form,,Graham Hearn,,Graham Hearne,,,,Graham Hearne,,human,master's thesis,"master's thesis by Graham Hearn, 2016",University of Washington,2016,English,24 pages,,24,,"Nelson, Travis,degree supervisor.",Travis Nelson,,,,http://hdl.handle.net/1773/36554,1773/36554,956787697
,Oral Epithelial Cell Sensing of Lps: A Novel Protection Mechanism of Oral Epithelium,Oral Epithelial Cell Sensing of Lps,A Novel Protection Mechanism of Oral Epithelium,Nutthapong Kantrong,,Nutthapong Kantrong,,,,,Nutthapong Kantrong,human,doctoral thesis,"doctoral thesis by Nutthapong Kantrong, 2017",University of Washington,2017,English,"vi, 116 pages ",,116,vi,"Darveau, Richard P.,1953-degree supervisor.",Richard P. Darveau,,,,http://hdl.handle.net/1773/40825,1773/40825,1031117257
,Management of Overbite With the Invisalign® Appliance,Management of Overbite With the Invisalign® Appliance,,Roozbeh Khosravi,,Roozbeh Khosravi,,,,Roozbeh Khosravi,,human,master's thesis,"master's thesis by Roozbeh Khosravi, 2016",University of Washington,2016,English,"v, 31 pages ",,31,v,"Huang, Greg J.,degree supervisor.",Greg J. Huang,,,,http://hdl.handle.net/1773/35563,1773/35563,949855456
,Dental Utilization By Pediatric Patients Attending the 2015 Dental Home Day,Dental Utilization By Pediatric Patients Attending the 2015 Dental Home Day,,Mark Ortega,,Mark Ortega,,,,Mark Ortega,,human,master's thesis,"master's thesis by Mark Ortega, 2017",University of Washington,2017,English,21 pages ,,21,,"Palmer, Elizabeth A.(Dentist),degree supervisor.",Elizabeth A.(Dentist) Palmer,,,,http://hdl.handle.net/1773/40023,1773/40023,1004395313
,Should I Share This?: Support Awareness of Social Media Sharing Practice That Might Compromise Online Privacy and Reputation,Should I Share This?,Support Awareness of Social Media Sharing Practice That Might Compromise Online Privacy and Reputation,Jaewon Hwang,,Jaewon Hwang,University of Rochester,,,Jaewon Hwang,,human,master's thesis,"master's thesis by Jaewon Hwang, 2016",University of Washington,2016,English,30 pages ,,30,,"Germany, Jason O.,degree supervisor.",Jason O. Germany,,,,http://hdl.handle.net/1773/36468,1773/36468,956452880
,Landmark: Participatory Experiences in Commemorative Places,Landmark,Participatory Experiences in Commemorative Places,Sarah Reitz,,Sarah Reitz,,,,Sarah Reitz,,human,master's thesis,"master's thesis by Sarah Reitz, 2017",University of Washington,2017,English,71 pages ,,71,,"Hirsch, Edward A.,1970-degree supervisor.",Edward A. Hirsch,,,,http://hdl.handle.net/1773/40462,1773/40462,1013748843
,Permission to Perform: Palestinian Theatre in Jerusalem (1967-1993),Permission to Perform,Palestinian Theatre in Jerusalem (1967-1993),Samer Al-Saber,,Samer Al-Saber,,,,,Samer Al-Saber,human,doctoral thesis,"doctoral thesis by Samer Al-Saber, 2013",University of Washington,2013,English,"vi, 203 pages",,203,vi,"Postlewait, Thomas,degree supervisor.",Thomas Postlewait,,,,http://hdl.handle.net/1773/23359,1773/23359,877832636
,The Strength of the Few: Dominant and Subdominant in the Poetic Function of Theater,The Strength of the Few,Dominant and Subdominant in the Poetic Function of Theater,Anna Gabriela Ramis,,Anna Gabriela Ramis,,,,,Anna Gabriela Ramis,human,doctoral thesis,"doctoral thesis by Anna Gabriela Ramis, 2012",University of Washington,2012,English,"iii, 287 pages ",,287,iii,"Bryant-Bertail, Sarah,thesis advisor.",Sarah Bryant-Bertail,,,,http://hdl.handle.net/1773/22542,1773/22542,874845961
