245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"The legislative position of real estate and building organizations concerning urban planning and development issues."			"Walker, Hiram Jarrell."	"M.U.P."	"University of Washington"		"890725s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"88 leaves"			"20063212"
"A methodological study of determining the number of community colleges needed to facilitate a state-wide system with reference to the State of Washington."			"Smith, William Ray."	"M.U.P."	"University of Washington"		"890607s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"164 leaves"			"19829769"
"The comprehensive plan and state planning"	"an analysis of the comprehensive plan as an instrument for guiding state planning programs."		"Shouse, James Coleman."	"M.U.P."	"University of Washington"		"890707s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"107 leaves"			"19978964"
"Regional corridor impact analysis:"	"the Mohawk Valley and Piedmont Crescent."		"Robertson, John Lackie."	"M.U.P."	"University of Washington"		"890612s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"73 leaves"			"19852144"
"An automated information system for regional analysis purposes."			"McCreary, Melinda."	"M.U.P."	"University of Washington"		"890724s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"104 leaves"			"20058894"
"The changing urban structure of Tacoma, Washington."			"McConnell, Ronald Lee."	"M.U.P."	"University of Washington"		"890724s1965\\\\xx\ab\\\\bm\\\000\0\eng\d"	"94 leaves"			"20058857"
"The effect of income differential on residential location with respect to distance from employment."			"Ludwig, Richard Lowell."	"M.U.P."	"University of Washington"		"890724s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"56 leaves"			"20058829"
"A study of the use of public hearings in the adoption of the comprehensive plan and land use controls."			"Jones, Gary Mac,1940-"	"M.A. in U.P."	"University of Washington"		"890609s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"144 leaves"			"19840525"
"The physical-environmental characteristics of the Islamic Arab city."			"Ismail, Adel Abdel-Fattah."	"M.U.P."	"University of Washington"		"890612s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"135 leaves"			"19852071"
"A study for determining the factors of location for service stations."			"Chin, James S. K."	"M.U.P."	"University of Washington"		"890705s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"160 leaves"			"19962060"
"An automated system for geocoding urban analysis and planning information."			"Calkins, Hugh West,1938-"	"M.U.P."	"University of Washington"		"890719s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"101 leaves"			"20030068"
"Zoning as a determinant of urban form."			"Burke, Robert Glen."	"M.U.P."	"University of Washington"		"890705s1965\\\\xx\a\\\\\bm\\\000\0\eng\d"	"113 leaves"			"19962039"
"A study of the urban utopia."			"Anderson, Richard Alan."	"M.U.P."	"University of Washington"		"890607s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"236 leaves"			"19829738"
"Public health as an area of need in planning education."			"Allen, William Donald."	"M.U.P."	"University of Washington"		"890719s1965\\\\xx\\\\\\\bm\\\000\0\eng\d"	"156 leaves"			"20030077"
"An investigation of urban renewal in Oregon and Washington communities."			"Wright, James Whitmer."	"M. Urban Plan."	"University of Washington"		"890724s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"149 leaves"			"20058972"
"A method of identifying political leadership for the planning process,"		"by Louis Earl St. John, Jr."	"St. John, Louis Earl."	"M. Urban Plan."	"University of Washington"		"890612s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"86, vii leaves"			"19851923"
"Patterns of environmental characteristics associated with residential blight in Seattle."			"Spaeth, James Douglas."	"M. Urban Plan."	"University of Washington"		"901108s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"112 unnumbered leaves"			"22653670"
"Citizen participation in planning through neighborhood association: development of a conceptual framework."			"Patterson, Mary Andrews."	"M.A. in U.P."	"University of Washington"		"890609s1966\\\\xx\\\\\\\bm\\\000\0\eng\d"	"129 leaves"			"19840659"
"The significance of fringe development around planned shopping centers."			"Ostheimer, William Robert."	"M. Urban Plan."	"University of Washington"		"890815s1966\\\\xx\\\\\\\m\\\\000\0\eng\d"	"72 leaves"			"20177729"
"Housing needs and policies in Ghana /"		"Ibrahim Sheick N'Jai."	"N'Jai, Ibrahim Sheick."	"Master of Urban Planning"	"University of Washington"	"1966"	"890725s1966\\\\xx\a\\\\rbm\\\000\0\eng\d"	"115 leaves :"			"20063201"
"Planned unit residential development concept:"	"an implementary device."		"Moore, Richard Lee."	"M. Urban Plan."	"University of Washington"		"901121s1966\\\\xx\\\\\\\bm\\\000\0\eng\d"	"114 leaves"			"22725361"
"Physician and attorney office activities, Seattle: a functional, spatial and linkage analysis."			"Marsden, Alvin Samuel."	"M.A. in U.P."	"University of Washington"		"890609s1966\\\\xx\ab\\\\bm\\\000\0\eng\d"	"152 leaves"			"19840623"
"An investigation of regional transportation study methodologies."			"Low, Sonny."	"M. Urban Plan."	"University of Washington"		"890724s1966\\\\xx\ab\\\\bm\\\000\0\eng\d"	"109 leaves"			"20058933"
"Social planning and the urban planning process."			"Lovering, Howard C."	"M. Urban Plan."	"University of Washington"		"890512s1966\\\\xx\\\\\\\bm\\\000\0\eng\d"	"168 leaves"			"19696889"
"The role of the inland waterway port district in community development in the State of Washington."			"Holloway, Gary Lawrence."	"M.A. in U.P."	"University of Washington"		"890609s1966\\\\xx\ab\\\\bm\\\000\0\eng\d"	"103 leaves"			"19840573"
"Commercial development and the visual experience of its adjacent surroundings."			"Gregory, Charles P."	"M. Urban Plan."	"University of Washington"		"890705s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"123 leaves"			"19962146"
"Mobile home park development and local planning controls."			"Fryhling, Richard Louis."	"M. Urban Plan."	"University of Washington"		"890705s1966\\\\xx\ad\\\\bm\\\000\0\eng\d"	"133 leaves"			"19962081"
"A study for determining locational criteria for the sanitary landfill method of refuse disposal."			"Frazier, Larry Kenneth."	"M. Urban Plan."	"University of Washington"		"890622s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"81 leaves"			"19910871"
"Retail chain food store locations and urban planning."			"Crow, David Gilbert."	"M. Urban Plan"	"University of Washington"		"890728s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"127 leaves"			"20083093"
"Airports and vicinal land use."			"Burstein, Herbert A."	"M. Urban Plan."	"University of Washington"		"890511s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"102 leaves"			"19692782"
"Housing accommodations for the elderly in Seattle, Washington."			"Bridge, Michael Lee."	"M. Urban Plan."	"University of Washington"		"890728s1966\\\\xx\b\\\\\bm\\\000\0\eng\d"	"126 leaves"			"20083021"
"An automated information system for zoning adjustments administration."			"Abdo, Muhammad Fawzi."	"M. Urban Plan."	"University of Washington"		"890718s1966\\\\xx\a\\\\\bm\\\000\0\eng\d"	"103 leaves"			"20026928"
"Wilderness accessibility and the quality of urban environment."	"An inquiry into some aspects of exposure, motivation, and values in primitive outdoor recreation."		"Anderssen, Anders."	"M. Urban. Plan."	"University of Washington"		"890516s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"133 leaves"			"19712715"
"Flood damage reduction through urban and regional planning programs in the United States and England."			"Azimi-Bolourian, Ahmad,1935-"	"M. Urban. Plan."	"University of Washington"		"890523s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"198 leaves"			"19749527"
"The involvement of the federal government in health planning in the United States."			"Badame, Joseph Philip."	"M. Urban Plan."	"University of Washington"		"890523s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"121 leaves"			"19749541"
"Role of urban design in the urban planning process."			"Banerjee, Tridib."	"M. Urban. Plan."	"University of Washington"		"890523s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"116 leaves"			"19749515"
"An investigation of federal relationships with state and regional planning in the state of Washington,"		"by Franklin Weston Bartlett, Jr."	"Bartlett, Franklin Weston."	"M. Urban Plan."	"University of Washington"		"890523s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"129 leaves"			"19749536"
"The planner in the community context,"		"by Thomas Edson Beckwith, Jr."	"Beckwith, Thomas Edson."	"M. Urban Plan."	"University of Washington"		"890516s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"164 leaves"			"19712747"
"A survey and evaluation of citizen-initiated planning efforts in the central area of Seattle."			"Bower, Diana."	"M. Urban Plan"	"University of Washington"		"890509s1968\\\\xx\a\\\\\bm\\\000\0\eng\d"	"108 leaves"			"19681040"
"Recommendations for the creation of an urban design curriculum."			"Bross-Tatz, Eduardo."	"M. Urban Plan."	"University of Washington"		"890609s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"98 leaves"			"19840860"
"Port planning in the United States"	"a study of port authority and municipal government interrelationships."		"Bruffey, Joseph Alan,1943-"	"M. Urban Plan."	"University of Washington"		"890609s1967\\\\xx\\\\\\\bm\\\000\0\eng\d"	"123 leaves"			"19841126"
"A comparative analysis of residential environment concepts and their relation to physical design."			"Coombes, James Allen."	"M. Urban Plan."	"University of Washington"		"890609s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"82 leaves"			"19840276"
"Improving neighborhood identity and personal involvement in residential areas"	"an experiment in environmental design, implementation and ex-post-facto evaluation."		"Copeland, Grant Durard."	"M. Urban Plan."	"University of Washington"		"890523s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"91 leaves"			"19749556"
"Downtown proposals and public opinion"	"a study to determine whether proposals for downtown Seattle reflect the expressed needs and interests of its users."		"Corwin, Robert Wallace."	"M. Urban. Plan."	"University of Washington"		"890523s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"143 leaves"			"19749523"
"Utility of an automated geocoding system for urban analysis,"		"by Roger James Crawford, Jr."	"Crawford, Roger James."	"M. Urban. Plan."	"University of Washington"		"890523s1967\\\\xx\a\\\\\bm\\\000\0\eng\d"	"134 leaves"			"19749508"
"Communicating concepts in urban design."			"Daniel, William Roy."	"M. Urban Plan."	"University of Washington"		"890615s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"139 leaves"			"19871831"
"Social and institutional indicators of the condition of safety and protection."			"Darland, Michael Leroy."	"M. Urban Plan."	"University of Washington"		"890615s1969\\\\xx\a\\\\\bm\\\000\0\eng\d"	"117 leaves"			"19871834"
"Description and evaluation of state planning in Wisconsin."			"Dobbs, Carolyn Elizabeth,1942-"	"M. Urban Plan."	"University of Washington"		"890510s1968\\\\xx\\\\\\\bm\\\000\0\eng\d"	"104 leaves"			"19688404"
