245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Evaluation of scheduling algorithms for air traffic control /"		"Liliana Alfaro."	"Alfaro, Liliana."	"M.S.I.E."	"University of Washington"	"1999"	"991108s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 109 leaves :"			"42788911"
"Measurement of quality :"	"process capability indices and quality lost /"	"by Nabila Assaf."	"Assaf, Nabila."	"M.S.I.E."	"University of Washington"	"1999"	"991214s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 86 leaves :"			"43026900"
"Relief chain planning and management :"	"modeling and analyzing humanitarian logistic problems /"	"Burcu Balcik."	"Balçık, Burcu."	"Ph. D."	"University of Washington"	"2008"	"081031s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 181 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3318156"	"265983862"
"Reverse logistics :"	"a multicriteria decision model with uncertainty /"	"Theresa J. Barker."	"Barker, Theresa J."	"Ph. D."	"University of Washington"	"2010"	"110215s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"v, 126 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3431545"	"701904311"
"Adaptive cruise control (ACC) :"	"driver's use and perception of safety /"	"Jarrett Bato."	"Bato, Jarrett."	"M.S.I.E."	"University of Washington"	"2011"	"110816s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 85 leaves :"			"746952985"
"Haptic interaction with skeleton-based deformable models /"		"Robert Lee Blanding."	"Blanding, Robert Lee."	"Ph. D."	"University of Washington"	"2003"	"040430s2003\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 130 leaves :"			"55059307"
"Psychomotor response to spatial acoustic stimuli /"		"by Jeffrey L. Brandt."	"Brandt, Jeffrey L."	"M.S.I.E."	"University of Washington"	"2001"	"020725s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 77 leaves :"			"50237955"
"Improving access to patient records :"	"redesigning the provider/EMR interface /"	"by Matthew E. Brown."	"Brown, Matthew E.(Matthew Evan),1968-"	"M.S.I.E."	"University of Washington"	"2000"	"000802s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iii, 115 leaves :"			"44708188"
"Customer-centered reliability measures for flexible multistate reliability models /"		"by Russell Brunelle."	"Brunelle, Russell Dedric."	"Ph. D."	"University of Washington"	"1998"	"990521s1998\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiv, 501 pages :"		"http://hdl.handle.net/1773/10691"	"41408051"
"Adapting simulation environments for emergency response planning and training /"		"Bruce Donald Campbell."	"Campbell, Bruce Donald,1963-"	"Ph. D."	"University of Washington"	"2010"	"110804s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 168 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3445534"	"745093674"
"Engineering mathematics :"	"an investigation of students' mathematical thinking from a cognitive engineering perspective /"	"Monica E. Cardella."	"Cardella, Monica E."	"Ph. D."	"University of Washington"	"2006"	"070531s2006\\\\xx\a\\\\\bm\\\000\0\eng\d"	"xiii, 357 leaves :"		"http://hdl.handle.net/1773/10692;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3241884"	"137289427"
"Assessing cognitive workload of in-vehicle voice control systems /"		"Chun-Cheng Chang."	"Chang, Chun-Cheng,1984-author."	"Ph. D."	"University of Washington"	"2016"	"170419t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiii-118 pages) :"	"Boyle, Linda Ng,degree supervisor."	"http://hdl.handle.net/1773/38159"	"982960114"
"Implicit solid modeling using interval methods /"		"Jen-Chien Jack Chang."	"Chang, Jen-Chien Jack."	"Ph. D."	"University of Washington"	"2000"	"010525s2000\\\\xx\a\\\\\bm\\\000\0\eng\d"	"viii, 81 leaves :"		"http://hdl.handle.net/1773/10690;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:9995351"	"47017335"
"Hierarchical approach to semiconductor yield modeling :"	"applications of generalized linear models /"	"Yu-Ching Chang."	"Chang, Yu-Ching,1974-"	"Ph. D."	"University of Washington"	"2010"	"110103s2010\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vii, 122 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3421548"	"694747244"
"Analysis and development of stopping criteria for stochastic global optimization algorithms /"		"Charoenchai Khompatraporn."	"Charoenchai Khompatraporn."	"Ph. D."	"University of Washington"	"2004"	"050504s2004\\\\xx\a\\\\\bm\\\000\0\eng\d"	"ix, 111 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3151622"	"60565499"
"Scheduling mass customized large product assembly line considering learning effect and shifting bottleneck /"		"KuoWei Chen."	"Chen, Kuowei,author."	"Ph. D."	"University of Washington"	"2014"	"140911t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 129 pages) :"	"Storch, Richard Lee,1947-degree supervisor."	"http://hdl.handle.net/1773/25338"	"890402735"
"A Web-based system for optimizing post disaster temporary housing allocation /"		"Lei Chen."	"Chen, Lei,1987-"	"M.S.I.E."	"University of Washington"	"2012"	"121213s2012\\\\xx\a\\\\obm\\\000\0\eng\d"	"1 online resource (iv, 47 pages) :"	"Zabinsky, Zelda B.,thesis advisor."	"http://hdl.handle.net/1773/20702;http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:1515875"	"821061587"
"Dynamic optimal design of online retail auctions /"		"Xi Chen."	"Chen, Xi,1986 January 24-"	"Ph. D."	"University of Washington"	"2011"	"120206s2011\\\\xx\a\\\\\bm\\\000\0\eng\d"	"iv, 80 pages :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3485353"	"775374929"
"Economic analysis and synthesis of technology investment strategies in manufacturing /"		"by William Leroy Davis Jr."	"Davis, William Leroy."	"M.S.I.E."	"University of Washington"	"1999"	"991108s1999\\\\xx\a\\\\\bm\\\000\0\eng\d"	"vi, 106 leaves :"			"42788683"
"A computational study of improving hit-and-run algorithms on a discrete domain /"		"by Eva Hlin Dereksdottir."	"Dereksdottir, Eva Hlin."	"M.S.I.E."	"University of Washington"	"2002"	"020822s2002\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 74 leaves :"			"50467820"
"Using electronic flight instrumentation and flight management systems to manually control flight technical error (FTE) /"		"Glenn Alan Dildy."	"Dildy, Glenn Alan."	"M.S.I.E."	"University of Washington"	"2001"	"020723s2001\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 109 leaves :"			"50219862"
