245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"Transnational Saudi Arabian youth and Facebook :"	"enacting privacy and identity /"	"Norah Abdulwahab Abokhodair."	"Abokhodair, Norah Abdulwahab,author."	"Ph. D."	"University of Washington"	"2017"	"180118t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (231 pages) :"	"Hendry, David G.,1962-degree supervisor."	"http://hdl.handle.net/1773/40611"	"1019880729"
"Distributed interaction design /"		"Abdullah Ali."	"Ali, Abdullah,1989-author.http://www.wikidata.org/entity/Q106873895"	"Ph. D."	"University of Washington"	"2020."	"210427t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (1 unnumbered page, xii, 165 pages) :"	"Wobbrock, Jacob O.,degree supervisor.http://www.wikidata.org/entity/Q47015589"	"http://hdl.handle.net/1773/46492"	"1247949592"
"Leveraging large-scale educational data to examine the freshman experience using machine learning and causal inference methods /"		"Lovenoor Singh Aulck."	"Aulck, Lovenoor Singh,author.http://www.wikidata.org/entity/Q106603579"	"Ph. D."	"University of Washington"	"2019."	"200303t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 144 pages) :"	"West, Jevin D.(Jevin Darwin),1977-degree supervisor.http://www.wikidata.org/entity/Q57953010"	"http://hdl.handle.net/1773/45211"	"1142816077"
"The power of associaitons, social media and social movements :"	"Facebook in the interactions of social movement organizations /"	"Luis Fernando Baron."	"Baron, Luis Fernando,author."	"Ph. D."	"University of Washington"	"2013."	"140702t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (xix, 337 pages) :"	"Gomez, Ricardo,1964 May 29-degree supervisor.http://www.wikidata.org/entity/Q107025134"	"http://hdl.handle.net/1773/25133"	"882513587"
"Communicating meaning in context-aware system design /"		"Jared S. Bauer"	"Bauer, Jared S.,author."	"Ph. D."	"University of Washington"	"2016"	"170419t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 119 pages) :"	"Kientz, Julie A.,degree supervisor."	"http://hdl.handle.net/1773/38161"	"982960046"
"From six directions :"	"documenting and protecting Zuni knowledge in multiple environments /"	"Miranda Hayes Belarde-Lewis."	"Belarde-Lewis, Miranda,author."	"Ph. D."	"University of Washington"	"2013."	"140617t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (x, 123 pages) :"	"Metoyer-Duran, Cheryl,degree supervisor."	"http://hdl.handle.net/1773/24191"	"881462847"
"The multimodal power of storytime :"	"exploring an information environment for young children /"	"Kathleen Campana."	"Campana, Kathleen,author."	"Ph. D."	"University of Washington"	"2018"	"181129t20182017waua\\\\obm\\s000\0\eng\d"	"1 online resource (235 pages) :"	"Carlyle, Allyson,1954-2020,degree supervisor.http://www.wikidata.org/entity/Q89577370"	"http://hdl.handle.net/1773/42420"	"1076552706"
"Information artifact evaluation and iterative design :"	"a novel mixed-method approach /"	"Timothy S. Carlson."	"Carlson, Timothy S.,author."	"Ph. D."	"University of Washington"	"2017"	"180522t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (xi, 328 pages) :"	"Scholl, Hans J.,degree supervisor."	"http://hdl.handle.net/1773/40918"	"1037019883"
"Native American telecommunication independence :"	"one step above smoke signals /"	"Juan Carlos Chavez."	"Chavez, Juan Carlos,author."	"Ph. D."	"University of Washington"	"2017"	"170620t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (117 pages) :"	"Metoyer-Duran, Cheryl,degree supervisor."	"http://hdl.handle.net/1773/38644"	"990330553"
"Let's play our way :"	"designing flexibility into card game systems /"	"Gifford Cheung."	"Cheung, Gifford,author."	"Ph. D."	"University of Washington"	"2013."	"140702t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (232 pages) :"	"Hendry, David G.,1962-degree supervisor."	"http://hdl.handle.net/1773/25132"	"882512701"
"Supporting users after software deployment through selection-based crowdsourced contextual help /"		"Parmet K. Chilana."	"Chilana, Parmit K.,author."	"Ph. D."	"University of Washington"	"2013."	"140617t20132013waua\\\\obm\\s000\0\eng\d"	"1 online resource (xiii, 191 pages) :"	"Ko, Amy J.,degree supervisor.http://www.wikidata.org/entity/Q92254061"	"http://hdl.handle.net/1773/24189"	"881462611"
"Understanding users of cross-media information :"	"contexts, motivations, and information features focusing on visual narrative materials /"	"Hyerim Cho."	"Cho, Hyerim,author.http://www.wikidata.org/entity/Q61599157"	"Ph. D."	"University of Washington"	"2019."	"191206t20192019waua\\\\obm\\s000\0\eng\d"	"1 online resource (281 pages) :"	"Lee, Jin Ha,degree supervisor.http://www.wikidata.org/entity/Q50191795"	"http://hdl.handle.net/1773/44836"	"1129598570"
"Designing self-monitoring technology to promote data capture and reflection /"		"Eun Kyoung Choe."	"Choe, Eun Kyoung,author."	"Ph. D."	"University of Washington"	"2014"	"150116t20142014waua\\\\obm\\s000\0\eng\d"	"1 online resource (ix, 161 pages) :"	"Kientz, Julie A.,degree supervisor."	"http://hdl.handle.net/1773/26199"	"900291938"
"It's not rocket library science :"	"design epistemology and American librarianship /"	"Rachel Clarke."	"Clarke, Rachel,author."	"Ph. D."	"University of Washington"	"2016"	"161114t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (280 pages) :"	"Carlyle, Allyson,1954-2020,degree supervisor.http://www.wikidata.org/entity/Q89577370"	"http://hdl.handle.net/1773/37159"	"962492774"
"Designing and evaluating a persuasive technology to encourage lifestyle behavior change /"		"Sunny Consolvo."	"Consolvo, Sunny."	"Ph. D."	"University of Washington"	"2008"	"090122s2008\\\\xx\a\\\\\bm\\\000\0\eng\d"	"x, 305 leaves :"		"http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqm&rft_dat=xri:pqdiss:3328387"	"299112462"
"Talking story :"	"the militarization of Guåhan and flows of information in Chamoru systems of knowledge /"	"Sheryl A. Day."	"Day, Sheryl A.,author."	"Ph. D."	"University of Washington"	"2017"	"170620t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (vii, 236) :"	"Metoyer-Duran, Cheryl,degree supervisor."	"http://hdl.handle.net/1773/38643"	"990330521"
