245$a	245$b	245$c	100	502$b	502$c	502$d	008	300$a	700	856$u	001
"How citizenship informs political authority :"	"the case of Kuwait and Bahrain /"	"Noor Yousuf AlSaleh."	"AlSaleh, Noor Yousuf,author."	"Ph. D."	"University of Washington"	"2018."	"190422t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (211 pages) :"	"Chirot, Daniel,degree supervisor."	"http://hdl.handle.net/1773/43252"	"1098061828"
"Bearing the burden :"	"an ethnographic account of women's online entrepreneurship in the Jordanian political economy of development /"	"Allison Jacobs Anderson."	"Anderson, Allison Jacobs,author."	"Ph. D."	"University of Washington"	"2020."	"200907t20202020waua\\\\obm\\s000\0\eng\d"	"1 online resource (201 pages) :"	"Curran, Sara,degree supervisor."	"http://hdl.handle.net/1773/45777"	"1193323433"
"Liberalization of labor relations in Germany and the United States :"	"a firm-centered comparison of cross-national labor organizing at Amazon and Volkswagen /"	"Christopher M. Blado."	"Blado, Christopher M.,author."	"M.A.I.S.;M.P.A."	"University of Washington;University of Washington"	"2015;2015"	"160212t20152015waua\\\\obm\\s000\0\eng\d"	"1 online resource (79 pages) :"	"Curran, Sara,degree supervisor."	"http://hdl.handle.net/1773/33538"	"938950742"
"Sexual minority rights as human rights :"	"mapping the evolution of LGBT norms in Swedish and U.S. foreign policy /"	"Elise Carlson-Rainer."	"Carlson-Rainer, Elise,author."	"Ph. D."	"University of Washington"	"2016"	"160804t20162016waua\\\\obm\\s000\0\eng\d"	"1 online resource (257 pages) :"	"Lang, Sabine,1959-degree supervisor."	"http://hdl.handle.net/1773/36440"	"954757330"
"The imperial frontier :"	"tribal dynamics and oil in Qajar Persia, 1901-1910 /"	"Melinda Cohoon."	"Cohoon, Melinda,author.http://www.wikidata.org/entity/Q107317326"	"M.A.I.S."	"University of Washington"	"2017"	"170914t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (pages 51, iv) :"	"Bet-Shlimon, Arbella,degree supervisor.http://www.wikidata.org/entity/Q100750427"	"http://hdl.handle.net/1773/39904"	"1003654892"
"Exploring the impact of exchange :"	"a study of Central Asian experiences with U.S.-sponsored academic exchange programs /"	"Marilyn P. Cole."	"Cole, Marilyn P.,author."	"M.A."	"University of Washington"	"2018"	"180706t20182018waua\\\\obm\\s000\0\eng\d"	"1 online resource (vi, 76 pages) :"	"Bilaniuk, Laada,degree supervisor."	"http://hdl.handle.net/1773/41719"	"1043357820"
"Space, security, and trust :"	"federal contracting in the commercial space industry /"	"Grant Dailey."	"Dailey, Grant,author."	"M.A,I.S."	"University of Washington"	"2019."	"200902t20192019wau\\\\\obm\\s000\0\eng\d"	"1 online resource (90 pages)"	"Marlowe, Justin,degree supervisor."	"http://hdl.handle.net/1773/43954"	"1192484111"
"Inuit compromise and resurgence :"	"the legacies of the James Bay and Northern Québec Agreement /"	"Amy M. Delo."	"Delo, Amy M.,author."	"M.A.I.S."	"University of Washington"	"2018."	"190508t20182018wau\\\\\obm\\s000\0\eng\d"	"1 online resource (33 pages)"	"Lucero, Jose Antonio,1972-degree supervisor.http://www.wikidata.org/entity/Q107503387"	"http://hdl.handle.net/1773/42932"	"1100482824"
"The imagery of migrants in the British media and its impact on the Brexit vote in the Midlands /"		"Kevin Dobiles."	"Dobiles, Kevin,author."	"M.A.I.S."	"University of Washington"	"2017"	"170912t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (86 pages) :"	"Lang, Sabine,1959-degree supervisor."	"http://hdl.handle.net/1773/39850"	"1003325892"
"Host land or homeland? :"	"civic-cultural identity and banal integration in Latvia /"	"Indra Dineh Ekmanis."	"Ekmanis, Indra Dineh,author."	"Ph. D."	"University of Washington"	"2017"	"170913t20172017waua\\\\obm\\s000\0\eng\d"	"1 online resource (viii, 233 pages) :"	"Radnitz, Scott,1978-degree supervisor."	"http://hdl.handle.net/1773/39884"	"1003585515"
